method,size,uncertainty,n,makespan_mean,makespan_sd,total_vehicle_distance_mean,total_vehicle_distance_sd,expected_energy_mean,expected_energy_sd,energy_violation_rate_mean,energy_violation_rate_sd,infeasible_sortie_rate_mean,infeasible_sortie_rate_sd,risk_weighted_completion_time_mean,risk_weighted_completion_time_sd,top_risk_coverage_mean,top_risk_coverage_sd,missed_value_mean,missed_value_sd,solver_runtime_mean,solver_runtime_sd
alns_point,M,medium,24,97.48324,3.097116,754.541478,50.768756,2812.094478,113.841493,0.0,0.0,0.0,0.0,43921.707216,6282.707324,0.868055,0.054489,0.0,0.0,0.034011,0.001282
rv_alns,M,medium,24,97.651942,3.288633,749.733053,43.785364,2812.094478,113.841493,0.0,0.0,0.0,0.0,43717.947387,6267.546704,0.913195,0.067204,0.0,0.0,0.005068,0.001126
uq_alns,M,medium,24,97.708624,3.415986,753.930535,47.1423,2812.094478,113.841493,0.0,0.0,0.0,0.0,43917.413857,6264.616594,0.868055,0.054489,0.0,0.0,0.034798,0.001637
uq_rv_alns,M,medium,24,97.651942,3.288633,749.733053,43.785364,2812.094478,113.841493,0.0,0.0,0.0,0.0,43717.947387,6267.546704,0.913195,0.067204,0.0,0.0,0.005022,0.000315
