size,variant_index,tower_count,stop_count,vehicle_count,uavs_per_vehicle,seed,uncertainty,method,candidate_mode,nearest_per_tower,scenario_id,milp_status,total_candidate_pairs,screened_pair_count,candidate_pair_reduction,feasible_candidate_pairs,alns_accepted_moves,alns_improving_moves,alns_rejected_moves,alns_best_updates,alns_objective_evaluations,alns_score_cache_size,alns_repair_position_evaluations,destroy_random_removal_uses,destroy_worst_energy_removal_uses,destroy_shaw_related_removal_uses,destroy_path_segment_removal_uses,destroy_uav_chain_removal_uses,repair_greedy_insert_repair_uses,repair_regret_insert_repair_uses,makespan,total_vehicle_distance,expected_energy,energy_violation_rate,infeasible_sortie_rate,risk_weighted_completion_time,top_risk_coverage,missed_value,solver_runtime,objective_value,milp_gap,optimality_gap_pct
M,0,30,15,2,2,0,medium,greedy_nearest,kmeans,3,M30_P15_seed0_medium_kmeans15,not_milp,450,90,0.8,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.845948,281.941724,1336.074931,0.0,0.0,30840.03183,0.285714,0,0.000643,690.4005536432002,0.0,0.0
M,0,30,15,2,2,0,medium,ga,kmeans,3,M30_P15_seed0_medium_kmeans15,not_milp,450,90,0.8,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.179173,198.598658,1336.074931,0.0,0.0,19754.920207,1.0,0,0.004473,833.5155566432,0.0,0.0
M,0,30,15,2,2,0,medium,aco,kmeans,3,M30_P15_seed0_medium_kmeans15,not_milp,450,90,0.8,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.122705,257.597439,1336.074931,0.0,0.0,24232.640067,0.285714,0,0.004307,700.8234556432001,0.0,0.0
M,0,30,15,2,2,0,medium,alns_fixed,kmeans,3,M30_P15_seed0_medium_kmeans15,not_milp,450,90,0.8,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.845948,281.941724,1336.074931,0.0,0.0,30840.03183,0.285714,0,0.000985,690.4005536432002,0.0,0.0
M,0,30,15,2,2,0,medium,alns_pinn,kmeans,3,M30_P15_seed0_medium_kmeans15,not_milp,450,90,0.8,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.179173,198.598658,1336.074931,0.0,0.0,19754.920207,1.0,0,0.00468,833.5155566432,0.0,0.0
M,0,30,15,2,2,0,medium,alns_pinn_uq,kmeans,3,M30_P15_seed0_medium_kmeans15,not_milp,450,90,0.8,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.179173,198.598658,1336.074931,0.0,0.0,19754.920207,1.0,0,0.005103,833.5155566432,0.0,0.0
M,0,30,15,2,2,0,medium,alns_pinn_full,kmeans,3,M30_P15_seed0_medium_kmeans15,not_milp,450,90,0.8,54,100.0,3.0,0.0,3.0,101.0,30.0,500.0,32.0,17.0,14.0,15.0,22.0,43.0,57.0,59.344569,250.112202,1336.074931,0.0,0.0,19415.57366,0.857143,0,0.013044,826.9175296432,0.0,0.0
M,0,30,15,2,2,1,medium,greedy_nearest,kmeans,3,M30_P15_seed1_medium_kmeans15,not_milp,450,90,0.8,63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.576724,227.861812,1301.857374,0.0,0.0,24698.671101,0.285714,0,0.001438,671.1781773456,0.0,0.0
M,0,30,15,2,2,1,medium,ga,kmeans,3,M30_P15_seed1_medium_kmeans15,not_milp,450,90,0.8,63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.697349,310.643265,1301.56269,0.0,0.0,15823.198361,1.0,0,0.00573,763.9039791856,0.0,0.0
M,0,30,15,2,2,1,medium,aco,kmeans,3,M30_P15_seed1_medium_kmeans15,not_milp,450,90,0.8,63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.947803,276.980017,1301.56269,0.0,0.0,19389.763577,0.428571,0,0.004563,684.3549431856,0.0,0.0
M,0,30,15,2,2,1,medium,alns_fixed,kmeans,3,M30_P15_seed1_medium_kmeans15,not_milp,450,90,0.8,63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.576724,227.861812,1301.857374,0.0,0.0,24698.671101,0.285714,0,0.001017,671.1781773456,0.0,0.0
M,0,30,15,2,2,1,medium,alns_pinn,kmeans,3,M30_P15_seed1_medium_kmeans15,not_milp,450,90,0.8,63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.780205,312.299234,1301.56269,0.0,0.0,15825.606479,1.0,0,0.00464,763.7775971856,0.0,0.0
M,0,30,15,2,2,1,medium,alns_pinn_uq,kmeans,3,M30_P15_seed1_medium_kmeans15,not_milp,450,90,0.8,63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.16549,265.58936,1301.56269,0.0,0.0,15835.720204,1.0,0,0.00473,764.1628821856,0.0,0.0
M,0,30,15,2,2,1,medium,alns_pinn_full,kmeans,3,M30_P15_seed1_medium_kmeans15,not_milp,450,90,0.8,63,100.0,2.0,0.0,2.0,101.0,30.0,500.0,27.0,16.0,17.0,17.0,23.0,46.0,54.0,62.368457,310.057742,1301.56269,0.0,0.0,15727.462719,1.0,0,0.011461,761.1576581855999,0.0,0.0
M,0,30,15,2,2,2,medium,greedy_nearest,kmeans,3,M30_P15_seed2_medium_kmeans15,not_milp,450,90,0.8,59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.296751,250.22823,1329.217222,0.0,0.0,30452.055036,0.285714,0,0.001002,723.3595941296003,0.0,0.0
M,0,30,15,2,2,2,medium,ga,kmeans,3,M30_P15_seed2_medium_kmeans15,not_milp,450,90,0.8,59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.966593,239.425101,1329.217222,0.0,0.0,19694.064952,1.0,0,0.004482,874.0103401296001,0.0,0.0
M,0,30,15,2,2,2,medium,aco,kmeans,3,M30_P15_seed2_medium_kmeans15,not_milp,450,90,0.8,59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.654688,312.692373,1329.217222,0.0,0.0,25512.337545,0.285714,0,0.004648,745.2288681296001,0.0,0.0
M,0,30,15,2,2,2,medium,alns_fixed,kmeans,3,M30_P15_seed2_medium_kmeans15,not_milp,450,90,0.8,59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.296751,250.22823,1329.217222,0.0,0.0,30452.055036,0.285714,0,0.00096,723.3595941296003,0.0,0.0
