size,variant_index,tower_count,stop_count,vehicle_count,uavs_per_vehicle,seed,uncertainty,method,candidate_mode,nearest_per_tower,scenario_id,milp_status,milp_reference_scope,milp_optimizes_rwct,milp_completion_time_scope,total_candidate_pairs,screened_pair_count,candidate_pair_reduction,feasible_candidate_pairs,baseline_family,baseline_candidate_evaluations,baseline_generations,baseline_population_size,baseline_ant_count,baseline_best_order_score,alns_use_quantile,alns_risk_value_weight,alns_adaptive_enabled,alns_accepted_moves,alns_improving_moves,alns_rejected_moves,alns_best_updates,alns_objective_evaluations,alns_score_cache_size,alns_repair_position_evaluations,destroy_random_removal_uses,destroy_worst_energy_removal_uses,destroy_shaw_related_removal_uses,destroy_path_segment_removal_uses,destroy_uav_chain_removal_uses,repair_greedy_insert_repair_uses,repair_regret_insert_repair_uses,repair_energy_minimum_insert_repair_uses,repair_synchronization_aware_insert_repair_uses,makespan,total_vehicle_distance,expected_energy,energy_violation_rate,infeasible_sortie_rate,risk_weighted_completion_time,top_risk_coverage,feasible_top_risk_coverage,missed_value,solver_runtime,objective_value,milp_gap,optimality_gap_pct
S,0,10,5,1,1,5,medium,milp_highs,direct,3,S10_P5_seed5_medium,optimal,compact_makespan_energy_reference,False,post_hoc_schedule_evaluator,50,50,0.0,15,,0.0,0.0,0.0,0.0,0.0,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.232336,27.283696,681.006903,0.0,0.0,41.127753,1.0,1.0,0,0.006144,1172.3545322493026,0.012971340138306729,0.0
S,0,10,5,1,1,5,medium,alns_pinn,direct,3,S10_P5_seed5_medium,not_milp,not_milp,False,not_milp,50,50,0.0,15,,0.0,0.0,0.0,0.0,0.0,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.555905,57.708087,631.57905,0.1,0.1,44.899586,1.0,1.0,0,0.001053,769.7108305535608,0.0,15.973587877848908
S,0,10,5,1,1,5,medium,alns_pinn_full,direct,3,S10_P5_seed5_medium,not_milp,not_milp,False,not_milp,50,50,0.0,15,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,65.0,11.0,15.0,6.0,81.0,10.0,160.0,22.0,13.0,11.0,12.0,22.0,25.0,33.0,8.0,14.0,156.762371,67.112428,633.708997,0.0,0.0,46.641216,1.0,1.0,0,0.005043,764.7915867935608,0.0,23.20953613553083
S,0,10,5,1,1,6,medium,milp_highs,direct,3,S10_P5_seed6_medium,optimal,compact_makespan_energy_reference,False,post_hoc_schedule_evaluator,50,50,0.0,16,,0.0,0.0,0.0,0.0,0.0,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.266256,42.502392,608.806097,0.0,0.0,40.843286,0.5,0.5,0,0.006358,1166.9956950359021,0.0070609571996587865,0.0
S,0,10,5,1,1,6,medium,alns_pinn,direct,3,S10_P5_seed6_medium,not_milp,not_milp,False,not_milp,50,50,0.0,16,,0.0,0.0,0.0,0.0,0.0,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.968815,31.118783,606.38014,0.1,0.1,19.809209,1.0,1.0,0,0.000838,606.2231444139076,0.0,0.0
S,0,10,5,1,1,6,medium,alns_pinn_full,direct,3,S10_P5_seed6_medium,not_milp,not_milp,False,not_milp,50,50,0.0,16,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,64.0,11.0,16.0,3.0,81.0,10.0,160.0,15.0,17.0,18.0,21.0,9.0,27.0,27.0,12.0,14.0,130.168539,34.221722,608.806097,0.0,0.0,20.488041,1.0,1.0,0,0.005665,574.9854785739076,0.0,0.0
S,0,10,5,1,1,7,medium,milp_highs,direct,3,S10_P5_seed7_medium,optimal,compact_makespan_energy_reference,False,post_hoc_schedule_evaluator,50,50,0.0,13,,0.0,0.0,0.0,0.0,0.0,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.984226,26.754216,668.725078,0.1,0.1,48.37779,0.5,0.5,43.8956,0.004413,2169.541104574317,0.005527542106459108,0.0
S,0,10,5,1,1,7,medium,alns_pinn,direct,3,S10_P5_seed7_medium,not_milp,not_milp,False,not_milp,50,50,0.0,13,,0.0,0.0,0.0,0.0,0.0,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.980615,55.510349,655.80284,0.2,0.2,25.300287,1.0,1.0,43.8956,0.000826,700.0369006531799,0.0,17.186796910425503
S,0,10,5,1,1,7,medium,alns_pinn_full,direct,3,S10_P5_seed7_medium,not_milp,not_milp,False,not_milp,50,50,0.0,13,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,63.0,5.0,17.0,2.0,81.0,10.0,160.0,19.0,18.0,15.0,13.0,15.0,31.0,23.0,13.0,13.0,151.057646,55.510349,657.835177,0.1,0.1,27.925478,1.0,1.0,43.8956,0.004597,673.6854776931798,0.0,18.028331085113567
S,0,10,5,1,1,8,medium,milp_highs,direct,3,S10_P5_seed8_medium,optimal,compact_makespan_energy_reference,False,post_hoc_schedule_evaluator,50,50,0.0,16,,0.0,0.0,0.0,0.0,0.0,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.898923,34.749975,541.896105,0.0,0.0,56.569555,0.0,0.0,0,0.014172,144.88909612090697,0.019189852232593455,0.0
S,0,10,5,1,1,8,medium,alns_pinn,direct,3,S10_P5_seed8_medium,not_milp,not_milp,False,not_milp,50,50,0.0,16,,0.0,0.0,0.0,0.0,0.0,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.716886,52.037597,541.896105,0.0,0.0,47.459426,1.0,1.0,0,0.003016,687.7449844508016,0.0,12.46265535979665
S,0,10,5,1,1,8,medium,alns_pinn_full,direct,3,S10_P5_seed8_medium,not_milp,not_milp,False,not_milp,50,50,0.0,16,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,67.0,7.0,13.0,0.0,81.0,10.0,160.0,12.0,20.0,11.0,20.0,17.0,30.0,28.0,7.0,15.0,133.716886,52.037597,541.896105,0.0,0.0,47.459426,1.0,1.0,0,0.005889,687.7449844508016,0.0,12.46265535979665
S,0,10,5,1,1,9,medium,milp_highs,direct,3,S10_P5_seed9_medium,optimal,compact_makespan_energy_reference,False,post_hoc_schedule_evaluator,50,50,0.0,19,,0.0,0.0,0.0,0.0,0.0,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.978009,35.803809,519.896589,0.0,0.0,90.066762,0.0,0.0,0,0.05677,142.88284491771032,0.016532807389384892,0.0
S,0,10,5,1,1,9,medium,alns_pinn,direct,3,S10_P5_seed9_medium,not_milp,not_milp,False,not_milp,50,50,0.0,19,,0.0,0.0,0.0,0.0,0.0,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.083163,45.259822,519.896589,0.0,0.0,24.012241,1.0,1.0,0,0.001163,573.2220541436523,0.0,6.928784366641083
S,0,10,5,1,1,9,medium,alns_pinn_full,direct,3,S10_P5_seed9_medium,not_milp,not_milp,False,not_milp,50,50,0.0,19,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,63.0,8.0,17.0,2.0,81.0,10.0,160.0,19.0,7.0,22.0,18.0,14.0,29.0,28.0,12.0,11.0,114.258651,32.631225,519.896589,0.0,0.0,24.029559,1.0,1.0,0,0.006644,557.3095371436523,0.0,0.0
S,1,15,8,1,2,0,medium,milp_highs,direct,3,S15_P8_seed0_medium,optimal,compact_makespan_energy_reference,False,post_hoc_schedule_evaluator,120,120,0.0,28,,0.0,0.0,0.0,0.0,0.0,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.484472,68.936853,718.173235,0.0,0.0,67.826076,0.333333,0.333333,0,0.067884,142.7011001135329,0.0028169748277847993,0.0
S,1,15,8,1,2,0,medium,alns_pinn,direct,3,S15_P8_seed0_medium,not_milp,not_milp,False,not_milp,120,120,0.0,28,,0.0,0.0,0.0,0.0,0.0,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.701044,112.683712,718.173235,0.0,0.0,49.483509,1.0,1.0,0,0.002582,1442.510905504909,0.0,47.876495622624745
