case_id,seed,method,solver_method,tower_count,stop_count,vehicle_count,uav_count,iterations,scenario_id,objective_value,solver_runtime,makespan,total_vehicle_distance,expected_energy,energy_violation_rate,infeasible_sortie_rate,risk_weighted_completion_time,top_risk_coverage,feasible_top_risk_coverage,missed_value,alns_accepted_moves,alns_improving_moves,alns_rejected_moves,alns_best_updates
public_dallas_fort_worth_full,2,alns_pinn_full,alns_full,60,30,3,6,80,public_dallas_fort_worth_full_seed2,13845.794895258116,0.172796,535.03301,1077.169219,3807.500352,0.1,0.1,154.710728,0.866667,0.866667,638.6855,62.0,6.0,18.0,2.0
public_dallas_fort_worth_full,3,greedy_nearest,greedy_nearest,60,30,3,6,0,public_dallas_fort_worth_full_seed3,16611.503766978112,0.004653,599.581422,1277.026068,3805.647912,0.116667,0.116667,305.758676,0.066667,0.066667,638.6855,0.0,0.0,0.0,0.0
public_dallas_fort_worth_full,3,ga,ga,60,30,3,6,50,public_dallas_fort_worth_full_seed3,15007.287177338112,0.087506,555.466734,1069.684178,3805.233609,0.116667,0.116667,158.013478,1.0,0.866667,638.6855,0.0,0.0,0.0,0.0
public_dallas_fort_worth_full,3,aco,aco,60,30,3,6,50,public_dallas_fort_worth_full_seed3,15007.287177338112,0.130538,555.466734,1069.684178,3805.233609,0.116667,0.116667,158.013478,1.0,0.866667,638.6855,0.0,0.0,0.0,0.0
public_dallas_fort_worth_full,3,alns_fixed,alns_fixed,60,30,3,6,80,public_dallas_fort_worth_full_seed3,16811.735587978113,0.103652,605.002561,1274.716411,3805.647912,0.116667,0.116667,319.912666,0.0,0.0,638.6855,72.0,19.0,8.0,17.0
public_dallas_fort_worth_full,3,alns_pinn,alns_point,60,30,3,6,80,public_dallas_fort_worth_full_seed3,14642.794687338115,0.030638,544.038971,1019.536343,3805.233609,0.116667,0.116667,155.850814,1.0,0.866667,638.6855,0.0,0.0,0.0,0.0
public_dallas_fort_worth_full,3,alns_pinn_uq,uq_alns,60,30,3,6,80,public_dallas_fort_worth_full_seed3,15191.571089258116,0.030145,566.696791,1110.710035,3807.500352,0.1,0.1,159.174375,1.0,0.866667,638.6855,0.0,0.0,0.0,0.0
public_dallas_fort_worth_full,3,alns_pinn_full,alns_full,60,30,3,6,80,public_dallas_fort_worth_full_seed3,13884.302182258116,0.133206,540.308303,1090.69864,3807.500352,0.1,0.1,154.918241,0.866667,0.866667,638.6855,61.0,20.0,19.0,9.0
public_dallas_fort_worth_full,4,greedy_nearest,greedy_nearest,60,30,3,6,0,public_dallas_fort_worth_full_seed4,16611.503766978112,0.00335,599.581422,1277.026068,3805.647912,0.116667,0.116667,305.758676,0.066667,0.066667,638.6855,0.0,0.0,0.0,0.0
public_dallas_fort_worth_full,4,ga,ga,60,30,3,6,50,public_dallas_fort_worth_full_seed4,15007.287177338112,0.06561,555.466734,1069.684178,3805.233609,0.116667,0.116667,158.013478,1.0,0.866667,638.6855,0.0,0.0,0.0,0.0
