case_id,seed,method,solver_method,tower_count,stop_count,vehicle_count,uav_count,iterations,scenario_id,objective_value,solver_runtime,makespan,total_vehicle_distance,expected_energy,energy_violation_rate,infeasible_sortie_rate,risk_weighted_completion_time,top_risk_coverage,missed_value,alns_accepted_moves,alns_improving_moves,alns_rejected_moves,alns_best_updates
los_angeles_inland_public_full,3,greedy_nearest,greedy_nearest,60,30,3,6,0,los_angeles_inland_public_full_seed3,1836.325452016,0.001742,91.886828,858.647962,2898.264739,0.0,0.0,164184.480305,0.133333,0,0.0,0.0,0.0,0.0
los_angeles_inland_public_full,3,ga,ga,60,30,3,6,50,los_angeles_inland_public_full_seed3,2283.641410016,0.041075,93.067843,837.257019,2898.264739,0.0,0.0,158086.831185,0.933333,0,0.0,0.0,0.0,0.0
los_angeles_inland_public_full,3,aco,aco,60,30,3,6,50,los_angeles_inland_public_full_seed3,2283.4597530160004,0.087902,93.120462,796.030454,2898.264739,0.0,0.0,158074.23348,0.933333,0,0.0,0.0,0.0,0.0
los_angeles_inland_public_full,3,alns_fixed,alns_fixed,60,30,3,6,80,los_angeles_inland_public_full_seed3,1825.4964690160002,0.06308,92.092046,844.1778,2898.264739,0.0,0.0,167532.086792,0.133333,0,75.0,15.0,5.0,10.0
los_angeles_inland_public_full,3,alns_pinn,alns_point,60,30,3,6,80,los_angeles_inland_public_full_seed3,2289.333584016,0.01897,92.911065,864.731578,2898.264739,0.0,0.0,158458.335975,0.933333,0,0.0,0.0,0.0,0.0
los_angeles_inland_public_full,3,alns_pinn_uq,uq_alns,60,30,3,6,80,los_angeles_inland_public_full_seed3,2292.0767180160005,0.020039,92.738158,858.323781,2898.264739,0.0,0.0,158542.390637,0.933333,0,0.0,0.0,0.0,0.0
los_angeles_inland_public_full,3,alns_pinn_full,alns_full,60,30,3,6,80,los_angeles_inland_public_full_seed3,2271.5390930159997,0.078377,93.090665,875.773447,2898.264739,0.0,0.0,157337.593729,0.933333,0,66.0,30.0,14.0,2.0
los_angeles_inland_public_full,4,greedy_nearest,greedy_nearest,60,30,3,6,0,los_angeles_inland_public_full_seed4,1836.325452016,0.001777,91.886828,858.647962,2898.264739,0.0,0.0,164184.480305,0.133333,0,0.0,0.0,0.0,0.0
los_angeles_inland_public_full,4,ga,ga,60,30,3,6,50,los_angeles_inland_public_full_seed4,2283.641410016,0.042544,93.067843,837.257019,2898.264739,0.0,0.0,158086.831185,0.933333,0,0.0,0.0,0.0,0.0
los_angeles_inland_public_full,4,aco,aco,60,30,3,6,50,los_angeles_inland_public_full_seed4,2283.4597530160004,0.078926,93.120462,796.030454,2898.264739,0.0,0.0,158074.23348,0.933333,0,0.0,0.0,0.0,0.0
los_angeles_inland_public_full,4,alns_fixed,alns_fixed,60,30,3,6,80,los_angeles_inland_public_full_seed4,1825.4964690160002,0.064032,92.092046,844.1778,2898.264739,0.0,0.0,167532.086792,0.133333,0,75.0,18.0,5.0,15.0
los_angeles_inland_public_full,4,alns_pinn,alns_point,60,30,3,6,80,los_angeles_inland_public_full_seed4,2289.333584016,0.02272,92.911065,864.731578,2898.264739,0.0,0.0,158458.335975,0.933333,0,0.0,0.0,0.0,0.0
los_angeles_inland_public_full,4,alns_pinn_uq,uq_alns,60,30,3,6,80,los_angeles_inland_public_full_seed4,2292.0767180160005,0.019579,92.738158,858.323781,2898.264739,0.0,0.0,158542.390637,0.933333,0,0.0,0.0,0.0,0.0
