case_id,seed,method,solver_method,tower_count,stop_count,vehicle_count,uav_count,iterations,scenario_id,objective_value,solver_runtime,makespan,total_vehicle_distance,expected_energy,energy_violation_rate,infeasible_sortie_rate,risk_weighted_completion_time,top_risk_coverage,missed_value,alns_accepted_moves,alns_improving_moves,alns_rejected_moves,alns_best_updates
bay_area_public_full,3,aco,aco,60,30,3,6,50,bay_area_public_full_seed3,1958.8532253040003,0.081702,80.849028,538.544879,2520.255932,0.0,0.0,139296.284689,0.933333,0,0.0,0.0,0.0,0.0
bay_area_public_full,3,alns_fixed,alns_fixed,60,30,3,6,80,bay_area_public_full_seed3,1706.5836193039997,0.058347,84.517278,539.986356,2520.255932,0.0,0.0,153610.082848,0.2,0,73.0,20.0,7.0,10.0
bay_area_public_full,3,alns_pinn,alns_point,60,30,3,6,80,bay_area_public_full_seed3,1963.9679533039998,0.01727,81.355511,534.957012,2520.255932,0.0,0.0,139502.961386,0.933333,0,0.0,0.0,0.0,0.0
bay_area_public_full,3,alns_pinn_uq,uq_alns,60,30,3,6,80,bay_area_public_full_seed3,1964.3817603039997,0.02009,81.643502,489.63242,2520.255932,0.0,0.0,139514.766928,0.933333,0,0.0,0.0,0.0,0.0
bay_area_public_full,3,alns_pinn_full,alns_full,60,30,3,6,80,bay_area_public_full_seed3,1957.0798353039997,0.081807,81.681891,582.621286,2520.255932,0.0,0.0,139204.747994,1.0,0,66.0,22.0,14.0,5.0
bay_area_public_full,4,greedy_nearest,greedy_nearest,60,30,3,6,0,bay_area_public_full_seed4,1726.506720304,0.002802,85.014031,546.921319,2520.255932,0.0,0.0,148680.797616,0.4,0,0.0,0.0,0.0,0.0
bay_area_public_full,4,ga,ga,60,30,3,6,50,bay_area_public_full_seed4,1959.3387003040002,0.043649,80.849028,577.412927,2520.255932,0.0,0.0,139311.2905,0.933333,0,0.0,0.0,0.0,0.0
bay_area_public_full,4,aco,aco,60,30,3,6,50,bay_area_public_full_seed4,1958.8532253040003,0.068332,80.849028,538.544879,2520.255932,0.0,0.0,139296.284689,0.933333,0,0.0,0.0,0.0,0.0
bay_area_public_full,4,alns_fixed,alns_fixed,60,30,3,6,80,bay_area_public_full_seed4,1706.5836193039997,0.058419,84.517278,539.986356,2520.255932,0.0,0.0,153610.082848,0.2,0,75.0,28.0,5.0,15.0
bay_area_public_full,4,alns_pinn,alns_point,60,30,3,6,80,bay_area_public_full_seed4,1963.9679533039998,0.018367,81.355511,534.957012,2520.255932,0.0,0.0,139502.961386,0.933333,0,0.0,0.0,0.0,0.0
bay_area_public_full,4,alns_pinn_uq,uq_alns,60,30,3,6,80,bay_area_public_full_seed4,1964.3817603039997,0.018931,81.643502,489.63242,2520.255932,0.0,0.0,139514.766928,0.933333,0,0.0,0.0,0.0,0.0
bay_area_public_full,4,alns_pinn_full,alns_full,60,30,3,6,80,bay_area_public_full_seed4,1957.0798353039997,0.076887,81.681891,582.621286,2520.255932,0.0,0.0,139204.747994,1.0,0,65.0,35.0,15.0,3.0
bay_area_public_full,5,greedy_nearest,greedy_nearest,60,30,3,6,0,bay_area_public_full_seed5,1726.506720304,0.001712,85.014031,546.921319,2520.255932,0.0,0.0,148680.797616,0.4,0,0.0,0.0,0.0,0.0
bay_area_public_full,5,ga,ga,60,30,3,6,50,bay_area_public_full_seed5,1959.3387003040002,0.039554,80.849028,577.412927,2520.255932,0.0,0.0,139311.2905,0.933333,0,0.0,0.0,0.0,0.0
