case_id,seed,method,solver_method,tower_count,stop_count,vehicle_count,uav_count,iterations,scenario_id,objective_value,solver_runtime,makespan,total_vehicle_distance,expected_energy,energy_violation_rate,infeasible_sortie_rate,risk_weighted_completion_time,top_risk_coverage,feasible_top_risk_coverage,missed_value,alns_accepted_moves,alns_improving_moves,alns_rejected_moves,alns_best_updates
public_bay_area_full,3,alns_pinn_uq,uq_alns,60,30,3,6,80,public_bay_area_full_seed3,8741.460011337591,0.028362,306.194875,493.751105,2520.255932,0.0,0.0,108.598676,0.933333,0.933333,0,0.0,0.0,0.0,0.0
public_bay_area_full,3,alns_pinn_full,alns_full,60,30,3,6,80,public_bay_area_full_seed3,8442.485199337589,0.104407,297.615272,452.307036,2520.255932,0.0,0.0,105.533307,1.0,1.0,0,61.0,25.0,19.0,2.0
public_bay_area_full,4,greedy_nearest,greedy_nearest,60,30,3,6,0,public_bay_area_full_seed4,8549.560731337588,0.003014,323.252792,510.155072,2520.255932,0.0,0.0,141.917247,0.4,0.4,0,0.0,0.0,0.0,0.0
public_bay_area_full,4,ga,ga,60,30,3,6,50,public_bay_area_full_seed4,8654.17455133759,0.055405,304.349957,474.633741,2520.255932,0.0,0.0,108.099737,1.0,1.0,0,0.0,0.0,0.0,0.0
public_bay_area_full,4,aco,aco,60,30,3,6,50,public_bay_area_full_seed4,8434.89060033759,0.090574,299.285345,463.503723,2520.255932,0.0,0.0,105.479344,1.0,1.0,0,0.0,0.0,0.0,0.0
public_bay_area_full,4,alns_fixed,alns_fixed,60,30,3,6,80,public_bay_area_full_seed4,8281.85462233759,0.095355,316.145587,525.983469,2520.255932,0.0,0.0,147.903902,0.2,0.2,0,75.0,23.0,5.0,11.0
public_bay_area_full,4,alns_pinn,alns_point,60,30,3,6,80,public_bay_area_full_seed4,8773.55945033759,0.028815,312.553435,515.447517,2520.255932,0.0,0.0,108.814764,0.933333,0.933333,0,0.0,0.0,0.0,0.0
public_bay_area_full,4,alns_pinn_uq,uq_alns,60,30,3,6,80,public_bay_area_full_seed4,8741.460011337591,0.027525,306.194875,493.751105,2520.255932,0.0,0.0,108.598676,0.933333,0.933333,0,0.0,0.0,0.0,0.0
public_bay_area_full,4,alns_pinn_full,alns_full,60,30,3,6,80,public_bay_area_full_seed4,8442.485199337589,0.113897,297.615272,452.307036,2520.255932,0.0,0.0,105.533307,1.0,1.0,0,61.0,19.0,19.0,2.0
public_bay_area_full,5,greedy_nearest,greedy_nearest,60,30,3,6,0,public_bay_area_full_seed5,8549.560731337588,0.002738,323.252792,510.155072,2520.255932,0.0,0.0,141.917247,0.4,0.4,0,0.0,0.0,0.0,0.0
