id,x,y
0,-8.580963,6.722553
1,-6.397899,-7.65726
2,-5.699569,2.981341
3,-5.824699,-2.302217
4,-5.241788,-5.015731
5,-3.138896,5.951985
6,-1.366132,8.28947
7,-0.134762,10.21745
8,2.904763,3.343582
9,3.458169,-0.380299
10,4.249189,-1.790051
11,4.83157,-2.113751
12,6.140267,2.795999
13,7.525472,-5.653057
14,9.203861,-7.336016
