time,wind_speed,wind_angle,battery_voltage,battery_current,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w,velocity_x,velocity_y,velocity_z,angular_x,angular_y,angular_z,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z
0.0,0.6000000238418579,130.0,25.760942459106445,-0.11132483184337616,-79.78277228661298,40.45906065991225,269.1745374705493,0.010361037217080591,-0.01158310566097498,-0.9871501326560974,0.15903843939304352,-0.025148422723575696,-0.0013553949024461625,0.009298912125538359,-0.003958112094551325,0.0009150037076324224,0.002793844323605299,0.2371330267935992,-0.21964937690645456,-9.808152864575387
0.2,0.699999988079071,131.0,25.75593566894531,-0.11927660554647446,-79.78277212023436,40.4590606375302,269.16958020812274,0.010371078737080095,-0.011544727720320223,-0.9871508479118348,0.15903621912002566,-0.02560768633163792,-0.0010766886012618,0.00958520979886489,0.008877131156623362,0.003882246324792504,0.006727950647473335,0.2397096206434071,-0.2201742010563612,-9.808835234642027
0.3,0.699999988079071,127.0,25.76469993591309,-0.13518016040325165,-79.78277205659836,40.45906065844767,269.1716802324951,0.010369923897087574,-0.01153920590877533,-0.9871492385864258,0.1590466946363449,-0.03468197783361747,-0.004387999755724394,0.010370893845050936,0.0002102639991790056,0.0019460862968117,0.0007628785097040236,0.2365055840089917,-0.20999198762699964,-9.809087834358216
0.5,0.699999988079071,127.0,25.75718688964844,-0.15903547406196594,-79.78277194498803,40.45906060665162,269.16556719875337,0.010384386405348778,-0.011506590060889721,-0.9871490597724916,0.1590491533279419,-0.02405609695076225,0.001070648132661829,0.009865673863451323,0.0028720702975988392,0.002862398745492101,0.0053852531127631656,0.2388402493111789,-0.221264944318682,-9.807452952861787
0.6,0.8000000119209291,130.0,25.75969123840332,-0.12722837924957275,-79.78277191768574,40.45906061264991,269.1666258666516,0.01039409264922142,-0.011492744088172913,-0.987147867679596,0.1590568870306015,-0.02901088692812829,-0.0004619881687032545,0.010331617454184112,-0.007107504177838564,-0.003986221738159657,-0.01007073000073433,0.23436155620962384,-0.19728302786126733,-9.80665890097618
0.8,0.8000000119209291,131.0,25.763446807861328,-0.11132483184337616,-79.7827717370207,40.4590606046736,269.16356109640003,0.010370781645178795,-0.011510178446769714,-0.9871470928192142,0.15906202793121338,-0.031684722120663665,-0.001481008424903684,0.013772414999343684,-0.0077036707662045956,-0.0006002883310429753,0.0013966740807518365,0.23716734264045955,-0.21458749713376168,-9.808184439539911
0.9,0.8000000119209291,129.0,25.760942459106445,-0.10337305814027786,-79.78277170301723,40.45906061541876,269.16500005310775,0.010396979749202728,-0.011516783386468887,-0.987148106098175,0.1590532809495926,-0.0354640955279172,-0.0033218320397153693,0.014052407176197362,-9.475405386183412e-05,-0.00017363457300234586,-0.001603892189450562,0.2359861502610147,-0.199890904314816,-9.80509418606758
1.1,0.699999988079071,131.0,25.760942459106445,-0.15108370780944824,-79.78277154636501,40.45906059296462,269.15917372888333,0.010432122275233269,-0.011503544636070728,-0.9871466755867004,0.15906119346618652,-0.03247966893937971,-0.0014349227917222172,0.012497755124811416,-0.0049143144860863686,-0.00443908991292119,-0.0062284329906106,0.2355967439711094,-0.19979067938402287,-9.806376480460168
1.21,0.699999988079071,131.0,25.75718688964844,-0.13518016040325165,-79.78277139878779,40.4590606020816,269.1527647767067,0.01043576467782259,-0.011499695479869844,-0.9871469736099244,0.1590590626001358,-0.03035702138891905,-0.004514064606144617,0.011408288226119292,0.007843823172152042,0.003475757548585534,0.004913325887173414,0.2392445111833513,-0.21441606407985087,-9.808051123023033
1.4,0.699999988079071,135.0,25.763446807861328,-0.11927660554647446,-79.7827713272103,40.459060631643865,269.1552133504153,0.010446780361235142,-0.011499022133648396,-0.9871482253074646,0.15905077755451202,-0.039562316856009146,-0.00775291987256273,0.01218402559148878,0.002926992019638419,1.8914641259470958e-05,-0.005162474699318409,0.235931314341724,-0.2001327232271433,-9.806730237007141
1.5,0.699999988079071,135.0,25.762195587158203,-0.11927660554647446,-79.78277119731085,40.45906063086411,269.1486334819199,0.010457211174070835,-0.011491771787405014,-0.9871460199356079,0.15906402468681335,-0.03209310901569009,-0.006761890110950479,0.011237973232442895,0.0037911860272288322,0.0015552820404991508,0.005978661123663187,0.23891544084995986,-0.22251875180751085,-9.807900849580763
1.7,0.6000000238418579,135.0,25.76469993591309,-0.11132483184337616,-79.78277103396655,40.459060626107664,269.1410640273094,0.010499182157218456,-0.011446977965533732,-0.9871439337730408,0.15907789766788485,-0.02716808065792279,-0.0032923160599219736,0.007080744718111895,0.005264185834676027,0.005783780012279749,0.005622755270451307,0.2394026600942016,-0.2113694819994271,-9.807110890746117
1.8,0.5,136.0,25.77346420288086,-0.10337305814027786,-79.78277100216965,40.45906063807017,269.14183145946265,0.01048531848937273,-0.0114385224878788,-0.9871413111686708,0.1590956151485443,-0.032172824095169625,-0.0046341671343551934,0.007463448289906814,-0.0016936316387727854,0.00012061890447512268,0.0024402481503784657,0.2378364833816886,-0.2181308732740581,-9.809865514039991
2.0,0.5,138.0,25.748422622680664,-0.22264966368675232,-79.78277084986027,40.45906061692144,269.1357548851371,0.01054559461772442,-0.011374623514711857,-0.987146258354187,0.1590651422739029,-0.025867890273849337,0.0017175340711575793,0.007980311055113865,0.003666393226012589,0.004390479531139135,0.005191998556256293,0.2389458280988037,-0.22142453676089646,-9.80816338956356
