time,wind_speed,wind_angle,battery_voltage,battery_current,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w,velocity_x,velocity_y,velocity_z,angular_x,angular_y,angular_z,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z
0.0,1.600000023841858,154.0,24.571495056152344,0.07156596332788467,-79.78278656393029,40.45904514348923,270.4084118485451,-0.006284222938120365,0.002242221496999264,-0.9752772450447084,0.220884457230568,0.003219824163290129,0.01676729625930381,0.03810102409802149,0.008516564033925533,0.0013462126953527331,0.011209538206458092,-0.06449673467315734,0.09957717807032168,-9.809831015467646
0.19,1.600000023841858,153.0,24.57024383544922,0.07951773703098297,-79.78278660092737,40.45904509940657,270.42607401609416,-0.006266532000154257,0.002248613629490137,-0.9752843379974364,0.2208532840013504,0.002775186319812674,0.01944384447258124,0.038981614064627836,0.004375440999865532,0.0013969012070447204,0.008130372501909733,-0.06501956711523235,0.1286694605089724,-9.808591405749322
0.29,1.600000023841858,154.0,24.55897521972656,0.07951773703098297,-79.782786592956,40.45904508292993,270.42994319200517,-0.006261676549911499,0.002233533887192607,-0.975273370742798,0.22090207040309906,0.002290098778802848,0.019287397974482992,0.03863805814615113,0.004038968123495579,0.0011731823906302452,-0.0017854912439361215,-0.06199520902242513,0.12637972740456466,-9.80855105996132
0.5,1.600000023841858,153.0,24.566486358642567,0.06361418962478638,-79.78278658497692,40.45904506577481,270.4337894201279,-0.006273775361478329,0.0022319720592349768,-0.9752779006958008,0.2208816558122635,0.002284499397905061,0.020249663036013325,0.03853289477082117,-0.00684613361954689,-0.003195467870682478,-0.0012937657302245498,-0.07255968417506665,0.10406042103655637,-9.808663326501847
0.6,1.600000023841858,154.0,24.56398200988769,0.06361418962478638,-79.78278661780331,40.459045021079156,270.4529261469841,-0.006274931598454714,0.002217912813648581,-0.9752667546272278,0.2209312617778778,0.0013323102269022268,0.021471188552048725,0.039323214381846924,-0.008398456498980522,0.001161387306638062,-0.007972288876771927,-0.06834560042247176,0.12217174211516978,-9.808311324119568
0.79,1.600000023841858,155.0,24.571495056152344,0.07156596332788467,-79.78278665128606,40.45904498985318,270.4724198460579,-0.006265572737902403,0.0022264465223997827,-0.975257396697998,0.2209725230932236,0.00045213915962743947,0.01964684169169731,0.039468627573265774,-0.004184633493423462,0.0021419900003820658,-0.007185420021414756,-0.06616314545273781,0.09634474589489404,-9.809818151593207
0.9,1.5,155.0,24.57274627685547,0.08746951073408127,-79.78278664200059,40.45904497282474,270.47634135484697,-0.006285473704338075,0.0022340714931488037,-0.9752643704414368,0.22094126045703888,0.002140838297798148,0.020698092813409712,0.0392679112964591,-0.001505582476966083,-0.002233898267149925,0.00931776873767376,-0.0718606541119516,0.09229397761635484,-9.809851480722427
1.09,1.5,157.0,24.567739486694336,0.07951773703098297,-79.78278669570392,40.459044946887005,270.4971515417099,-0.006279102060943842,0.0022511379793286324,-0.9752520918846128,0.22099532186985016,0.002698567625049093,0.017775131493785547,0.03982054931695436,-0.005731630139052868,-0.0024949947837740183,-0.0011615854455158114,-0.06254106944426895,0.12446081740781666,-9.80855222940445
1.2,1.5,153.0,24.55647087097168,0.08746951073408127,-79.78278673356499,40.45904493202818,270.5151936888695,-0.006267930846661329,0.0022529945708811283,-0.9752611517906188,0.22095556557178492,0.0021487646320396308,0.016507063176712883,0.04057210055410875,0.005848528817296028,-4.1582818084862076e-05,0.006841653026640415,-0.06149547765031457,0.10938444793224336,-9.810660735368732
1.4,1.5,154.0,24.566486358642567,0.09542128443717957,-79.78278672573944,40.459044918133394,270.51923565864564,-0.006256374064832926,0.0022471279371529818,-0.975240170955658,0.22104869782924647,0.0002550466510167953,0.01671900580210077,0.04043099690725381,-0.010466702282428741,-0.00399863813072443,-0.010504892095923424,-0.0690488286036998,0.12433908568695187,-9.808690808415411
1.49,1.5,155.0,24.56273078918457,0.08746951073408127,-79.7827867323261,40.459044868785035,270.54446266889573,-0.006248475052416325,0.002267344621941448,-0.9752309322357178,0.22108930349349976,-0.0016706900504280852,0.02070666604583132,0.04442722411730978,0.0015592359704896808,0.0017388742417097092,-0.006061130203306675,-0.06124025125522167,0.1314087622705847,-9.809019421935082
1.69,1.5,158.0,24.56273078918457,0.08746951073408127,-79.78278674382128,40.459044823085634,270.569357919693,-0.006266342010349035,0.002283082576468587,-0.9752402305603028,0.2210477441549301,-0.0015226729411643148,0.023303648231424282,0.046288744168230964,0.007306864485144616,0.0021677624899894,0.003942436072975397,-0.07184289776254446,0.09880080487579107,-9.808863301277162
1.79,1.399999976158142,159.0,24.55897521972656,0.07951773703098297,-79.78278672876327,40.45904480490635,270.57396112680436,-0.006271889433264732,0.002285022521391511,-0.9752276539802552,0.2211029976606369,-0.0031838878341071807,0.0238042888643223,0.046183375669930464,-0.006793961394578218,-0.001995682017877698,-0.005283713340759277,-0.06829179690219463,0.12150063707493244,-9.808920603990558
