flight,speed,payload,altitude,date,local_time,route
185,10.0,250.0,50,2019-07-10,9:22,R1
186,12.0,0.0,75,2019-07-10,9:30,R1
187,12.0,250.0,25,2019-07-10,9:37,R1
188,4.0,0.0,100,2019-07-10,9:45,R1
189,8.0,250.0,25,2019-07-10,9:56,R1
190,10.0,250.0,100,2019-07-10,10:03,R1
191,12.0,250.0,100,2019-07-15,7:26,R1
192,12.0,0.0,50,2019-07-15,7:34,R1
193,4.0,500.0,50,2019-07-15,7:46,R1
194,12.0,0.0,100,2019-07-15,7:53,R1
195,8.0,250.0,100,2019-07-15,8:05,R1
196,12.0,250.0,50,2019-07-15,8:12,R1
197,10.0,250.0,25,2019-07-15,8:20,R1
198,10.0,0.0,50,2019-07-15,8:26,R1
199,4.0,250.0,50,2019-07-15,8:35,R1
200,4.0,500.0,25,2019-07-15,8:46,R1
201,4.0,250.0,75,2019-07-15,8:54,R1
202,4.0,250.0,25,2019-07-15,9:02,R1
203,8.0,0.0,25,2019-07-15,9:11,R1
204,6.0,250.0,25,2019-07-15,9:18,R1
205,6.0,500.0,25,2019-07-15,9:25,R1
206,8.0,250.0,75,2019-07-15,9:33,R1
207,8.0,0.0,50,2019-07-15,9:41,R1
208,6.0,250.0,75,2019-07-15,9:49,R1
209,6.0,500.0,50,2019-07-15,9:57,R1
210,4.0,250.0,100,2019-07-15,10:05,R1
211,0.0,0.0,0,2019-07-18,9:20,A1
212,0.0,0.0,0,2019-07-18,9:25,A1
213,0.0,0.0,0,2019-07-18,9:30,A1
214,0.0,0.0,0,2019-07-18,9:36,A2
215,0.0,0.0,0,2019-07-18,9:42,A2
216,0.0,0.0,0,2019-07-18,9:49,A2
217,0.0,0.0,0,2019-07-18,9:52,A3
218,0.0,0.0,0,2019-07-18,10:01,A3
219,0.0,0.0,0,2019-07-18,10:04,A3
221,0.0,0.0,3,2019-07-18,14:22,H
222,0.0,0.0,3,2019-07-18,14:27,H
223,0.0,0.0,3,2019-07-18,14:32,H
224,0.0,0.0,3,2019-07-18,14:36,H
225,8.0,250.0,75,2019-07-24,16:00,R1
226,8.0,500.0,75,2019-07-24,16:07,R1
227,6.0,0.0,100,2019-07-24,16:14,R1
228,10.0,500.0,100,2019-07-24,16:22,R1
229,10.0,0.0,50,2019-07-24,16:28,R1
230,6.0,500.0,25,2019-07-24,16:34,R1
231,8.0,500.0,100,2019-07-24,16:41,R1
232,12.0,500.0,100,2019-07-24,16:48,R1
233,4.0,0.0,50,2019-07-24,16:54,R1
234,10.0,0.0,100,2019-07-24,17:02,R1
235,12.0,500.0,25,2019-07-24,17:09,R1
236,12.0,500.0,50,2019-07-24,17:16,R1
237,4.0,0.0,100,2019-07-24,17:25,R1
238,4.0,500.0,50,2019-07-24,17:32,R1
239,4.0,500.0,75,2019-07-24,17:41,R1
240,6.0,500.0,75,2019-07-24,17:47,R1
241,10.0,0.0,75,2019-08-05,16:09,R1
242,8.0,500.0,100,2019-08-05,16:18,R1
243,4.0,500.0,25,2019-08-05,16:31,R1
246,8.0,0.0,100,2019-08-05,17:12,R1
247,8.0,0.0,75,2019-08-05,17:20,R1
248,4.0,250.0,75,2019-08-05,17:28,R1
249,8.0,0.0,50,2019-08-05,17:36,R1
250,10.0,250.0,100,2019-08-05,17:44,R1
251,8.0,250.0,50,2019-08-05,17:52,R1
252,12.0,500.0,75,2019-08-05,18:00,R1
253,10.0,500.0,25,2019-08-05,18:08,R1
254,10.0,500.0,50,2019-08-05,18:16,R1
255,6.0,500.0,25,2019-08-05,18:24,R1
256,10.0,250.0,75,2019-08-05,18:32,R1
257,6.0,250.0,75,2019-08-05,18:36,R1
258,4.0,250.0,50,2019-08-05,18:44,R1
260,4.0,0.0,75,2019-08-05,18:55,R1
261,6.0,250.0,50,2019-08-05,19:00,R1
262,10.0,0.0,75,2019-08-05,19:09,R1
263,4.0,0.0,75,2019-08-05,19:20,R1
264,6.0,250.0,100,2019-08-05,19:26,R1
267,8.0,500.0,25,2019-09-19,9:30,R1
268,6.0,500.0,25,2019-09-19,9:54,R6
269,12.0,500.0,25,2019-09-19,10:03,R6
270,10.0,250.0,75,2019-09-19,10:10,R6
271,10.0,0.0,25,2019-09-19,10:22,R6
272,4.0,250.0,50,2019-09-19,10:29,R6
275,8.0,500.0,25,2019-10-24,9:05,R1
276,10.0,500.0,25,2019-10-24,9:32,R1
277,10.0,500.0,25,2019-10-24,9:45,R1
278,10.0,500.0,25-50-100-25,2019-10-24,10:00,R7
279,10.0,0.0,25-50-100-25,2019-10-24,10:10,R7
