experiment,size,seed,uncertainty,method,makespan,total_vehicle_distance,expected_energy,energy_violation_rate,infeasible_sortie_rate,risk_weighted_completion_time,top_risk_coverage,missed_value,solver_runtime
E2_core_comparison,M,4,medium,rv_alns,98.45586,790.305696,2741.489807,0.0,0.0,52739.019434,1.0,0,0.004424
E2_core_comparison,M,4,medium,uq_rv_alns,98.45586,790.305696,2741.489807,0.0,0.0,52739.019434,1.0,0,0.004812
E2_core_comparison,M,5,medium,greedy_nearest,96.438729,814.099568,2625.020899,0.0,0.0,61185.769811,0.166667,0,0.001639
E2_core_comparison,M,5,medium,greedy_value,93.471367,753.344268,2625.020899,0.0,0.0,38368.005497,0.833333,0,0.004857
E2_core_comparison,M,5,medium,random_feasible,93.143396,669.972398,2625.020899,0.0,0.0,63863.343466,0.416667,0,0.000715
E2_core_comparison,M,5,medium,ga,96.438729,814.099568,2625.020899,0.0,0.0,61185.769811,0.166667,0,0.030016
E2_core_comparison,M,5,medium,aco,96.438729,814.099568,2625.020899,0.0,0.0,61185.769811,0.166667,0,0.028002
E2_core_comparison,M,5,medium,alns_fixed,96.438729,814.099568,2625.020899,0.0,0.0,61185.769811,0.166667,0,0.02959
E2_core_comparison,M,5,medium,alns_point,93.440744,754.251128,2625.020899,0.0,0.0,38368.19332,0.833333,0,0.03576
E2_core_comparison,M,5,medium,uq_alns,93.440744,754.251128,2625.020899,0.0,0.0,38368.19332,0.833333,0,0.03308
E2_core_comparison,M,5,medium,rv_alns,93.026073,703.877551,2625.020899,0.0,0.0,38171.406836,0.916667,0,0.004458
E2_core_comparison,M,5,medium,uq_rv_alns,93.026073,703.877551,2625.020899,0.0,0.0,38171.406836,0.916667,0,0.004848
E2_core_comparison,M,6,medium,greedy_nearest,99.39609,804.760084,2878.979277,0.0,0.0,71028.303074,0.166667,0,0.000987
E2_core_comparison,M,6,medium,greedy_value,97.594438,782.897836,2877.676744,0.0,0.0,44125.291184,0.833333,0,0.004432
E2_core_comparison,M,6,medium,random_feasible,98.201747,818.356677,2878.979277,0.0,0.0,69444.144166,0.25,0,0.000697
E2_core_comparison,M,6,medium,ga,99.39609,804.760084,2878.979277,0.0,0.0,71028.303074,0.166667,0,0.031042
E2_core_comparison,M,6,medium,aco,99.39609,804.760084,2878.979277,0.0,0.0,71028.303074,0.166667,0,0.029835
E2_core_comparison,M,6,medium,alns_fixed,99.39609,804.760084,2878.979277,0.0,0.0,71028.303074,0.166667,0,0.029789
E2_core_comparison,M,6,medium,alns_point,96.571009,732.598836,2877.676744,0.0,0.0,44038.810103,0.833333,0,0.034253
E2_core_comparison,M,6,medium,uq_alns,96.571009,732.598836,2877.676744,0.0,0.0,44038.810103,0.833333,0,0.035223
E2_core_comparison,M,6,medium,rv_alns,97.492565,749.194622,2877.676744,0.0,0.0,43958.266308,0.833333,0,0.008523
E2_core_comparison,M,6,medium,uq_rv_alns,97.492565,749.194622,2877.676744,0.0,0.0,43958.266308,0.833333,0,0.007798
E2_core_comparison,M,7,medium,greedy_nearest,98.982726,697.696031,3019.298971,0.0,0.0,59273.57352,0.416667,0,0.001
E2_core_comparison,M,7,medium,greedy_value,97.410892,767.302838,3017.001241,0.0,0.0,39158.105567,0.916667,0,0.004413
E2_core_comparison,M,7,medium,random_feasible,99.461138,817.697,3019.298971,0.0,0.0,64394.161579,0.166667,0,0.000693
E2_core_comparison,M,7,medium,ga,98.982726,697.696031,3019.298971,0.0,0.0,59273.57352,0.416667,0,0.031814
E2_core_comparison,M,7,medium,aco,98.982726,697.696031,3019.298971,0.0,0.0,59273.57352,0.416667,0,0.031479
E2_core_comparison,M,7,medium,alns_fixed,98.982726,697.696031,3019.298971,0.0,0.0,59273.57352,0.416667,0,0.030072
E2_core_comparison,M,7,medium,alns_point,96.130382,728.683031,3017.001241,0.0,0.0,39147.907072,0.916667,0,0.038182
E2_core_comparison,M,7,medium,uq_alns,95.772067,709.996792,3017.001241,0.0,0.0,39150.912948,0.916667,0,0.033533
E2_core_comparison,M,7,medium,rv_alns,97.353921,738.684543,3017.001241,0.0,0.0,39138.798799,0.916667,0,0.004413
E2_core_comparison,M,7,medium,uq_rv_alns,97.353921,738.684543,3017.001241,0.0,0.0,39138.798799,0.916667,0,0.004914
E2_core_comparison,M,8,medium,greedy_nearest,103.498969,799.19634,2880.482872,0.0,0.0,102618.456218,0.166667,0,0.00106
E2_core_comparison,M,8,medium,greedy_value,96.390606,666.855797,2877.663445,0.0,0.0,60687.588814,0.75,0,0.00482
E2_core_comparison,M,8,medium,random_feasible,98.104006,690.686691,2880.482872,0.0,0.0,108466.338199,0.083333,0,0.000683
E2_core_comparison,M,8,medium,ga,103.498969,799.19634,2880.482872,0.0,0.0,102618.456218,0.166667,0,0.030078
E2_core_comparison,M,8,medium,aco,103.498969,799.19634,2880.482872,0.0,0.0,102618.456218,0.166667,0,0.033226
E2_core_comparison,M,8,medium,alns_fixed,103.498969,799.19634,2880.482872,0.0,0.0,102618.456218,0.166667,0,0.030989
E2_core_comparison,M,8,medium,alns_point,96.741192,698.641303,2877.663445,0.0,0.0,60668.37896,0.75,0,0.037047
E2_core_comparison,M,8,medium,uq_alns,96.741192,698.641303,2877.663445,0.0,0.0,60668.37896,0.75,0,0.039392
E2_core_comparison,M,8,medium,rv_alns,95.935055,714.571408,2877.663445,0.0,0.0,60534.923907,0.75,0,0.005
E2_core_comparison,M,8,medium,uq_rv_alns,95.935055,714.571408,2877.663445,0.0,0.0,60534.923907,0.75,0,0.004739
E2_core_comparison,M,9,medium,greedy_nearest,95.29783,749.670765,2748.57101,0.0,0.0,72532.298985,0.166667,0,0.000986
E2_core_comparison,M,9,medium,greedy_value,96.9937,811.86342,2748.57101,0.0,0.0,44698.975207,0.833333,0,0.004398
E2_core_comparison,M,9,medium,random_feasible,97.338777,710.417885,2748.57101,0.0,0.0,63662.458195,0.416667,0,0.000687
E2_core_comparison,M,9,medium,ga,95.29783,749.670765,2748.57101,0.0,0.0,72532.298985,0.166667,0,0.029363
E2_core_comparison,M,9,medium,aco,95.29783,749.670765,2748.57101,0.0,0.0,72532.298985,0.166667,0,0.033514
E2_core_comparison,M,9,medium,alns_fixed,95.29783,749.670765,2748.57101,0.0,0.0,72532.298985,0.166667,0,0.03249
E2_core_comparison,M,9,medium,alns_point,96.9937,811.319968,2748.57101,0.0,0.0,44698.356712,0.833333,0,0.037384
E2_core_comparison,M,9,medium,uq_alns,96.9937,811.319968,2748.57101,0.0,0.0,44698.356712,0.833333,0,0.037509
E2_core_comparison,M,9,medium,rv_alns,95.736293,720.560921,2748.57101,0.0,0.0,44583.246349,0.916667,0,0.004968
E2_core_comparison,M,9,medium,uq_rv_alns,95.736293,720.560921,2748.57101,0.0,0.0,44583.246349,0.916667,0,0.005206
E2_core_comparison,M,10,medium,greedy_nearest,98.271786,768.84149,2747.188431,0.0,0.0,84650.680949,0.333333,0,0.001165
E2_core_comparison,M,10,medium,greedy_value,97.851142,849.450212,2747.097242,0.0,0.0,47313.629818,1.0,0,0.005433
E2_core_comparison,M,10,medium,random_feasible,96.768165,728.961803,2747.188431,0.0,0.0,98886.677521,0.083333,0,0.000759
E2_core_comparison,M,10,medium,ga,98.271786,768.84149,2747.188431,0.0,0.0,84650.680949,0.333333,0,0.032911
E2_core_comparison,M,10,medium,aco,98.271786,768.84149,2747.188431,0.0,0.0,84650.680949,0.333333,0,0.033549
E2_core_comparison,M,10,medium,alns_fixed,98.271786,768.84149,2747.188431,0.0,0.0,84650.680949,0.333333,0,0.03306
E2_core_comparison,M,10,medium,alns_point,98.362238,864.658084,2747.097242,0.0,0.0,47301.222286,1.0,0,0.041893
E2_core_comparison,M,10,medium,uq_alns,98.396104,827.226509,2747.097242,0.0,0.0,47301.759746,1.0,0,0.037038
E2_core_comparison,M,10,medium,rv_alns,99.11302,814.226963,2747.097242,0.0,0.0,47037.929323,1.0,0,0.004499
E2_core_comparison,M,10,medium,uq_rv_alns,99.11302,814.226963,2747.097242,0.0,0.0,47037.929323,1.0,0,0.005095
E2_core_comparison,M,11,medium,greedy_nearest,98.265783,814.780997,2868.836696,0.0,0.0,49972.595202,0.583333,0,0.001043
E2_core_comparison,M,11,medium,greedy_value,96.748763,766.340201,2868.836696,0.0,0.0,38176.962406,0.916667,0,0.005207
E2_core_comparison,M,11,medium,random_feasible,93.183603,733.372407,2868.836696,0.0,0.0,69002.306595,0.166667,0,0.000782
E2_core_comparison,M,11,medium,ga,98.265783,814.780997,2868.836696,0.0,0.0,49972.595202,0.583333,0,0.03171
E2_core_comparison,M,11,medium,aco,98.265783,814.780997,2868.836696,0.0,0.0,49972.595202,0.583333,0,0.031107
E2_core_comparison,M,11,medium,alns_fixed,98.265783,814.780997,2868.836696,0.0,0.0,49972.595202,0.583333,0,0.031484
E2_core_comparison,M,11,medium,alns_point,96.044183,769.395634,2868.836696,0.0,0.0,38164.886774,0.916667,0,0.034455
E2_core_comparison,M,11,medium,uq_alns,96.291485,768.471483,2868.836696,0.0,0.0,38165.945141,0.916667,0,0.034867
E2_core_comparison,M,11,medium,rv_alns,96.034347,723.849584,2868.836696,0.0,0.0,37922.502731,0.916667,0,0.004488
E2_core_comparison,M,11,medium,uq_rv_alns,96.034347,723.849584,2868.836696,0.0,0.0,37922.502731,0.916667,0,0.004674
E2_core_comparison,M,12,medium,greedy_nearest,99.054874,861.850247,2975.806386,0.0,0.0,58835.735734,0.333333,0,0.000988
