stress_case,seed,method,solver_method,tower_count,stop_count,vehicle_count,uav_count,battery_capacity,reserve_ratio,quantile_z,wind_speed,temperature,objective_value,makespan,total_vehicle_distance,expected_energy,energy_violation_rate,infeasible_sortie_rate,risk_weighted_completion_time,top_risk_coverage,missed_value,solver_runtime,alns_accepted_moves,alns_improving_moves,alns_rejected_moves,alns_best_updates
tight_battery,0,alns_pinn_full,alns_full,75,24,3,6,108.0,0.22,1.96,9.5,32.0,7027.584670036799,251.150223,830.340916,10620.450163,0.466667,0.466667,140558.776179,0.833333,2748.4295,0.12552,110.0,14.0,30.0,11.0
tight_battery,0,no_energy_repair,alns_full_no_energy_repair,75,24,3,6,108.0,0.22,1.96,9.5,32.0,7027.584670036799,251.150223,830.340916,10620.450163,0.466667,0.466667,140558.776179,0.833333,2748.4295,0.134797,125.0,19.0,15.0,12.0
tight_battery,0,no_sync_repair,alns_full_no_sync_repair,75,24,3,6,108.0,0.22,1.96,9.5,32.0,7027.584670036799,251.150223,830.340916,10620.450163,0.466667,0.466667,140558.776179,0.833333,2748.4295,0.124561,123.0,17.0,17.0,17.0
tight_battery,0,no_uq,rv_alns,75,24,3,6,108.0,0.22,1.96,9.5,32.0,8645.162331076803,240.38917,804.499253,10598.143939,0.72,0.72,153615.900428,1.0,2371.4732,0.022555,0.0,0.0,0.0,0.0
tight_battery,0,no_risk_value,uq_alns,75,24,3,6,108.0,0.22,1.96,9.5,32.0,8702.3946510368,245.915131,893.855208,10620.450163,0.466667,0.466667,156981.636576,0.944444,2748.4295,0.025912,0.0,0.0,0.0,0.0
tight_battery,0,alns_fixed,alns_fixed,75,24,3,6,108.0,0.22,1.96,9.5,32.0,5759.004280076801,245.927738,755.274337,10598.143939,0.72,0.72,187964.311532,0.277778,2371.4732,0.117688,125.0,22.0,15.0,18.0
tight_battery,1,alns_pinn_full,alns_full,75,24,3,6,108.0,0.22,1.96,9.5,32.0,7015.5901157056,239.256125,898.699599,10250.103544,0.426667,0.426667,129771.69955,0.611111,2422.7936,0.141132,106.0,23.0,34.0,14.0
tight_battery,1,no_energy_repair,alns_full_no_energy_repair,75,24,3,6,108.0,0.22,1.96,9.5,32.0,7015.5901157056,239.256125,898.699599,10250.103544,0.426667,0.426667,129771.69955,0.611111,2422.7936,0.142646,120.0,20.0,20.0,13.0
tight_battery,1,no_sync_repair,alns_full_no_sync_repair,75,24,3,6,108.0,0.22,1.96,9.5,32.0,7015.5901157056,239.256125,898.699599,10250.103544,0.426667,0.426667,129771.69955,0.611111,2422.7936,0.139994,119.0,20.0,21.0,15.0
tight_battery,1,no_uq,rv_alns,75,24,3,6,108.0,0.22,1.96,9.5,32.0,8891.180391905602,249.491049,961.246445,10221.26201,0.76,0.76,148004.49152,0.833333,2170.6174,0.025277,0.0,0.0,0.0,0.0
tight_battery,1,no_risk_value,uq_alns,75,24,3,6,108.0,0.22,1.96,9.5,32.0,8913.2257137056,254.74187,903.812568,10250.103544,0.426667,0.426667,148694.217579,0.833333,2422.7936,0.029177,0.0,0.0,0.0,0.0
tight_battery,1,alns_fixed,alns_fixed,75,24,3,6,108.0,0.22,1.96,9.5,32.0,5737.8968823056,245.063177,730.932549,10225.826541,0.76,0.76,172559.848638,0.277778,2170.6174,0.112383,126.0,28.0,14.0,16.0
tight_battery,2,alns_pinn_full,alns_full,75,24,3,6,108.0,0.22,1.96,9.5,32.0,6740.7862404072,244.736493,873.043905,10036.020598,0.426667,0.426667,117689.566398,0.722222,2284.9221,0.12653,115.0,17.0,25.0,10.0
tight_battery,2,no_energy_repair,alns_full_no_energy_repair,75,24,3,6,108.0,0.22,1.96,9.5,32.0,6740.7862404072,244.736493,873.043905,10036.020598,0.426667,0.426667,117689.566398,0.722222,2284.9221,0.118423,124.0,15.0,16.0,14.0
tight_battery,2,no_sync_repair,alns_full_no_sync_repair,75,24,3,6,108.0,0.22,1.96,9.5,32.0,6740.7862404072,244.736493,873.043905,10036.020598,0.426667,0.426667,117689.566398,0.722222,2284.9221,0.112909,123.0,11.0,17.0,11.0
tight_battery,2,no_uq,rv_alns,75,24,3,6,108.0,0.22,1.96,9.5,32.0,8599.971544847198,220.17367,945.516412,10010.695299,0.72,0.72,127969.964255,0.888889,1998.7445,0.026321,0.0,0.0,0.0,0.0
tight_battery,2,no_risk_value,uq_alns,75,24,3,6,108.0,0.22,1.96,9.5,32.0,8642.6365664072,223.051955,822.759077,10036.020598,0.426667,0.426667,129923.699875,0.833333,2284.9221,0.030716,0.0,0.0,0.0,0.0
tight_battery,2,alns_fixed,alns_fixed,75,24,3,6,108.0,0.22,1.96,9.5,32.0,5631.397351527201,234.139938,889.680709,10017.731776,0.72,0.72,163969.330456,0.277778,2018.2694,0.0955,130.0,17.0,10.0,11.0
tight_battery,3,alns_pinn_full,alns_full,75,24,3,6,108.0,0.22,1.96,9.5,32.0,6572.463732811199,241.737203,824.712758,9957.150145,0.453333,0.453333,149118.468972,0.722222,2468.0595,0.127645,118.0,22.0,22.0,19.0
