stress_case,seed,method,solver_method,tower_count,stop_count,vehicle_count,uav_count,battery_capacity,reserve_ratio,quantile_z,wind_speed,temperature,objective_value,makespan,total_vehicle_distance,expected_energy,energy_violation_rate,infeasible_sortie_rate,risk_weighted_completion_time,top_risk_coverage,feasible_top_risk_coverage,sortie_count,avg_towers_per_sortie,missed_value,solver_runtime,alns_accepted_moves,alns_improving_moves,alns_rejected_moves,alns_best_updates
sparse_high_wind,3,no_uq,alns_full_no_uq,75,18,3,6,125.0,0.2,1.96,12.0,34.0,20881.000990738597,647.817922,609.924993,16531.703672,0.773333,0.773333,186.228853,0.555556,0.111111,75,1.0,3241.1706,0.189934,116.0,20.0,24.0,20.0
sparse_high_wind,3,no_risk_value,alns_full_no_risk_value,75,18,3,6,125.0,0.2,1.96,12.0,34.0,17237.85370849859,543.625893,447.748851,16551.271044,0.573333,0.573333,249.755095,0.111111,0.111111,75,1.0,3556.5486,0.199237,129.0,14.0,11.0,12.0
sparse_high_wind,3,alns_fixed,alns_fixed,75,18,3,6,125.0,0.2,1.96,12.0,34.0,17004.9777592586,540.500337,447.748851,16539.78951,0.773333,0.773333,246.723079,0.111111,0.111111,75,1.0,3241.1706,0.280547,123.0,28.0,17.0,17.0
sparse_high_wind,4,alns_pinn_full,alns_full,75,18,3,6,125.0,0.2,1.96,12.0,34.0,18354.067754141688,592.553129,547.447851,16025.736139,0.56,0.56,159.799225,0.666667,0.333333,75,1.0,3527.2144,0.255915,107.0,14.0,33.0,14.0
sparse_high_wind,4,no_energy_repair,alns_full_no_energy_repair,75,18,3,6,125.0,0.2,1.96,12.0,34.0,18354.067754141688,592.553129,547.447851,16025.736139,0.56,0.56,159.799225,0.666667,0.333333,75,1.0,3527.2144,0.21753,119.0,20.0,21.0,18.0
sparse_high_wind,4,no_sync_repair,alns_full_no_sync_repair,75,18,3,6,125.0,0.2,1.96,12.0,34.0,18354.067754141688,592.553129,547.447851,16025.736139,0.56,0.56,159.799225,0.666667,0.333333,75,1.0,3527.2144,0.272383,124.0,18.0,16.0,18.0
sparse_high_wind,4,no_uq,alns_full_no_uq,75,18,3,6,125.0,0.2,1.96,12.0,34.0,19220.46143566169,609.665922,604.352871,16006.640317,0.746667,0.746667,165.438781,0.611111,0.222222,75,1.0,2995.4051,0.279993,104.0,14.0,36.0,13.0
sparse_high_wind,4,no_risk_value,alns_full_no_risk_value,75,18,3,6,125.0,0.2,1.96,12.0,34.0,16257.893667141687,532.37308,451.972493,16025.736139,0.56,0.56,202.565321,0.166667,0.166667,75,1.0,3527.2144,0.345592,127.0,20.0,13.0,19.0
sparse_high_wind,4,alns_fixed,alns_fixed,75,18,3,6,125.0,0.2,1.96,12.0,34.0,16230.577056861688,549.025372,451.972493,16017.047049,0.746667,0.746667,201.728129,0.166667,0.166667,75,1.0,2995.4051,0.330221,117.0,26.0,23.0,23.0
sparse_high_wind,5,alns_pinn_full,alns_full,75,18,3,6,125.0,0.2,1.96,12.0,34.0,18410.035734457742,590.901994,480.774194,16321.615672,0.586667,0.586667,154.546998,0.666667,0.388889,75,1.0,3336.9531,0.266732,105.0,13.0,35.0,13.0
sparse_high_wind,5,no_energy_repair,alns_full_no_energy_repair,75,18,3,6,125.0,0.2,1.96,12.0,34.0,18410.035734457742,590.901994,480.774194,16321.615672,0.586667,0.586667,154.546998,0.666667,0.388889,75,1.0,3336.9531,0.264296,122.0,11.0,18.0,9.0
