stress_case,seed,method,solver_method,tower_count,stop_count,vehicle_count,uav_count,battery_capacity,reserve_ratio,quantile_z,wind_speed,temperature,objective_value,makespan,total_vehicle_distance,expected_energy,energy_violation_rate,infeasible_sortie_rate,risk_weighted_completion_time,top_risk_coverage,feasible_top_risk_coverage,sortie_count,avg_towers_per_sortie,missed_value,solver_runtime,alns_accepted_moves,alns_improving_moves,alns_rejected_moves,alns_best_updates
sparse_high_wind,0,alns_pinn_full,alns_full,75,18,3,6,125.0,0.2,1.96,12.0,34.0,21902.258169658773,601.950165,546.388211,15777.683975,0.533333,0.533333,170.621111,1.0,0.444444,75,1.0,3188.4179,0.209724,109.0,18.0,31.0,18.0
sparse_high_wind,0,no_energy_repair,alns_full_no_energy_repair,75,18,3,6,125.0,0.2,1.96,12.0,34.0,18305.790006658783,599.051775,509.595479,15777.683975,0.533333,0.533333,173.429502,0.611111,0.444444,75,1.0,3188.4179,0.130584,121.0,15.0,19.0,15.0
sparse_high_wind,0,no_sync_repair,alns_full_no_sync_repair,75,18,3,6,125.0,0.2,1.96,12.0,34.0,18305.790006658783,599.051775,509.595479,15777.683975,0.533333,0.533333,173.429502,0.611111,0.444444,75,1.0,3188.4179,0.14394,121.0,15.0,19.0,15.0
sparse_high_wind,0,no_uq,alns_full_no_uq,75,18,3,6,125.0,0.2,1.96,12.0,34.0,19033.717525578777,634.155904,538.573645,15755.933543,0.76,0.76,169.539316,0.611111,0.166667,75,1.0,3067.8306,0.129315,108.0,16.0,32.0,15.0
sparse_high_wind,0,no_risk_value,alns_full_no_risk_value,75,18,3,6,125.0,0.2,1.96,12.0,34.0,16672.33861365878,549.643882,465.481434,15777.683975,0.533333,0.533333,216.636651,0.166667,0.166667,75,1.0,3188.4179,0.118186,126.0,21.0,14.0,16.0
sparse_high_wind,0,alns_fixed,alns_fixed,75,18,3,6,125.0,0.2,1.96,12.0,34.0,16492.54572681878,534.410225,465.481434,15764.719449,0.76,0.76,214.71567,0.166667,0.166667,75,1.0,3067.8306,0.104219,127.0,24.0,13.0,21.0
sparse_high_wind,1,alns_pinn_full,alns_full,75,18,3,6,125.0,0.2,1.96,12.0,34.0,23765.83231343878,622.482979,573.651445,16343.094788,0.56,0.56,171.606055,0.944444,0.555556,75,1.0,3273.8417,0.206836,105.0,16.0,35.0,16.0
sparse_high_wind,1,no_energy_repair,alns_full_no_energy_repair,75,18,3,6,125.0,0.2,1.96,12.0,34.0,19204.924906438777,608.148621,523.317108,16343.094788,0.56,0.56,171.798641,0.722222,0.555556,75,1.0,3273.8417,0.121832,120.0,14.0,20.0,14.0
sparse_high_wind,1,no_sync_repair,alns_full_no_sync_repair,75,18,3,6,125.0,0.2,1.96,12.0,34.0,19204.924906438777,608.148621,523.317108,16343.094788,0.56,0.56,171.798641,0.722222,0.555556,75,1.0,3273.8417,0.121922,120.0,14.0,20.0,14.0
sparse_high_wind,1,no_uq,alns_full_no_uq,75,18,3,6,125.0,0.2,1.96,12.0,34.0,17670.84162487878,598.093149,474.429802,16322.733024,0.76,0.76,149.296648,0.777778,0.444444,75,1.0,3063.9163,0.120673,107.0,11.0,33.0,11.0
