stress_case,seed,method,solver_method,tower_count,stop_count,vehicle_count,uav_count,battery_capacity,reserve_ratio,quantile_z,wind_speed,temperature,objective_value,makespan,total_vehicle_distance,expected_energy,energy_violation_rate,infeasible_sortie_rate,risk_weighted_completion_time,top_risk_coverage,feasible_top_risk_coverage,missed_value,solver_runtime,alns_accepted_moves,alns_improving_moves,alns_rejected_moves,alns_best_updates
tight_battery,1,no_risk_value,alns_full_no_risk_value,75,24,3,6,108.0,0.22,1.96,9.5,32.0,5890.171795705599,249.46177,805.683778,10250.103544,0.426667,0.426667,175438.865981,0.277778,0.277778,2422.7936,0.089568,33.0,17.0,7.0,15.0
tight_battery,1,alns_fixed,alns_fixed,75,24,3,6,108.0,0.22,1.96,9.5,32.0,5737.8968823056,245.063177,730.932549,10225.826541,0.76,0.76,172559.848638,0.277778,0.277778,2170.6174,0.074309,37.0,18.0,3.0,16.0
very_sparse_corridor,0,alns_pinn_full,alns_full,100,18,3,6,132.0,0.18,1.96,10.5,35.0,27048.7243767824,745.987369,837.293856,33898.829343,0.65,0.65,553920.454697,0.6,0.4,5160.107,0.100382,32.0,11.0,8.0,11.0
very_sparse_corridor,0,no_energy_repair,alns_full_no_energy_repair,100,18,3,6,132.0,0.18,1.96,10.5,35.0,27054.068367782394,745.467473,796.515951,33898.829343,0.65,0.65,553770.270573,0.6,0.4,5160.107,0.105206,33.0,19.0,7.0,19.0
very_sparse_corridor,0,no_sync_repair,alns_full_no_sync_repair,100,18,3,6,132.0,0.18,1.96,10.5,35.0,27048.7243767824,745.987369,837.293856,33898.829343,0.65,0.65,553920.454697,0.6,0.4,5160.107,0.101471,32.0,19.0,8.0,19.0
very_sparse_corridor,0,no_uq,alns_full_no_uq,100,18,3,6,132.0,0.18,1.96,10.5,35.0,28865.7422817424,741.741193,836.285455,33888.732941,0.72,0.72,565203.694746,0.72,0.36,4853.0882,0.099348,31.0,21.0,9.0,14.0
very_sparse_corridor,0,no_risk_value,alns_full_no_risk_value,100,18,3,6,132.0,0.18,1.96,10.5,35.0,23000.0571897824,745.514643,882.229529,33898.829343,0.65,0.65,762868.895257,0.32,0.32,5160.107,0.093958,37.0,18.0,3.0,18.0
very_sparse_corridor,0,alns_fixed,alns_fixed,100,18,3,6,132.0,0.18,1.96,10.5,35.0,22927.877180622396,744.492717,835.074144,33893.775373,0.72,0.72,760390.66966,0.32,0.32,4853.0882,0.075274,37.0,18.0,3.0,18.0
very_sparse_corridor,1,alns_pinn_full,alns_full,100,18,3,6,132.0,0.18,1.96,10.5,35.0,25528.8751352504,750.650082,746.122324,34142.412731,0.64,0.64,404133.125889,0.52,0.4,4472.787,0.085954,25.0,19.0,15.0,19.0
very_sparse_corridor,1,no_energy_repair,alns_full_no_energy_repair,100,18,3,6,132.0,0.18,1.96,10.5,35.0,25723.197282250407,750.590853,692.260143,34142.412731,0.64,0.64,402809.613531,0.52,0.4,4472.787,0.088912,35.0,18.0,5.0,18.0
very_sparse_corridor,1,no_sync_repair,alns_full_no_sync_repair,100,18,3,6,132.0,0.18,1.96,10.5,35.0,25723.197282250407,750.590853,692.260143,34142.412731,0.64,0.64,402809.613531,0.52,0.4,4472.787,0.087562,32.0,13.0,8.0,13.0
very_sparse_corridor,1,no_uq,alns_full_no_uq,100,18,3,6,132.0,0.18,1.96,10.5,35.0,26708.221114650405,752.58318,787.190879,34128.165383,0.74,0.74,399986.335451,0.6,0.32,4372.6901,0.086552,26.0,17.0,14.0,17.0
very_sparse_corridor,1,no_risk_value,alns_full_no_risk_value,100,18,3,6,132.0,0.18,1.96,10.5,35.0,23078.318455250395,732.469212,753.136329,34142.412731,0.64,0.64,554429.26744,0.32,0.32,4472.787,0.088421,32.0,12.0,8.0,11.0
very_sparse_corridor,1,alns_fixed,alns_fixed,100,18,3,6,132.0,0.18,1.96,10.5,35.0,22965.548956930394,730.672296,832.393357,34133.516904,0.74,0.74,551341.346434,0.32,0.32,4372.6901,0.070902,34.0,15.0,6.0,15.0
