stress_case,seed,method,solver_method,tower_count,stop_count,vehicle_count,uav_count,battery_capacity,reserve_ratio,quantile_z,wind_speed,temperature,objective_value,makespan,total_vehicle_distance,expected_energy,energy_violation_rate,infeasible_sortie_rate,risk_weighted_completion_time,top_risk_coverage,feasible_top_risk_coverage,missed_value,solver_runtime,alns_accepted_moves,alns_improving_moves,alns_rejected_moves,alns_best_updates
sparse_high_wind,3,no_risk_value,alns_full_no_risk_value,75,18,3,6,125.0,0.2,1.96,12.0,34.0,18040.365533498596,543.625893,447.748851,16551.271044,0.573333,0.573333,262.496086,0.111111,0.111111,3556.5486,0.099971,129.0,14.0,11.0,12.0
sparse_high_wind,3,alns_fixed,alns_fixed,75,18,3,6,125.0,0.2,1.96,12.0,34.0,17795.3941122586,540.500337,447.748851,16539.78951,0.773333,0.773333,259.291944,0.111111,0.111111,3241.1706,0.084555,123.0,28.0,17.0,17.0
sparse_high_wind,4,alns_pinn_full,alns_full,75,18,3,6,125.0,0.2,1.96,12.0,34.0,19129.58218114169,592.553129,547.447851,16025.736139,0.56,0.56,169.217207,0.611111,0.333333,3527.2144,0.102919,107.0,14.0,33.0,14.0
sparse_high_wind,4,no_energy_repair,alns_full_no_energy_repair,75,18,3,6,125.0,0.2,1.96,12.0,34.0,19129.58218114169,592.553129,547.447851,16025.736139,0.56,0.56,169.217207,0.611111,0.333333,3527.2144,0.112264,119.0,20.0,21.0,18.0
sparse_high_wind,4,no_sync_repair,alns_full_no_sync_repair,75,18,3,6,125.0,0.2,1.96,12.0,34.0,19129.58218114169,592.553129,547.447851,16025.736139,0.56,0.56,169.217207,0.611111,0.333333,3527.2144,0.131831,124.0,18.0,16.0,18.0
sparse_high_wind,4,no_uq,alns_full_no_uq,75,18,3,6,125.0,0.2,1.96,12.0,34.0,19984.58076766169,609.665922,604.352871,16006.640317,0.746667,0.746667,174.720685,0.611111,0.222222,2995.4051,0.131649,104.0,14.0,36.0,13.0
sparse_high_wind,4,no_risk_value,alns_full_no_risk_value,75,18,3,6,125.0,0.2,1.96,12.0,34.0,17033.408087141688,532.37308,451.972493,16025.736139,0.56,0.56,211.983303,0.166667,0.166667,3527.2144,0.137764,127.0,20.0,13.0,19.0
sparse_high_wind,4,alns_fixed,alns_fixed,75,18,3,6,125.0,0.2,1.96,12.0,34.0,16994.402546861686,549.025372,451.972493,16017.047049,0.746667,0.746667,211.00724,0.166667,0.166667,2995.4051,0.112305,117.0,26.0,23.0,23.0
sparse_high_wind,5,alns_pinn_full,alns_full,75,18,3,6,125.0,0.2,1.96,12.0,34.0,19208.41055645774,590.901994,480.774194,16321.615672,0.586667,0.586667,166.321642,0.666667,0.388889,3336.9531,0.138539,105.0,13.0,35.0,13.0
sparse_high_wind,5,no_energy_repair,alns_full_no_energy_repair,75,18,3,6,125.0,0.2,1.96,12.0,34.0,19208.41055645774,590.901994,480.774194,16321.615672,0.586667,0.586667,166.321642,0.666667,0.388889,3336.9531,0.127623,122.0,11.0,18.0,9.0
