stress_case,seed,method,solver_method,tower_count,stop_count,vehicle_count,uav_count,battery_capacity,reserve_ratio,quantile_z,wind_speed,temperature,objective_value,makespan,total_vehicle_distance,expected_energy,energy_violation_rate,infeasible_sortie_rate,risk_weighted_completion_time,top_risk_coverage,missed_value,solver_runtime,alns_accepted_moves,alns_improving_moves,alns_rejected_moves,alns_best_updates
sparse_high_wind,4,alns_pinn_full,alns_full,75,18,3,6,125.0,0.2,1.96,12.0,34.0,9532.371285156,340.77443,722.640565,16025.736139,0.56,0.56,209714.824983,0.555556,3527.2144,0.072442,109.0,20.0,31.0,12.0
sparse_high_wind,4,no_energy_repair,alns_full_no_energy_repair,75,18,3,6,125.0,0.2,1.96,12.0,34.0,9532.371285156,340.77443,722.640565,16025.736139,0.56,0.56,209714.824983,0.555556,3527.2144,0.076932,123.0,15.0,17.0,14.0
sparse_high_wind,4,no_sync_repair,alns_full_no_sync_repair,75,18,3,6,125.0,0.2,1.96,12.0,34.0,9532.371285156,340.77443,722.640565,16025.736139,0.56,0.56,209714.824983,0.555556,3527.2144,0.080151,126.0,19.0,14.0,14.0
sparse_high_wind,4,no_uq,rv_alns,75,18,3,6,125.0,0.2,1.96,12.0,34.0,13286.626890675998,334.762723,798.941004,16006.640317,0.746667,0.746667,252323.94168,0.777778,2995.4051,0.014105,0.0,0.0,0.0,0.0
sparse_high_wind,4,no_risk_value,uq_alns,75,18,3,6,125.0,0.2,1.96,12.0,34.0,13228.631618156001,339.340354,794.446343,16025.736139,0.56,0.56,253325.2936,0.722222,3527.2144,0.016854,0.0,0.0,0.0,0.0
sparse_high_wind,4,alns_fixed,alns_fixed,75,18,3,6,125.0,0.2,1.96,12.0,34.0,8384.615302876002,363.047049,721.046884,16017.047049,0.746667,0.746667,272565.964318,0.111111,2995.4051,0.062221,130.0,31.0,10.0,23.0
sparse_high_wind,5,alns_pinn_full,alns_full,75,18,3,6,125.0,0.2,1.96,12.0,34.0,10584.8409164456,379.915434,599.045743,16321.615672,0.586667,0.586667,193536.72412,0.611111,3336.9531,0.072917,111.0,16.0,29.0,10.0
sparse_high_wind,5,no_energy_repair,alns_full_no_energy_repair,75,18,3,6,125.0,0.2,1.96,12.0,34.0,10584.8409164456,379.915434,599.045743,16321.615672,0.586667,0.586667,193536.72412,0.611111,3336.9531,0.079729,124.0,22.0,16.0,12.0
sparse_high_wind,5,no_sync_repair,alns_full_no_sync_repair,75,18,3,6,125.0,0.2,1.96,12.0,34.0,10584.8409164456,379.915434,599.045743,16321.615672,0.586667,0.586667,193536.72412,0.611111,3336.9531,0.07384,123.0,12.0,17.0,12.0
sparse_high_wind,5,no_uq,rv_alns,75,18,3,6,125.0,0.2,1.96,12.0,34.0,13481.124720845599,368.860412,735.006468,16305.938049,0.746667,0.746667,215929.421157,0.888889,2975.6335,0.013949,0.0,0.0,0.0,0.0
sparse_high_wind,5,no_risk_value,uq_alns,75,18,3,6,125.0,0.2,1.96,12.0,34.0,13441.1424814456,367.657389,715.537604,16321.615672,0.586667,0.586667,216580.775662,0.833333,3336.9531,0.016205,0.0,0.0,0.0,0.0
sparse_high_wind,5,alns_fixed,alns_fixed,75,18,3,6,125.0,0.2,1.96,12.0,34.0,8686.729026845598,371.534768,656.894538,16305.938049,0.746667,0.746667,261804.129252,0.277778,2975.6335,0.07143,129.0,20.0,11.0,15.0
sparse_high_wind,6,alns_pinn_full,alns_full,75,18,3,6,125.0,0.2,1.96,12.0,34.0,9945.0390930632,350.737546,707.110721,15987.993411,0.546667,0.546667,209412.198928,0.555556,3196.8348,0.082118,115.0,22.0,25.0,11.0
sparse_high_wind,6,no_energy_repair,alns_full_no_energy_repair,75,18,3,6,125.0,0.2,1.96,12.0,34.0,9945.0390930632,350.737546,707.110721,15987.993411,0.546667,0.546667,209412.198928,0.555556,3196.8348,0.082842,125.0,25.0,15.0,12.0
sparse_high_wind,6,no_sync_repair,alns_full_no_sync_repair,75,18,3,6,125.0,0.2,1.96,12.0,34.0,9945.0390930632,350.737546,707.110721,15987.993411,0.546667,0.546667,209412.198928,0.555556,3196.8348,0.078357,123.0,19.0,17.0,16.0
sparse_high_wind,6,no_uq,rv_alns,75,18,3,6,125.0,0.2,1.96,12.0,34.0,13313.7822872232,347.812018,694.134564,15967.218914,0.76,0.76,247638.130328,0.888889,3095.0389,0.019677,0.0,0.0,0.0,0.0
sparse_high_wind,6,no_risk_value,uq_alns,75,18,3,6,125.0,0.2,1.96,12.0,34.0,13285.970107063195,348.622239,697.270156,15987.993411,0.546667,0.546667,249263.320895,0.833333,3196.8348,0.02269,0.0,0.0,0.0,0.0
sparse_high_wind,6,alns_fixed,alns_fixed,75,18,3,6,125.0,0.2,1.96,12.0,34.0,8422.1622185432,350.974281,656.853874,15988.385786,0.76,0.76,260185.28556,0.111111,3095.0389,0.077221,126.0,19.0,14.0,15.0
sparse_high_wind,7,alns_pinn_full,alns_full,75,18,3,6,125.0,0.2,1.96,12.0,34.0,11045.486878825599,366.989067,701.409852,15920.975696,0.533333,0.533333,254814.950181,0.555556,3426.0351,0.07926,115.0,20.0,25.0,15.0
sparse_high_wind,7,no_energy_repair,alns_full_no_energy_repair,75,18,3,6,125.0,0.2,1.96,12.0,34.0,11045.486878825599,366.989067,701.409852,15920.975696,0.533333,0.533333,254814.950181,0.555556,3426.0351,0.079471,125.0,18.0,15.0,16.0
