tower_id,stop_id,uav_id,start,finish,energy_mean,energy_q95,feasible,value,risk,vehicle_id,vehicle_arrival,vehicle_departure,road_travel,priority,sortie_id,risk_value,duration,service_rank,id_tower,x_tower,y_tower,risk_value_tower,id_stop,x_stop,y_stop,q95_margin,case_id,battery_limit,metrics_rwct,metrics_topcov,metrics_ifr
25,13,2,85.124138,91.415738,58.502822,72.980999,True,115.2585,0.6979,2,83.087129,93.452747,4.43554,0.023309460081,17,0.02330946008054932,6.2916000000000025,18,25,-1.485406,-2.789773,0.02330946008054932,13,-0.865222,-1.35649,59.019001,public_bay_area_full,132.0,104.570332,1.0,0.0
28,14,0,87.022124,93.285724,40.874199,50.989675,True,114.4535,0.6909,0,86.10908,94.198767,5.717963,0.022671991641,18,0.02267199164146024,6.263599999999997,19,28,-0.601765,0.554118,0.02267199164146024,14,-0.160444,1.097474,81.010325,public_bay_area_full,132.0,104.570332,1.0,0.0
20,10,1,87.365128,93.579528,38.152203,47.594044,True,113.039,0.6786,1,86.647737,94.29692,7.79408,0.021571931985,19,0.021571931985156334,6.214399999999998,20,20,-3.737516,5.131297,0.021571931985156334,10,-3.390764,5.55822,84.405956,public_bay_area_full,132.0,104.570332,1.0,0.0
6,3,1,97.457422,103.333422,34.059299,42.488235,True,115.31,0.594,1,96.935684,103.855161,2.638764,0.019755416416,22,0.019755416415610214,5.876000000000005,21,6,-6.436521,4.641194,0.019755416415610214,3,-6.184338,4.951683,89.511765,public_bay_area_full,132.0,104.570332,1.0,0.0
42,20,3,99.630826,105.734426,40.55542,50.592005,True,109.8535,0.6509,0,98.69947,106.710757,0.0,0.019188206549,23,0.01918820654900973,6.1036,22,42,3.797698,-1.839489,0.01918820654900973,20,4.13474,-1.210001,81.407995,public_bay_area_full,132.0,104.570332,1.0,0.0
41,20,0,99.612513,105.797713,41.082877,51.249996,True,112.1995,0.6713,0,98.69947,106.710757,4.500703,0.020931143724,21,0.020931143723677936,6.185199999999995,23,41,3.693419,-1.753357,0.020931143723677936,20,4.13474,-1.210001,80.75000399999999,public_bay_area_full,132.0,104.570332,1.0,0.0
52,26,2,101.715842,107.935442,42.827812,53.426765,True,113.1885,0.6799,2,100.697319,108.953965,7.244572,0.021686989862,20,0.021686989861755598,6.2196,24,52,6.285221,-0.578214,0.021686989861755598,26,6.972475,-0.948938,78.573235,public_bay_area_full,132.0,104.570332,1.0,0.0
2,1,1,106.05824,111.84144,36.729009,45.81864,True,112.642,0.5708,1,105.340849,112.558832,1.485688,0.017877276807,24,0.017877276806741903,5.783200000000008,25,2,-7.416315,3.180568,0.017877276806741903,1,-7.069563,3.607491,86.18136,public_bay_area_full,132.0,104.570332,1.0,0.0
54,27,2,116.294124,122.310124,38.807865,48.411968,True,107.335,0.629,2,115.473585,123.130663,6.51962,0.017395406115,26,0.01739540611547544,6.016000000000005,26,54,6.901993,6.363639,0.01739540611547544,27,7.471458,6.096336,83.588032,public_bay_area_full,132.0,104.570332,1.0,0.0
22,11,0,117.071419,123.104219,40.713939,50.789754,True,107.818,0.6332,0,116.158375,124.017262,9.447618,0.017732947873,25,0.01773294787256162,6.032799999999995,27,22,-2.684289,6.251543,0.01773294787256162,11,-2.242968,6.794899,81.210246,public_bay_area_full,132.0,104.570332,1.0,0.0
