size,variant_index,tower_count,stop_count,vehicle_count,uavs_per_vehicle,seed,uncertainty,method,candidate_mode,nearest_per_tower,scenario_id,milp_status,total_candidate_pairs,screened_pair_count,candidate_pair_reduction,feasible_candidate_pairs,alns_accepted_moves,alns_improving_moves,alns_rejected_moves,alns_best_updates,alns_objective_evaluations,alns_score_cache_size,alns_repair_position_evaluations,destroy_random_removal_uses,destroy_worst_energy_removal_uses,destroy_shaw_related_removal_uses,destroy_path_segment_removal_uses,destroy_uav_chain_removal_uses,repair_greedy_insert_repair_uses,repair_regret_insert_repair_uses,repair_energy_minimum_insert_repair_uses,repair_synchronization_aware_insert_repair_uses,makespan,total_vehicle_distance,expected_energy,energy_violation_rate,infeasible_sortie_rate,risk_weighted_completion_time,top_risk_coverage,missed_value,solver_runtime,objective_value,milp_gap,optimality_gap_pct
M,2,75,35,3,3,0,medium,alns_pinn_full,dbscan,3,M75_P35_seed0_medium_dbscan3,not_milp,225,101,0.551111,13,76.0,16.0,24.0,13.0,101.0,75.0,1400.0,26.0,18.0,17.0,13.0,26.0,37.0,34.0,12.0,17.0,315.525476,472.064789,18401.683448,0.72,0.72,164536.771558,0.555556,3824.4572,0.01753,10891.555804168802,0.0,0.0
M,2,75,35,3,3,1,medium,alns_pinn_full,direct,3,M75_P35_seed1_medium,not_milp,2625,2625,0.0,2625,78.0,13.0,22.0,4.0,101.0,75.0,1400.0,16.0,24.0,16.0,14.0,30.0,32.0,41.0,9.0,18.0,100.489852,1227.252993,4359.939128,0.013333,0.013333,57764.409939,0.888889,41.0945,0.103395,2755.127871790401,0.0,0.0
M,2,75,35,3,3,1,medium,alns_pinn_full,kmeans,3,M75_P35_seed1_medium_kmeans35,not_milp,2625,225,0.914286,132,78.0,15.0,22.0,5.0,101.0,75.0,1400.0,24.0,16.0,22.0,14.0,24.0,37.0,38.0,8.0,17.0,72.808269,1175.724739,3551.418253,0.0,0.0,50380.2436,0.888889,0,0.102489,2348.2295459903994,0.0,0.0
M,2,75,35,3,3,1,medium,alns_pinn_full,dbscan,3,M75_P35_seed1_medium_dbscan3,not_milp,225,101,0.551111,13,73.0,18.0,27.0,12.0,101.0,75.0,1400.0,20.0,23.0,16.0,16.0,25.0,31.0,35.0,12.0,22.0,308.818225,411.62956,19967.054656,0.8,0.8,188575.686311,0.722222,4509.6536,0.018335,10745.5096541104,0.0,0.0
M,2,75,35,3,3,2,medium,alns_pinn_full,direct,3,M75_P35_seed2_medium,not_milp,2625,2625,0.0,2625,78.0,12.0,22.0,8.0,101.0,75.0,1400.0,15.0,23.0,23.0,20.0,19.0,34.0,41.0,12.0,13.0,93.916254,1298.764064,4383.587853,0.04,0.04,55164.980751,0.888889,182.8656,0.104154,2617.2237110568008,0.0,0.0
M,2,75,35,3,3,2,medium,alns_pinn_full,kmeans,3,M75_P35_seed2_medium_kmeans35,not_milp,2625,225,0.914286,128,76.0,21.0,24.0,7.0,101.0,75.0,1400.0,18.0,19.0,25.0,19.0,19.0,45.0,34.0,11.0,10.0,68.727675,1251.211089,3339.960627,0.0,0.0,46782.661835,0.944444,0,0.10196,2175.6666929768,0.0,0.0
M,2,75,35,3,3,2,medium,alns_pinn_full,dbscan,3,M75_P35_seed2_medium_dbscan3,not_milp,225,97,0.568889,11,77.0,15.0,23.0,15.0,101.0,75.0,1400.0,15.0,21.0,27.0,17.0,20.0,38.0,39.0,12.0,11.0,313.050682,431.865985,20074.370515,0.76,0.76,185608.181821,0.666667,4141.8783,0.018692,10725.782369056798,0.0,0.0
M,2,75,35,3,3,3,medium,alns_pinn_full,direct,3,M75_P35_seed3_medium,not_milp,2625,2625,0.0,2625,83.0,26.0,17.0,1.0,101.0,75.0,1400.0,16.0,21.0,23.0,23.0,17.0,39.0,39.0,10.0,12.0,93.822782,1224.764345,4289.926563,0.026667,0.026667,67917.805302,0.833333,56.9357,0.099847,2678.4682382343995,0.0,0.0
M,2,75,35,3,3,3,medium,alns_pinn_full,kmeans,3,M75_P35_seed3_medium_kmeans35,not_milp,2625,225,0.914286,134,81.0,25.0,19.0,1.0,101.0,75.0,1400.0,10.0,21.0,25.0,19.0,25.0,40.0,37.0,9.0,14.0,75.030152,1263.296012,3498.563206,0.0,0.0,59176.769018,0.777778,0,0.104044,2254.7305781944,0.0,0.0
M,2,75,35,3,3,3,medium,alns_pinn_full,dbscan,3,M75_P35_seed3_medium_dbscan3,not_milp,225,99,0.56,12,78.0,21.0,22.0,12.0,101.0,75.0,1400.0,13.0,21.0,20.0,19.0,27.0,33.0,39.0,9.0,19.0,312.094712,525.211571,19887.941766,0.786667,0.786667,209615.445312,0.777778,4591.1421,0.018486,10572.9890839944,0.0,0.0
M,2,75,35,3,3,4,medium,alns_pinn_full,direct,3,M75_P35_seed4_medium,not_milp,2625,2625,0.0,2625,77.0,22.0,23.0,5.0,101.0,75.0,1400.0,13.0,28.0,20.0,20.0,19.0,38.0,30.0,10.0,22.0,88.748214,1073.069335,4475.111386,0.04,0.04,48700.846632,0.888889,164.1925,0.100422,2668.8053626248006,0.0,0.0
M,2,75,35,3,3,4,medium,alns_pinn_full,kmeans,3,M75_P35_seed4_medium_kmeans35,not_milp,2625,225,0.914286,122,79.0,24.0,21.0,10.0,101.0,75.0,1400.0,25.0,23.0,18.0,11.0,23.0,37.0,36.0,11.0,16.0,71.736862,1178.016231,3516.44491,0.0,0.0,42017.91363,0.888889,0,0.100909,2267.2382114248,0.0,0.0
M,2,75,35,3,3,4,medium,alns_pinn_full,dbscan,3,M75_P35_seed4_medium_dbscan3,not_milp,225,101,0.551111,13,75.0,15.0,25.0,10.0,101.0,75.0,1400.0,20.0,20.0,20.0,14.0,26.0,47.0,25.0,12.0,16.0,308.541865,448.973446,20293.969125,0.773333,0.773333,175419.603618,0.777778,4109.1504,0.015505,10706.766342944804,0.0,0.0
M,2,75,35,3,3,5,medium,alns_pinn_full,direct,3,M75_P35_seed5_medium,not_milp,2625,2625,0.0,2625,80.0,17.0,20.0,10.0,101.0,75.0,1400.0,20.0,25.0,17.0,18.0,20.0,41.0,33.0,11.0,15.0,93.594296,1327.878588,4527.373013,0.026667,0.026667,70345.546494,0.888889,107.7381,0.099535,2671.4056266688,0.0,0.0
M,2,75,35,3,3,5,medium,alns_pinn_full,kmeans,3,M75_P35_seed5_medium_kmeans35,not_milp,2625,225,0.914286,122,78.0,22.0,22.0,5.0,101.0,75.0,1400.0,12.0,23.0,30.0,14.0,21.0,45.0,26.0,11.0,18.0,70.574315,1369.870433,3509.292996,0.0,0.0,59665.403061,0.944444,0,0.102976,2199.2486552688,0.0,0.0
M,2,75,35,3,3,5,medium,alns_pinn_full,dbscan,3,M75_P35_seed5_medium_dbscan3,not_milp,225,99,0.56,12,78.0,17.0,22.0,14.0,101.0,75.0,1400.0,21.0,21.0,16.0,18.0,24.0,49.0,22.0,12.0,17.0,316.413173,463.014326,20468.968187,0.773333,0.773333,241559.594525,0.777778,4732.2095,0.01667,10881.5119995888,0.0,0.0
M,2,75,35,3,3,6,medium,alns_pinn_full,direct,3,M75_P35_seed6_medium,not_milp,2625,2625,0.0,2625,80.0,24.0,20.0,7.0,101.0,75.0,1400.0,31.0,18.0,16.0,16.0,19.0,30.0,45.0,9.0,16.0,97.121006,1171.10789,4226.46785,0.026667,0.026667,65655.967105,0.944444,117.0014,0.102745,2885.4762232519997,0.0,0.0
M,2,75,35,3,3,6,medium,alns_pinn_full,kmeans,3,M75_P35_seed6_medium_kmeans35,not_milp,2625,225,0.914286,156,78.0,27.0,22.0,3.0,101.0,75.0,1400.0,25.0,28.0,19.0,12.0,16.0,40.0,30.0,12.0,18.0,70.842502,1349.458331,3352.674189,0.0,0.0,54566.911998,0.888889,0,0.102847,2358.364697412,0.0,0.0
M,2,75,35,3,3,6,medium,alns_pinn_full,dbscan,3,M75_P35_seed6_medium_dbscan3,not_milp,225,103,0.542222,14,75.0,22.0,25.0,12.0,101.0,75.0,1400.0,27.0,22.0,22.0,13.0,16.0,34.0,39.0,13.0,14.0,310.229283,478.989702,17815.823154,0.72,0.72,225909.06516,0.666667,4155.2706,0.018124,11053.002262811995,0.0,0.0
M,2,75,35,3,3,7,medium,alns_pinn_full,direct,3,M75_P35_seed7_medium,not_milp,2625,2625,0.0,2625,82.0,30.0,18.0,5.0,101.0,75.0,1400.0,30.0,16.0,22.0,15.0,17.0,52.0,27.0,11.0,10.0,94.317951,1085.817817,4384.775938,0.026667,0.026667,57742.76784,0.777778,122.5055,0.102406,2770.6004902584,0.0,0.0
M,2,75,35,3,3,7,medium,alns_pinn_full,kmeans,3,M75_P35_seed7_medium_kmeans35,not_milp,2625,223,0.915048,130,81.0,11.0,19.0,5.0,101.0,75.0,1400.0,24.0,19.0,10.0,26.0,21.0,41.0,37.0,11.0,11.0,72.02111,1130.774023,3454.614514,0.0,0.0,50094.742283,0.833333,0,0.104787,2309.0705564584,0.0,0.0
M,2,75,35,3,3,7,medium,alns_pinn_full,dbscan,3,M75_P35_seed7_medium_dbscan3,not_milp,225,99,0.56,12,82.0,18.0,18.0,14.0,101.0,75.0,1400.0,29.0,19.0,16.0,19.0,17.0,35.0,43.0,8.0,14.0,305.640702,480.073854,20062.933726,0.773333,0.773333,196487.538262,0.555556,4374.8925,0.021654,10799.151820058403,0.0,0.0
M,2,75,35,3,3,8,medium,alns_pinn_full,direct,3,M75_P35_seed8_medium,not_milp,2625,2625,0.0,2625,81.0,29.0,19.0,8.0,101.0,75.0,1400.0,17.0,25.0,29.0,11.0,18.0,38.0,32.0,11.0,19.0,89.732285,1219.86105,4342.651093,0.013333,0.013333,40916.839237,0.944444,45.7536,0.103753,2672.2859382135994,0.0,0.0
M,2,75,35,3,3,8,medium,alns_pinn_full,kmeans,3,M75_P35_seed8_medium_kmeans35,not_milp,2625,225,0.914286,123,82.0,24.0,18.0,10.0,101.0,75.0,1400.0,17.0,26.0,21.0,21.0,15.0,48.0,29.0,11.0,12.0,75.562408,1244.404353,3562.658047,0.0,0.0,38937.69522,0.888889,0,0.104421,2418.7071059736,0.0,0.0
M,2,75,35,3,3,8,medium,alns_pinn_full,dbscan,3,M75_P35_seed8_medium_dbscan3,not_milp,225,95,0.577778,10,78.0,14.0,22.0,11.0,101.0,75.0,1400.0,14.0,23.0,27.0,20.0,16.0,31.0,43.0,12.0,14.0,309.360266,449.879752,20689.430741,0.786667,0.786667,141386.958488,0.666667,3952.8479,0.018068,10459.2420916936,0.0,0.0
M,2,75,35,3,3,9,medium,alns_pinn_full,direct,3,M75_P35_seed9_medium,not_milp,2625,2625,0.0,2625,79.0,26.0,21.0,12.0,101.0,75.0,1400.0,28.0,22.0,16.0,17.0,17.0,30.0,42.0,11.0,17.0,90.939298,1264.919746,4104.719045,0.013333,0.013333,43220.197903,1.0,57.4049,0.105588,2720.9095558695994,0.0,0.0
M,2,75,35,3,3,9,medium,alns_pinn_full,kmeans,3,M75_P35_seed9_medium_kmeans35,not_milp,2625,225,0.914286,155,75.0,16.0,25.0,10.0,101.0,75.0,1400.0,15.0,23.0,31.0,12.0,19.0,36.0,36.0,13.0,15.0,71.903426,1209.611815,3428.687736,0.0,0.0,37115.623691,0.888889,0,0.10363,2351.5364179895996,0.0,0.0
M,2,75,35,3,3,9,medium,alns_pinn_full,dbscan,3,M75_P35_seed9_medium_dbscan3,not_milp,225,105,0.533333,15,78.0,13.0,22.0,13.0,101.0,75.0,1400.0,24.0,13.0,23.0,17.0,23.0,42.0,36.0,11.0,11.0,305.687503,401.45995,18263.480633,0.733333,0.733333,147897.025969,0.722222,3658.4511,0.017652,10391.264132549602,0.0,0.0
M,3,100,50,3,3,0,medium,alns_pinn_full,direct,3,M100_P50_seed0_medium,not_milp,5000,5000,0.0,5000,76.0,29.0,24.0,3.0,101.0,100.0,1800.0,19.0,17.0,28.0,11.0,25.0,36.0,32.0,13.0,19.0,112.584064,2110.617217,5436.129334,0.0,0.0,107553.898344,0.88,0,0.193035,4825.271808428801,0.0,0.0
M,3,100,50,3,3,0,medium,alns_pinn_full,kmeans,3,M100_P50_seed0_medium_kmeans50,not_milp,5000,298,0.9404,177,74.0,31.0,26.0,3.0,101.0,100.0,1800.0,21.0,17.0,29.0,12.0,21.0,31.0,38.0,13.0,18.0,96.428233,2183.131316,4634.071863,0.0,0.0,96813.693665,0.92,0,0.191016,4202.678400788799,0.0,0.0
M,3,100,50,3,3,0,medium,alns_pinn_full,dbscan,3,M100_P50_seed0_medium_dbscan3,not_milp,300,122,0.593333,11,74.0,17.0,26.0,13.0,101.0,100.0,1800.0,20.0,18.0,22.0,17.0,23.0,34.0,36.0,12.0,18.0,525.82408,607.593824,35608.095552,0.83,0.83,455027.576646,0.68,6392.7764,0.025292,23711.886883348798,0.0,0.0
M,3,100,50,3,3,1,medium,alns_pinn_full,direct,3,M100_P50_seed1_medium,not_milp,5000,5000,0.0,5000,81.0,29.0,19.0,3.0,101.0,100.0,1800.0,10.0,19.0,20.0,19.0,32.0,32.0,42.0,14.0,12.0,101.87114,2332.001017,5261.086315,0.0,0.0,92122.104639,0.96,0,0.187526,4813.165995383999,0.0,0.0
M,3,100,50,3,3,1,medium,alns_pinn_full,kmeans,3,M100_P50_seed1_medium_kmeans50,not_milp,5000,300,0.94,194,80.0,25.0,20.0,9.0,101.0,100.0,1800.0,21.0,14.0,19.0,23.0,23.0,34.0,43.0,12.0,11.0,89.075065,2356.473842,4386.093195,0.0,0.0,81553.420857,0.92,0,0.188733,4130.389518943999,0.0,0.0
M,3,100,50,3,3,1,medium,alns_pinn_full,dbscan,3,M100_P50_seed1_medium_dbscan3,not_milp,300,128,0.573333,14,73.0,16.0,27.0,16.0,101.0,100.0,1800.0,21.0,17.0,20.0,19.0,23.0,36.0,36.0,14.0,14.0,510.785774,603.701039,33847.263116,0.82,0.82,422108.120478,0.64,6262.0751,0.024071,23435.458644343995,0.0,0.0
M,3,100,50,3,3,2,medium,alns_pinn_full,direct,3,M100_P50_seed2_medium,not_milp,5000,5000,0.0,5000,74.0,29.0,26.0,9.0,101.0,100.0,1800.0,16.0,19.0,20.0,20.0,25.0,24.0,50.0,14.0,12.0,107.666098,2182.737119,5424.6116,0.01,0.01,72952.037429,0.96,48.2452,0.195233,4695.009882502399,0.0,0.0
M,3,100,50,3,3,2,medium,alns_pinn_full,kmeans,3,M100_P50_seed2_medium_kmeans50,not_milp,5000,300,0.94,182,80.0,26.0,20.0,7.0,101.0,100.0,1800.0,17.0,23.0,19.0,21.0,20.0,28.0,45.0,7.0,20.0,90.321645,2121.384666,4401.929,0.0,0.0,63489.223856,0.88,0,0.194601,3936.6964093024,0.0,0.0
M,3,100,50,3,3,2,medium,alns_pinn_full,dbscan,3,M100_P50_seed2_medium_dbscan3,not_milp,300,122,0.593333,11,74.0,15.0,26.0,11.0,101.0,100.0,1800.0,16.0,17.0,25.0,17.0,25.0,27.0,46.0,14.0,13.0,502.41994,698.495221,36000.22286,0.83,0.83,338086.620363,0.64,5569.3059,0.02529,23341.46835794241,0.0,0.0
M,3,100,50,3,3,3,medium,alns_pinn_full,direct,3,M100_P50_seed3_medium,not_milp,5000,5000,0.0,5000,77.0,29.0,23.0,2.0,101.0,100.0,1800.0,21.0,17.0,31.0,15.0,16.0,34.0,38.0,14.0,14.0,100.692281,2212.167386,5452.605697,0.0,0.0,91496.063741,0.92,0,0.189244,4737.9685800336,0.0,0.0
M,3,100,50,3,3,3,medium,alns_pinn_full,kmeans,3,M100_P50_seed3_medium_kmeans50,not_milp,5000,300,0.94,169,77.0,31.0,23.0,1.0,101.0,100.0,1800.0,16.0,21.0,25.0,18.0,20.0,28.0,39.0,14.0,19.0,92.50579,2153.09355,4528.563047,0.0,0.0,80254.185375,0.96,0,0.194056,4071.3726501936,0.0,0.0
M,3,100,50,3,3,3,medium,alns_pinn_full,dbscan,3,M100_P50_seed3_medium_dbscan3,not_milp,300,118,0.606667,9,71.0,14.0,29.0,13.0,101.0,100.0,1800.0,14.0,16.0,24.0,20.0,26.0,30.0,39.0,14.0,17.0,523.331252,636.642119,36066.426103,0.85,0.85,418684.793643,0.68,6407.9955,0.026143,23646.7585572736,0.0,0.0
M,3,100,50,3,3,4,medium,alns_pinn_full,direct,3,M100_P50_seed4_medium,not_milp,5000,5000,0.0,5000,78.0,31.0,22.0,12.0,101.0,100.0,1800.0,33.0,21.0,12.0,10.0,24.0,42.0,36.0,13.0,9.0,102.906441,2220.258037,4998.576046,0.0,0.0,91973.096704,0.92,0,0.196951,4650.0502824064,0.0,0.0
M,3,100,50,3,3,4,medium,alns_pinn_full,kmeans,3,M100_P50_seed4_medium_kmeans50,not_milp,5000,298,0.9404,207,78.0,24.0,22.0,9.0,101.0,100.0,1800.0,23.0,16.0,16.0,18.0,27.0,43.0,32.0,12.0,13.0,100.675196,2060.419072,4459.2853,0.0,0.0,83412.717608,0.92,0,0.192803,4139.945845566399,0.0,0.0
M,3,100,50,3,3,4,medium,alns_pinn_full,dbscan,3,M100_P50_seed4_medium_dbscan3,not_milp,300,126,0.58,13,77.0,14.0,23.0,14.0,101.0,100.0,1800.0,33.0,16.0,11.0,13.0,27.0,39.0,38.0,13.0,10.0,513.307703,663.177469,32343.245383,0.79,0.79,414342.66778,0.64,5841.3211,0.024691,23402.199247606397,0.0,0.0
M,3,100,50,3,3,5,medium,alns_pinn_full,direct,3,M100_P50_seed5_medium,not_milp,5000,5000,0.0,5000,86.0,30.0,14.0,7.0,101.0,100.0,1800.0,22.0,20.0,20.0,20.0,18.0,44.0,34.0,6.0,16.0,103.808596,2188.054617,4961.055402,0.0,0.0,98464.040565,0.96,0,0.192123,4596.158635535198,0.0,0.0
M,3,100,50,3,3,5,medium,alns_pinn_full,kmeans,3,M100_P50_seed5_medium_kmeans50,not_milp,5000,300,0.94,226,82.0,35.0,18.0,6.0,101.0,100.0,1800.0,14.0,20.0,26.0,17.0,23.0,42.0,27.0,11.0,20.0,90.964952,2270.318827,4206.565092,0.0,0.0,86004.513033,0.96,0,0.188912,3917.3985416952,0.0,0.0
M,3,100,50,3,3,5,medium,alns_pinn_full,dbscan,3,M100_P50_seed5_medium_dbscan3,not_milp,300,132,0.56,16,81.0,26.0,19.0,11.0,101.0,100.0,1800.0,20.0,18.0,23.0,17.0,22.0,44.0,30.0,10.0,16.0,544.051996,580.47821,31096.935266,0.79,0.79,468210.513247,0.72,6254.4885,0.023977,23562.353972295194,0.0,0.0
M,3,100,50,3,3,6,medium,alns_pinn_full,direct,3,M100_P50_seed6_medium,not_milp,5000,5000,0.0,5000,75.0,20.0,25.0,4.0,101.0,100.0,1800.0,24.0,16.0,22.0,19.0,19.0,31.0,41.0,13.0,15.0,103.926336,2098.66446,5168.890399,0.0,0.0,112256.499839,0.96,0,0.193348,4465.59768994,0.0,0.0
M,3,100,50,3,3,6,medium,alns_pinn_full,kmeans,3,M100_P50_seed6_medium_kmeans50,not_milp,5000,300,0.94,214,74.0,21.0,26.0,7.0,101.0,100.0,1800.0,22.0,17.0,19.0,16.0,26.0,32.0,37.0,14.0,17.0,94.436962,2020.965462,4377.132229,0.0,0.0,96018.680629,0.92,0,0.191256,3775.5358546600005,0.0,0.0
M,3,100,50,3,3,6,medium,alns_pinn_full,dbscan,3,M100_P50_seed6_medium_dbscan3,not_milp,300,124,0.586667,12,79.0,29.0,21.0,21.0,101.0,100.0,1800.0,28.0,15.0,24.0,16.0,17.0,41.0,35.0,11.0,13.0,521.872529,609.790848,31958.713284,0.79,0.79,528956.843478,0.76,6519.7807,0.025263,23492.02708294,0.0,0.0
M,3,100,50,3,3,7,medium,alns_pinn_full,direct,3,M100_P50_seed7_medium,not_milp,5000,5000,0.0,5000,79.0,11.0,21.0,9.0,101.0,100.0,1800.0,29.0,16.0,11.0,18.0,26.0,42.0,36.0,13.0,9.0,98.687705,2049.275877,4978.815229,0.0,0.0,100332.69458,0.88,0,0.192922,4405.690778606398,0.0,0.0
M,3,100,50,3,3,7,medium,alns_pinn_full,kmeans,3,M100_P50_seed7_medium_kmeans50,not_milp,5000,300,0.94,223,80.0,24.0,20.0,9.0,101.0,100.0,1800.0,33.0,19.0,10.0,18.0,20.0,41.0,36.0,11.0,12.0,90.736658,2263.797622,4339.644678,0.0,0.0,93793.411051,0.88,0,0.192971,3962.2898928464,0.0,0.0
M,3,100,50,3,3,7,medium,alns_pinn_full,dbscan,3,M100_P50_seed7_medium_dbscan3,not_milp,300,128,0.573333,14,82.0,18.0,18.0,17.0,101.0,100.0,1800.0,29.0,15.0,10.0,23.0,23.0,38.0,43.0,10.0,9.0,525.075079,616.963608,32106.305196,0.8,0.8,475226.296127,0.72,6533.0882,0.024465,23341.244927806394,0.0,0.0
M,3,100,50,3,3,8,medium,alns_pinn_full,direct,3,M100_P50_seed8_medium,not_milp,5000,5000,0.0,5000,80.0,19.0,20.0,8.0,101.0,100.0,1800.0,21.0,19.0,18.0,16.0,26.0,34.0,42.0,10.0,14.0,102.522042,2170.25739,5069.698217,0.0,0.0,79586.173897,0.88,0,0.188993,4856.636196890399,0.0,0.0
M,3,100,50,3,3,8,medium,alns_pinn_full,kmeans,3,M100_P50_seed8_medium_kmeans50,not_milp,5000,300,0.94,224,81.0,19.0,19.0,6.0,101.0,100.0,1800.0,20.0,16.0,24.0,14.0,26.0,36.0,41.0,11.0,12.0,91.119056,2005.944644,4227.366487,0.0,0.0,74917.78328,0.96,0,0.191442,4329.2565444904,0.0,0.0
M,3,100,50,3,3,8,medium,alns_pinn_full,dbscan,3,M100_P50_seed8_medium_dbscan3,not_milp,300,126,0.58,13,81.0,22.0,19.0,15.0,101.0,100.0,1800.0,23.0,21.0,20.0,21.0,15.0,35.0,39.0,9.0,17.0,514.019315,661.041853,30642.485143,0.79,0.79,385136.599815,0.64,5527.6892,0.02499,23918.307237050398,0.0,0.0
M,3,100,50,3,3,9,medium,alns_pinn_full,direct,3,M100_P50_seed9_medium,not_milp,5000,5000,0.0,5000,78.0,14.0,22.0,10.0,101.0,100.0,1800.0,20.0,15.0,25.0,18.0,22.0,34.0,43.0,11.0,12.0,115.375271,2072.326991,5291.93392,0.01,0.01,93977.847292,0.88,31.7211,0.194495,4806.0402588056,0.0,0.0
M,3,100,50,3,3,9,medium,alns_pinn_full,kmeans,3,M100_P50_seed9_medium_kmeans50,not_milp,5000,300,0.94,187,77.0,13.0,23.0,6.0,101.0,100.0,1800.0,21.0,24.0,20.0,11.0,24.0,31.0,42.0,11.0,16.0,97.658859,2190.180616,4602.886067,0.0,0.0,84651.808159,0.88,0,0.194779,4235.778161845599,0.0,0.0
M,3,100,50,3,3,9,medium,alns_pinn_full,dbscan,3,M100_P50_seed9_medium_dbscan3,not_milp,300,130,0.566667,15,74.0,22.0,26.0,19.0,101.0,100.0,1800.0,27.0,12.0,22.0,14.0,25.0,37.0,35.0,10.0,18.0,541.278976,601.968056,33327.008997,0.8,0.8,410654.186964,0.64,6033.7012,0.026381,23248.087876325608,0.0,0.0
