size,variant_index,tower_count,stop_count,vehicle_count,uavs_per_vehicle,seed,uncertainty,method,candidate_mode,nearest_per_tower,scenario_id,milp_status,total_candidate_pairs,screened_pair_count,candidate_pair_reduction,feasible_candidate_pairs,makespan,total_vehicle_distance,expected_energy,energy_violation_rate,infeasible_sortie_rate,risk_weighted_completion_time,top_risk_coverage,missed_value,solver_runtime,objective_value,milp_gap,optimality_gap_pct
M,0,30,15,2,2,0,medium,alns_pinn_full,direct,3,M30_P15_seed0_medium,not_milp,450,450,0.0,450,72.004794,212.130965,1633.792152,0.0,0.0,22054.05368,0.857143,0,0.084509,990.6167461632001,0.0,0.0
M,0,30,15,2,2,0,medium,alns_pinn_full,kmeans,3,M30_P15_seed0_medium_kmeans15,not_milp,450,90,0.8,54,59.344569,250.112202,1336.074931,0.0,0.0,19415.57366,0.857143,0,0.088642,826.9175296432,0.0,0.0
M,0,30,15,2,2,0,medium,alns_pinn_full,dbscan,3,M30_P15_seed0_medium_dbscan3,not_milp,90,54,0.4,12,137.944807,168.571988,3508.17493,0.4,0.4,42044.584057,0.714286,989.0768,0.082963,1929.5402054432,0.0,0.0
M,0,30,15,2,2,1,medium,alns_pinn_full,direct,3,M30_P15_seed1_medium,not_milp,450,450,0.0,450,67.714146,285.834701,1508.372753,0.0,0.0,18821.769151,1.0,0,0.086884,913.1812541055999,0.0,0.0
M,0,30,15,2,2,1,medium,alns_pinn_full,kmeans,3,M30_P15_seed1_medium_kmeans15,not_milp,450,90,0.8,63,62.368457,310.057742,1301.56269,0.0,0.0,15727.462719,1.0,0,0.085419,761.1576581855999,0.0,0.0
M,0,30,15,2,2,1,medium,alns_pinn_full,dbscan,3,M30_P15_seed1_medium_dbscan3,not_milp,90,58,0.355556,14,133.224631,221.183439,3350.677394,0.233333,0.233333,30585.861238,0.714286,461.8435,0.079726,1774.0926379056002,0.0,0.0
M,1,50,25,2,2,0,medium,alns_pinn_full,direct,3,M50_P25_seed0_medium,not_milp,1250,1250,0.0,1250,114.029078,617.983466,2601.619784,0.0,0.0,65413.876045,0.833333,0,0.571046,2721.9594844624,0.0,0.0
M,1,50,25,2,2,0,medium,alns_pinn_full,kmeans,3,M50_P25_seed0_medium_kmeans25,not_milp,1250,150,0.88,107,103.154642,625.900396,2210.077894,0.0,0.0,61048.528966,0.916667,0,0.532669,2457.2569511424003,0.0,0.0
M,1,50,25,2,2,0,medium,alns_pinn_full,dbscan,3,M50_P25_seed0_medium_dbscan3,not_milp,150,76,0.493333,13,315.31254,349.890841,8683.940785,0.6,0.6,150518.60053,0.75,2189.4075,0.561275,7317.366893022399,0.0,0.0
M,1,50,25,2,2,1,medium,alns_pinn_full,direct,3,M50_P25_seed1_medium,not_milp,1250,1250,0.0,1250,116.043513,659.786235,2581.842911,0.0,0.0,61111.455168,0.916667,0,0.696719,2570.7367260919996,0.0,0.0
M,1,50,25,2,2,1,medium,alns_pinn_full,kmeans,3,M50_P25_seed1_medium_kmeans25,not_milp,1250,150,0.88,100,104.326287,618.0457,2209.459151,0.0,0.0,54897.716817,0.916667,0,0.739076,2245.6932751719996,0.0,0.0
M,1,50,25,2,2,1,medium,alns_pinn_full,dbscan,3,M50_P25_seed1_medium_dbscan3,not_milp,150,74,0.506667,12,317.078561,359.894389,8986.317559,0.6,0.6,161855.312309,0.583333,2349.0558,0.580094,7393.495482492,0.0,0.0
