size,variant_index,tower_count,stop_count,vehicle_count,uavs_per_vehicle,seed,uncertainty,method,candidate_mode,nearest_per_tower,scenario_id,milp_status,milp_reference_scope,milp_optimizes_rwct,milp_completion_time_scope,total_candidate_pairs,screened_pair_count,candidate_pair_reduction,feasible_candidate_pairs,baseline_family,baseline_candidate_evaluations,baseline_generations,baseline_population_size,baseline_ant_count,baseline_best_order_score,alns_use_quantile,alns_risk_value_weight,alns_adaptive_enabled,alns_accepted_moves,alns_improving_moves,alns_rejected_moves,alns_best_updates,alns_objective_evaluations,alns_score_cache_size,alns_repair_position_evaluations,destroy_random_removal_uses,destroy_worst_energy_removal_uses,destroy_shaw_related_removal_uses,destroy_path_segment_removal_uses,destroy_uav_chain_removal_uses,repair_greedy_insert_repair_uses,repair_regret_insert_repair_uses,repair_energy_minimum_insert_repair_uses,repair_synchronization_aware_insert_repair_uses,makespan,total_vehicle_distance,expected_energy,energy_violation_rate,infeasible_sortie_rate,risk_weighted_completion_time,top_risk_coverage,feasible_top_risk_coverage,sortie_count,avg_towers_per_sortie,missed_value,solver_runtime,objective_value,milp_gap,optimality_gap_pct
M,0,30,15,2,2,3,medium,alns_pinn_full,kmeans,3,M30_P15_seed3_medium_kmeans15,not_milp,not_milp,False,not_milp,450,90,0.8,52,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,77.0,15.0,23.0,1.0,101.0,30.0,500.0,19.0,12.0,30.0,21.0,18.0,35.0,36.0,17.0,12.0,249.572237,285.63667,1363.673456,0.0,0.0,57.050001,1.0,1.0,30,1.0,0,0.038927,3309.2030437046283,0.0,0.0
M,0,30,15,2,2,3,medium,alns_pinn_full,dbscan,3,M30_P15_seed3_medium_dbscan3,not_milp,not_milp,False,not_milp,90,54,0.4,12,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,74.0,10.0,26.0,9.0,101.0,30.0,500.0,17.0,15.0,23.0,24.0,21.0,41.0,31.0,13.0,15.0,205.972129,90.302054,3729.450753,0.4,0.4,54.222384,0.571429,0.285714,30,1.0,1074.5266,0.025625,2693.532189544628,0.0,0.0
M,0,30,15,2,2,4,medium,alns_pinn_full,direct,3,M30_P15_seed4_medium,not_milp,not_milp,False,not_milp,450,450,0.0,52,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,74.0,15.0,26.0,4.0,101.0,30.0,500.0,22.0,18.0,27.0,14.0,19.0,45.0,26.0,13.0,16.0,262.191496,304.782012,1611.26964,0.0,0.0,81.258194,0.857143,0.857143,30,1.0,0,0.043252,3818.1608353664446,0.0,0.0
M,0,30,15,2,2,4,medium,alns_pinn_full,kmeans,3,M30_P15_seed4_medium_kmeans15,not_milp,not_milp,False,not_milp,450,90,0.8,55,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,75.0,9.0,25.0,3.0,101.0,30.0,500.0,19.0,25.0,14.0,13.0,29.0,33.0,39.0,13.0,15.0,235.244249,296.563229,1356.943227,0.0,0.0,75.899405,0.857143,0.857143,29,1.034483,0,0.056595,3497.418345686444,0.0,0.0
M,0,30,15,2,2,4,medium,alns_pinn_full,dbscan,3,M30_P15_seed4_medium_dbscan3,not_milp,not_milp,False,not_milp,90,52,0.422222,11,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,75.0,9.0,25.0,8.0,101.0,30.0,500.0,25.0,17.0,19.0,19.0,20.0,36.0,36.0,11.0,17.0,215.563136,106.093121,3622.676297,0.413793,0.413793,61.966936,0.714286,0.714286,29,1.034483,920.453,0.032224,2707.341677926444,0.0,0.0
M,0,30,15,2,2,5,medium,alns_pinn_full,direct,3,M30_P15_seed5_medium,not_milp,not_milp,False,not_milp,450,450,0.0,57,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,72.0,12.0,28.0,4.0,101.0,30.0,500.0,9.0,21.0,32.0,16.0,22.0,42.0,27.0,11.0,20.0,235.116968,268.804534,1589.583903,0.0,0.0,39.695931,1.0,1.0,29,1.034483,0,0.079945,3071.800382007404,0.0,0.0
M,0,30,15,2,2,5,medium,alns_pinn_full,kmeans,3,M30_P15_seed5_medium_kmeans15,not_milp,not_milp,False,not_milp,450,90,0.8,51,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,72.0,14.0,28.0,4.0,101.0,30.0,500.0,12.0,15.0,31.0,22.0,20.0,48.0,22.0,17.0,13.0,218.166016,251.055767,1431.500703,0.0,0.0,35.456959,1.0,1.0,30,1.0,0,0.076431,2706.130243327404,0.0,0.0
M,0,30,15,2,2,5,medium,alns_pinn_full,dbscan,3,M30_P15_seed5_medium_dbscan3,not_milp,not_milp,False,not_milp,90,54,0.4,12,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,77.0,13.0,23.0,10.0,101.0,30.0,500.0,21.0,24.0,17.0,15.0,23.0,41.0,32.0,10.0,17.0,201.637305,92.308219,3664.32078,0.4,0.4,36.355006,1.0,0.571429,30,1.0,1106.2932,0.034744,2531.3202898474037,0.0,0.0
M,0,30,15,2,2,6,medium,alns_pinn_full,direct,3,M30_P15_seed6_medium,not_milp,not_milp,False,not_milp,450,450,0.0,50,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,69.0,8.0,31.0,3.0,101.0,30.0,500.0,22.0,22.0,21.0,22.0,13.0,30.0,35.0,12.0,23.0,245.560928,263.673053,1619.453473,0.0,0.0,63.660729,1.0,1.0,28,1.071429,0,0.079499,3458.3161407192,0.0,0.0
M,0,30,15,2,2,6,medium,alns_pinn_full,kmeans,3,M30_P15_seed6_medium_kmeans15,not_milp,not_milp,False,not_milp,450,90,0.8,53,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,78.0,20.0,22.0,5.0,101.0,30.0,500.0,26.0,20.0,19.0,13.0,22.0,26.0,47.0,10.0,17.0,209.209766,248.26031,1425.249423,0.0,0.0,52.725387,0.857143,0.857143,30,1.0,0,0.07904,2858.9367435192003,0.0,0.0
