method,candidate_mode,size,tower_count,stop_count,uncertainty,n,makespan_mean,makespan_sd,total_vehicle_distance_mean,total_vehicle_distance_sd,expected_energy_mean,expected_energy_sd,energy_violation_rate_mean,energy_violation_rate_sd,infeasible_sortie_rate_mean,infeasible_sortie_rate_sd,risk_weighted_completion_time_mean,risk_weighted_completion_time_sd,top_risk_coverage_mean,top_risk_coverage_sd,feasible_top_risk_coverage_mean,feasible_top_risk_coverage_sd,sortie_count_mean,sortie_count_sd,avg_towers_per_sortie_mean,avg_towers_per_sortie_sd,missed_value_mean,missed_value_sd,solver_runtime_mean,solver_runtime_sd,objective_value_mean,objective_value_sd,milp_gap_mean,milp_gap_sd,milp_optimizes_rwct_mean,milp_optimizes_rwct_sd,optimality_gap_pct_mean,optimality_gap_pct_sd,total_candidate_pairs_mean,total_candidate_pairs_sd,screened_pair_count_mean,screened_pair_count_sd,candidate_pair_reduction_mean,candidate_pair_reduction_sd,feasible_candidate_pairs_mean,feasible_candidate_pairs_sd,alns_accepted_moves_mean,alns_accepted_moves_sd,alns_improving_moves_mean,alns_improving_moves_sd,alns_rejected_moves_mean,alns_rejected_moves_sd,alns_best_updates_mean,alns_best_updates_sd,alns_objective_evaluations_mean,alns_objective_evaluations_sd,alns_score_cache_size_mean,alns_score_cache_size_sd,alns_repair_position_evaluations_mean,alns_repair_position_evaluations_sd,destroy_random_removal_uses_mean,destroy_random_removal_uses_sd,destroy_worst_energy_removal_uses_mean,destroy_worst_energy_removal_uses_sd,destroy_shaw_related_removal_uses_mean,destroy_shaw_related_removal_uses_sd,destroy_path_segment_removal_uses_mean,destroy_path_segment_removal_uses_sd,destroy_uav_chain_removal_uses_mean,destroy_uav_chain_removal_uses_sd,repair_greedy_insert_repair_uses_mean,repair_greedy_insert_repair_uses_sd,repair_regret_insert_repair_uses_mean,repair_regret_insert_repair_uses_sd,repair_energy_minimum_insert_repair_uses_mean,repair_energy_minimum_insert_repair_uses_sd,repair_synchronization_aware_insert_repair_uses_mean,repair_synchronization_aware_insert_repair_uses_sd,baseline_candidate_evaluations_mean,baseline_candidate_evaluations_sd,baseline_generations_mean,baseline_generations_sd,baseline_population_size_mean,baseline_population_size_sd,baseline_ant_count_mean,baseline_ant_count_sd,baseline_best_order_score_mean,baseline_best_order_score_sd,alns_risk_value_weight_mean,alns_risk_value_weight_sd,alns_adaptive_enabled_mean,alns_adaptive_enabled_sd,source,sensitivity_factor,sensitivity_level
alns_fixed,kmeans,L,300,150.0,medium,10,1662.680581,75.322009,6420.115782,370.586507,13253.888167,382.385649,0.001,0.00161,0.001,0.00161,786.844125,40.981072,0.256,0.040637,0.256,0.040637,300.0,0.0,1.0,0.0,0.0,0.0,2.70484,0.375516,236491.450689,13898.731077,0.0,0.0,0.0,0.0,0.0,0.0,45000.0,0.0,899.4,0.966092,0.980013,2.1e-05,625.1,46.800878,54.8,1.398412,21.9,7.781031,5.2,1.398412,17.1,4.701064,61.0,0.0,300.0,0.0,3240.0,0.0,11.6,5.541761,11.0,1.943651,14.0,2.581989,11.1,4.332051,12.3,5.355164,16.4,4.718757,18.5,3.205897,16.7,4.98999,8.4,2.412928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,P2,,
alns_fixed,kmeans,L,500,250.0,medium,10,3624.309789,81.603552,15139.276661,475.833872,22620.134054,647.57446,0.0032,0.00391,0.0032,0.00391,1701.878493,61.464345,0.2368,0.019668,0.2368,0.019668,500.0,0.0,1.0,0.0,0.0,0.0,5.863221,1.08207,860512.100676,27046.543205,0.0,0.0,0.0,0.0,0.0,0.0,125000.0,0.0,1496.8,3.910101,0.988026,3.1e-05,964.5,71.232405,55.1,2.024846,21.3,4.547282,4.9,2.024846,18.2,4.022161,61.0,0.0,500.0,0.0,5400.0,0.0,13.1,4.629615,9.2,2.740641,12.7,6.342975,10.8,3.425395,14.2,3.552777,19.2,4.894441,15.7,5.313505,17.2,3.224903,7.9,3.314949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,P2,,
alns_fixed,kmeans,M,30,15.0,medium,10,212.294024,26.174127,256.283422,35.229056,1354.029641,52.730976,0.0,0.0,0.0,0.0,98.732529,21.179346,0.228571,0.120468,0.228571,0.120468,30.0,0.0,1.0,0.0,0.0,0.0,0.040329,0.006058,2889.349834,372.272966,0.0,0.0,0.0,0.0,0.0,0.0,450.0,0.0,90.0,0.0,0.8,0.0,55.5,4.813176,89.7,3.560587,17.7,3.802046,10.3,3.560587,13.1,3.142893,101.0,0.0,30.0,0.0,500.0,0.0,24.3,5.498485,19.0,4.642796,20.5,3.95109,17.3,3.88873,18.9,5.42525,27.5,7.027723,28.7,6.219146,28.6,5.481281,15.2,5.411921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,P2,,
alns_fixed,kmeans,M,50,25.0,medium,10,416.929265,27.38863,557.528952,50.745826,2268.507598,84.408853,0.008,0.013984,0.008,0.013984,197.971373,26.28829,0.233333,0.094608,0.233333,0.094608,50.0,0.0,1.0,0.0,0.0,0.0,0.091261,0.010507,9956.947103,685.291029,0.0,0.0,0.0,0.0,0.0,0.0,1250.0,0.0,149.2,1.398412,0.88064,0.001119,93.9,6.436873,89.0,2.905933,21.4,7.105553,11.0,2.905933,13.4,3.098387,101.0,0.0,50.0,0.0,900.0,0.0,20.8,4.184628,23.2,3.552777,19.0,5.887841,17.4,4.005552,19.6,7.545418,27.8,3.705851,26.5,4.719934,28.3,3.88873,17.4,5.168279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,P2,,
alns_fixed,kmeans,M,75,35.0,medium,10,464.737206,28.941112,986.133765,70.135191,3447.070019,103.288732,0.001333,0.004216,0.001333,0.004216,219.927155,15.581705,0.25,0.075223,0.25,0.075223,75.0,0.0,1.0,0.0,0.0,0.0,0.202963,0.027567,16639.227282,918.330391,0.0,0.0,0.0,0.0,0.0,0.0,2625.0,0.0,224.8,0.632456,0.914362,0.000241,135.7,14.150383,91.6,2.458545,23.4,3.747592,8.4,2.458545,15.7,3.198958,101.0,0.0,75.0,0.0,1400.0,0.0,26.1,5.40473,19.3,2.830391,18.9,3.842742,15.4,3.169297,20.3,7.484057,30.5,5.233439,30.3,4.110961,26.0,2.788867,13.2,3.047768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,P2,,
alns_fixed,kmeans,M,100,50.0,medium,10,699.945625,29.859337,1563.83786,70.663037,4415.93129,142.916817,0.002,0.004216,0.002,0.004216,327.462088,24.394687,0.256,0.082624,0.256,0.082624,100.0,0.0,1.0,0.0,0.0,0.0,0.318379,0.048977,32550.719164,1645.373221,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,0.0,299.6,0.843274,0.94008,0.000169,200.3,21.197746,91.3,1.567021,24.4,5.929212,8.7,1.567021,15.2,4.184628,101.0,0.0,100.0,0.0,1800.0,0.0,23.0,7.483315,19.1,4.357624,21.9,6.154492,15.3,2.263233,20.7,4.137901,31.9,5.173651,25.2,6.285786,30.1,6.573516,12.8,3.823901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,P2,,
alns_pinn,kmeans,L,150,75.0,medium,10,1253.107103,70.425915,2763.673546,206.152483,6738.934425,222.257524,0.002667,0.006441,0.002667,0.006441,349.12562,36.267726,0.978378,0.017093,0.97027,0.032357,150.0,0.0,1.0,0.0,0.0,0.0,0.207323,0.026291,93595.116335,5917.095209,0.0,0.0,0.0,0.0,0.0,0.0,11250.0,0.0,449.2,1.932184,0.960071,0.000172,290.7,23.485456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P2,,
alns_pinn,kmeans,L,200,100.0,medium,10,1318.012024,61.919462,3912.27059,277.358551,8894.906295,360.554397,0.004,0.008097,0.004,0.008097,362.0827,25.128448,0.976,0.012649,0.974,0.013499,200.0,0.0,1.0,0.0,16.38907,51.82679,0.396522,0.084657,128217.77129,8011.035201,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,0.0,598.4,3.238655,0.97008,0.000162,398.7,36.524117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P2,,
alns_pinn,kmeans,L,300,150.0,medium,10,1758.881418,82.198614,6836.834856,403.532923,13253.676069,382.453279,0.001,0.00161,0.001,0.00161,486.140086,25.594084,0.977333,0.010977,0.976,0.013771,300.0,0.0,1.0,0.0,0.0,0.0,0.82568,0.127049,258200.377546,14947.209104,0.0,0.0,0.0,0.0,0.0,0.0,45000.0,0.0,899.4,0.966092,0.980013,2.1e-05,625.1,46.800878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P2,,
alns_pinn,kmeans,L,500,250.0,medium,10,3627.359538,146.367295,14947.939491,844.345993,22617.962167,646.318718,0.0032,0.00391,0.0032,0.00391,1005.102924,61.573412,0.984,0.008433,0.9824,0.008262,500.0,0.0,1.0,0.0,0.0,0.0,1.950407,0.483734,885505.027078,54071.378236,0.0,0.0,0.0,0.0,0.0,0.0,125000.0,0.0,1496.8,3.910101,0.988026,3.1e-05,964.5,71.232405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P2,,
alns_pinn,kmeans,M,30,15.0,medium,10,219.247517,14.825713,257.274193,25.09054,1353.970802,52.821411,0.0,0.0,0.0,0.0,54.018402,11.539505,0.971429,0.060234,0.971429,0.060234,30.0,0.0,1.0,0.0,0.0,0.0,0.010617,0.00181,3084.148437,276.802159,0.0,0.0,0.0,0.0,0.0,0.0,450.0,0.0,90.0,0.0,0.8,0.0,55.5,4.813176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P2,,
alns_pinn,kmeans,M,50,25.0,medium,10,452.607066,21.398202,608.264827,33.975849,2267.752158,83.542295,0.008,0.013984,0.008,0.013984,121.243382,9.769678,0.958333,0.04392,0.958333,0.04392,50.0,0.0,1.0,0.0,0.0,0.0,0.026165,0.001711,10872.110708,575.038159,0.0,0.0,0.0,0.0,0.0,0.0,1250.0,0.0,149.2,1.398412,0.88064,0.001119,93.9,6.436873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P2,,
alns_pinn,kmeans,M,75,35.0,medium,10,477.457936,19.610355,986.965022,54.207853,3446.146774,103.000523,0.001333,0.004216,0.001333,0.004216,119.962204,14.189107,0.977778,0.028689,0.977778,0.028689,75.0,0.0,1.0,0.0,0.0,0.0,0.06005,0.007897,17062.193429,1195.666358,0.0,0.0,0.0,0.0,0.0,0.0,2625.0,0.0,224.8,0.632456,0.914362,0.000241,135.7,14.150383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P2,,
alns_pinn,kmeans,M,100,50.0,medium,10,714.434788,37.946036,1583.357493,120.829695,4415.93129,142.916817,0.002,0.004216,0.002,0.004216,189.029893,13.503073,0.972,0.032931,0.972,0.032931,100.0,0.0,1.0,0.0,0.0,0.0,0.099867,0.018746,34200.382557,1998.176833,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,0.0,299.6,0.843274,0.94008,0.000169,200.3,21.197746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P2,,
alns_pinn_full,kmeans,L,150,75.0,medium,10,1255.338763,48.6497,2791.671434,161.978523,6725.374148,220.952712,0.0,0.0,0.0,0.0,344.70495,21.841815,0.962162,0.022791,0.962162,0.022791,149.5,0.707107,1.003365,0.004767,0.0,0.0,0.846235,0.148087,92788.794838,3486.928282,0.0,0.0,0.0,0.0,0.0,0.0,11250.0,0.0,449.2,1.932184,0.960071,0.000172,290.7,23.485456,47.1,2.424413,17.9,5.586691,12.9,2.424413,8.6,4.005552,61.0,0.0,150.0,0.0,1620.0,0.0,11.9,4.605552,11.3,3.12872,10.6,4.221637,12.0,4.642796,14.2,3.047768,23.6,3.949684,21.4,4.115013,7.0,1.333333,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,1.0,0.0,P2,,
alns_pinn_full,kmeans,L,200,100.0,medium,10,1328.67383,57.593052,3948.422811,240.443326,8890.579491,357.153689,0.0,0.0,0.0,0.0,365.033128,21.308813,0.98,0.021082,0.98,0.021082,199.8,0.421637,1.001005,0.002119,0.0,0.0,1.586197,0.300194,128641.251171,6138.231611,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,0.0,598.4,3.238655,0.97008,0.000162,398.7,36.524117,47.3,2.790858,20.1,4.357624,12.7,2.790858,11.5,4.57651,61.0,0.0,200.0,0.0,2160.0,0.0,14.1,5.646041,9.1,2.884826,11.7,3.860052,10.3,3.743142,14.8,5.202563,24.3,4.110961,21.2,3.675746,6.4,1.646545,8.1,1.66333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,1.0,0.0,P2,,
alns_pinn_full,kmeans,L,300,150.0,medium,10,1734.65155,54.192086,6673.332154,237.68836,13250.51939,376.320336,0.0,0.0,0.0,0.0,475.654052,22.827514,0.973333,0.010887,0.973333,0.010887,299.9,0.316228,1.000334,0.001057,0.0,0.0,3.344849,0.547823,251886.159185,7560.107155,0.0,0.0,0.0,0.0,0.0,0.0,45000.0,0.0,899.4,0.966092,0.980013,2.1e-05,625.1,46.800878,47.1,1.523884,22.7,5.578729,12.9,1.523884,10.7,6.6675,61.0,0.0,300.0,0.0,3240.0,0.0,10.6,4.087923,11.2,1.873796,11.6,3.747592,12.2,2.529822,14.4,2.065591,22.5,5.502525,22.3,6.092801,6.9,1.66333,8.3,1.567021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,1.0,0.0,P2,,
alns_pinn_full,kmeans,L,500,250.0,medium,10,3701.015203,137.282191,15332.991021,674.298866,22608.065881,645.323885,0.0,0.0,0.0,0.0,1035.346478,43.93699,0.9736,0.008475,0.9736,0.008475,499.6,0.516398,1.000802,0.001035,0.0,0.0,7.932421,0.601478,906800.722896,35242.701467,0.0,0.0,0.0,0.0,0.0,0.0,125000.0,0.0,1496.8,3.910101,0.988026,3.1e-05,964.5,71.232405,46.9,2.685351,21.8,5.050853,13.1,2.685351,15.1,5.486347,61.0,0.0,500.0,0.0,5400.0,0.0,16.4,4.835057,10.2,2.394438,9.3,4.083844,11.0,2.94392,13.1,3.414023,22.2,5.865151,23.6,5.796551,7.1,1.37032,7.1,1.791957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,1.0,0.0,P2,,
