method,candidate_mode,size,tower_count,stop_count,uncertainty,n,makespan_mean,makespan_sd,total_vehicle_distance_mean,total_vehicle_distance_sd,expected_energy_mean,expected_energy_sd,energy_violation_rate_mean,energy_violation_rate_sd,infeasible_sortie_rate_mean,infeasible_sortie_rate_sd,risk_weighted_completion_time_mean,risk_weighted_completion_time_sd,top_risk_coverage_mean,top_risk_coverage_sd,feasible_top_risk_coverage_mean,feasible_top_risk_coverage_sd,sortie_count_mean,sortie_count_sd,avg_towers_per_sortie_mean,avg_towers_per_sortie_sd,missed_value_mean,missed_value_sd,solver_runtime_mean,solver_runtime_sd,objective_value_mean,objective_value_sd,milp_gap_mean,milp_gap_sd,milp_optimizes_rwct_mean,milp_optimizes_rwct_sd,optimality_gap_pct_mean,optimality_gap_pct_sd,total_candidate_pairs_mean,total_candidate_pairs_sd,screened_pair_count_mean,screened_pair_count_sd,candidate_pair_reduction_mean,candidate_pair_reduction_sd,feasible_candidate_pairs_mean,feasible_candidate_pairs_sd,alns_accepted_moves_mean,alns_accepted_moves_sd,alns_improving_moves_mean,alns_improving_moves_sd,alns_rejected_moves_mean,alns_rejected_moves_sd,alns_best_updates_mean,alns_best_updates_sd,alns_objective_evaluations_mean,alns_objective_evaluations_sd,alns_score_cache_size_mean,alns_score_cache_size_sd,alns_repair_position_evaluations_mean,alns_repair_position_evaluations_sd,alns_portfolio_candidate_count_mean,alns_portfolio_candidate_count_sd,alns_selected_portfolio_infeasible_count_mean,alns_selected_portfolio_infeasible_count_sd,alns_selected_portfolio_rwct_mean,alns_selected_portfolio_rwct_sd,alns_selected_portfolio_makespan_mean,alns_selected_portfolio_makespan_sd,destroy_random_removal_uses_mean,destroy_random_removal_uses_sd,destroy_worst_energy_removal_uses_mean,destroy_worst_energy_removal_uses_sd,destroy_shaw_related_removal_uses_mean,destroy_shaw_related_removal_uses_sd,destroy_path_segment_removal_uses_mean,destroy_path_segment_removal_uses_sd,destroy_uav_chain_removal_uses_mean,destroy_uav_chain_removal_uses_sd,repair_greedy_insert_repair_uses_mean,repair_greedy_insert_repair_uses_sd,repair_regret_insert_repair_uses_mean,repair_regret_insert_repair_uses_sd,repair_energy_minimum_insert_repair_uses_mean,repair_energy_minimum_insert_repair_uses_sd,repair_synchronization_aware_insert_repair_uses_mean,repair_synchronization_aware_insert_repair_uses_sd,baseline_candidate_evaluations_mean,baseline_candidate_evaluations_sd,baseline_generations_mean,baseline_generations_sd,baseline_population_size_mean,baseline_population_size_sd,baseline_ant_count_mean,baseline_ant_count_sd,baseline_best_order_score_mean,baseline_best_order_score_sd,alns_risk_value_weight_mean,alns_risk_value_weight_sd,alns_adaptive_enabled_mean,alns_adaptive_enabled_sd
greedy_nearest,kmeans,M,100,50,medium,10,564.196271,28.998379,1229.251672,88.013241,4415.93129,142.916817,0.002,0.004216,0.002,0.004216,254.262876,22.526686,0.26,0.082731,0.26,0.082731,100.0,0.0,1.0,0.0,0.0,0.0,0.011866,0.001905,25224.403088,1209.429402,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,0.0,299.6,0.843274,0.94008,0.000169,200.3,21.197746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ga,kmeans,M,100,50,medium,10,725.321468,51.40454,1621.158724,161.079174,4415.93129,142.916817,0.002,0.004216,0.002,0.004216,190.939206,13.477282,0.972,0.032931,0.972,0.032931,100.0,0.0,1.0,0.0,0.0,0.0,0.169859,0.022582,34812.156964,2215.585638,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,0.0,299.6,0.843274,0.94008,0.000169,200.3,21.197746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,989.9,29.666479,50.0,0.0,30.0,0.0,0.0,0.0,27388.666507,1756.292639,0.0,0.0,0.0,0.0
aco,kmeans,M,100,50,medium,10,717.669169,42.815907,1583.963998,132.405198,4415.93129,142.916817,0.002,0.004216,0.002,0.004216,189.74135,14.535362,0.968,0.031552,0.968,0.031552,100.0,0.0,1.0,0.0,0.0,0.0,0.268131,0.037983,34446.66566,2069.426545,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,0.0,299.6,0.843274,0.94008,0.000169,200.3,21.197746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,50.0,0.0,0.0,0.0,24.0,0.0,23320.705562,1452.514545,0.0,0.0,0.0,0.0
alns_fixed,kmeans,M,100,50,medium,10,699.945625,29.859337,1563.83786,70.663037,4415.93129,142.916817,0.002,0.004216,0.002,0.004216,327.462088,24.394687,0.256,0.082624,0.256,0.082624,100.0,0.0,1.0,0.0,0.0,0.0,0.345075,0.033084,32550.719164,1645.373221,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,0.0,299.6,0.843274,0.94008,0.000169,200.3,21.197746,91.3,1.567021,24.4,5.929212,8.7,1.567021,15.2,4.184628,101.0,0.0,100.0,0.0,1800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,7.483315,19.1,4.357624,21.9,6.154492,15.3,2.263233,20.7,4.137901,31.9,5.173651,25.2,6.285786,30.1,6.573516,12.8,3.823901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
alns_pinn,kmeans,M,100,50,medium,10,714.434788,37.946036,1583.357493,120.829695,4415.93129,142.916817,0.002,0.004216,0.002,0.004216,189.029893,13.503073,0.972,0.032931,0.972,0.032931,100.0,0.0,1.0,0.0,0.0,0.0,0.104785,0.011144,34200.382557,1998.176833,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,0.0,299.6,0.843274,0.94008,0.000169,200.3,21.197746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alns_pinn_uq,kmeans,M,100,50,medium,10,720.962431,39.875693,1597.430302,121.793011,4410.991833,140.049146,0.0,0.0,0.0,0.0,190.298897,13.482942,0.972,0.032931,0.972,0.032931,99.7,0.674949,1.003051,0.006875,0.0,0.0,0.102239,0.010759,34540.018254,1919.150876,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,0.0,299.6,0.843274,0.94008,0.000169,200.3,21.197746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alns_pinn_full,kmeans,M,100,50,medium,10,705.812145,33.762288,1552.367843,98.522343,4414.698765,142.878695,0.0,0.0,0.0,0.0,186.19101,12.566846,0.976,0.033731,0.976,0.033731,99.9,0.316228,1.00101,0.003194,0.0,0.0,0.75393,0.059502,33706.048531,1629.308991,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,0.0,299.6,0.843274,0.94008,0.000169,200.3,21.197746,77.1,3.95671,23.0,7.483315,22.9,3.95671,7.8,3.489667,101.0,0.0,100.0,0.0,1800.0,0.0,4.0,0.0,0.0,0.0,186.19101,12.566846,675.456428,31.797962,22.0,5.617433,18.2,2.740641,21.3,5.538752,16.0,3.231787,22.5,4.766783,37.4,7.662318,36.0,6.992059,12.3,2.710064,14.3,2.213594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,1.0,0.0
