method,candidate_mode,size,tower_count,stop_count,uncertainty,n,makespan_mean,makespan_sd,total_vehicle_distance_mean,total_vehicle_distance_sd,expected_energy_mean,expected_energy_sd,energy_violation_rate_mean,energy_violation_rate_sd,infeasible_sortie_rate_mean,infeasible_sortie_rate_sd,risk_weighted_completion_time_mean,risk_weighted_completion_time_sd,top_risk_coverage_mean,top_risk_coverage_sd,feasible_top_risk_coverage_mean,feasible_top_risk_coverage_sd,sortie_count_mean,sortie_count_sd,avg_towers_per_sortie_mean,avg_towers_per_sortie_sd,missed_value_mean,missed_value_sd,solver_runtime_mean,solver_runtime_sd,objective_value_mean,objective_value_sd,milp_gap_mean,milp_gap_sd,milp_optimizes_rwct_mean,milp_optimizes_rwct_sd,optimality_gap_pct_mean,optimality_gap_pct_sd,total_candidate_pairs_mean,total_candidate_pairs_sd,screened_pair_count_mean,screened_pair_count_sd,candidate_pair_reduction_mean,candidate_pair_reduction_sd,feasible_candidate_pairs_mean,feasible_candidate_pairs_sd,service_graph_pattern_count_mean,service_graph_pattern_count_sd,service_graph_feasible_count_mean,service_graph_feasible_count_sd,selected_sortie_count_mean,selected_sortie_count_sd,missed_service_count_mean,missed_service_count_sd,duplicate_service_count_mean,duplicate_service_count_sd,objective_rwct_mean,objective_rwct_sd,objective_makespan_mean,objective_makespan_sd,objective_ground_travel_mean,objective_ground_travel_sd,objective_q95_energy_mean,objective_q95_energy_sd,objective_missed_penalty_mean,objective_missed_penalty_sd,objective_duplicate_penalty_mean,objective_duplicate_penalty_sd,objective_total_mean,objective_total_sd,alns_accepted_moves_mean,alns_accepted_moves_sd,alns_improving_moves_mean,alns_improving_moves_sd,alns_rejected_moves_mean,alns_rejected_moves_sd,alns_best_updates_mean,alns_best_updates_sd,alns_objective_evaluations_mean,alns_objective_evaluations_sd,alns_score_cache_size_mean,alns_score_cache_size_sd,alns_repair_position_evaluations_mean,alns_repair_position_evaluations_sd,alns_portfolio_candidate_count_mean,alns_portfolio_candidate_count_sd,alns_selected_portfolio_infeasible_count_mean,alns_selected_portfolio_infeasible_count_sd,alns_selected_portfolio_rwct_mean,alns_selected_portfolio_rwct_sd,alns_selected_portfolio_makespan_mean,alns_selected_portfolio_makespan_sd,destroy_random_removal_uses_mean,destroy_random_removal_uses_sd,destroy_worst_energy_removal_uses_mean,destroy_worst_energy_removal_uses_sd,destroy_shaw_related_removal_uses_mean,destroy_shaw_related_removal_uses_sd,destroy_path_segment_removal_uses_mean,destroy_path_segment_removal_uses_sd,destroy_uav_chain_removal_uses_mean,destroy_uav_chain_removal_uses_sd,repair_greedy_insert_repair_uses_mean,repair_greedy_insert_repair_uses_sd,repair_regret_insert_repair_uses_mean,repair_regret_insert_repair_uses_sd,repair_energy_minimum_insert_repair_uses_mean,repair_energy_minimum_insert_repair_uses_sd,repair_synchronization_aware_insert_repair_uses_mean,repair_synchronization_aware_insert_repair_uses_sd,baseline_candidate_evaluations_mean,baseline_candidate_evaluations_sd,baseline_generations_mean,baseline_generations_sd,baseline_population_size_mean,baseline_population_size_sd,baseline_ant_count_mean,baseline_ant_count_sd,baseline_best_order_score_mean,baseline_best_order_score_sd,alns_risk_value_weight_mean,alns_risk_value_weight_sd,alns_adaptive_enabled_mean,alns_adaptive_enabled_sd,source,sensitivity_factor,sensitivity_level
simulated_annealing,kmeans,M,30,15.0,medium,10,221.957488,17.540216,261.792583,30.048235,1348.346986,52.589677,0.0,0.0,0.0,0.0,54.056361,11.389153,0.971429,0.060234,0.971429,0.060234,29.7,0.483046,1.010345,0.016657,0.0,0.0,0.005102,0.000396,3099.895077,285.825237,0.0,0.0,0.0,0.0,0.0,0.0,450.0,0.0,90.0,0.0,0.8,0.0,55.5,4.813176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.6,4.273952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,3138.00601,401.825073,0.0,0.0,0.0,0.0,P2,,
simulated_annealing,kmeans,M,50,25.0,medium,10,452.631086,20.426114,604.014636,36.477238,2263.453217,81.824859,0.0,0.0,0.0,0.0,121.555363,10.072112,0.958333,0.04392,0.958333,0.04392,49.7,0.483046,1.006122,0.009858,0.0,0.0,0.013077,0.000354,10886.377482,494.709807,0.0,0.0,0.0,0.0,0.0,0.0,1250.0,0.0,149.2,1.398412,0.88064,0.001119,93.9,6.436873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.1,2.884826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,9362.070631,735.557396,0.0,0.0,0.0,0.0,P2,,
simulated_annealing,kmeans,M,75,35.0,medium,10,480.782268,24.905992,995.170871,72.577205,3427.83899,110.412054,0.0,0.0,0.0,0.0,122.195058,12.925503,0.972222,0.029281,0.972222,0.029281,74.3,0.483046,1.00946,0.006528,0.0,0.0,0.026019,0.00086,17385.684459,1136.368573,0.0,0.0,0.0,0.0,0.0,0.0,2625.0,0.0,224.8,0.632456,0.914362,0.000241,135.7,14.150383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.2,3.425395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,18803.92834,2074.989863,0.0,0.0,0.0,0.0,P2,,
simulated_annealing,kmeans,M,100,50.0,medium,10,716.857603,42.473591,1594.085638,134.970355,4410.991833,140.049146,0.0,0.0,0.0,0.0,190.019591,13.551475,0.972,0.032931,0.972,0.032931,99.7,0.674949,1.003051,0.006875,0.0,0.0,0.047813,0.001219,34434.426705,2073.983965,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,0.0,299.6,0.843274,0.94008,0.000169,200.3,21.197746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.1,3.95671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,35522.817126,2364.083978,0.0,0.0,0.0,0.0,P2,,
tabu_search,kmeans,L,150,75.0,medium,10,1252.365924,42.397577,2779.648813,110.576607,6736.216317,224.115871,0.0,0.0,0.0,0.0,344.909562,32.676981,0.972973,0.018018,0.972973,0.018018,149.8,0.421637,1.001342,0.00283,0.0,0.0,0.125717,0.002185,92541.341205,4650.594237,0.0,0.0,0.0,0.0,0.0,0.0,11250.0,0.0,449.2,1.932184,0.960071,0.000172,290.7,23.485456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1909.4,2.674987,40.0,0.0,0.0,0.0,0.0,0.0,77610.25187,4611.424963,0.0,0.0,0.0,0.0,P2,,
tabu_search,kmeans,L,200,100.0,medium,10,1312.134082,47.155098,3916.235335,160.763281,8896.740727,363.289999,0.0,0.0,0.0,0.0,359.662947,18.693766,0.98,0.013333,0.98,0.013333,200.0,0.0,1.0,0.0,0.0,0.0,0.213369,0.004011,127312.893039,6149.434594,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,0.0,598.4,3.238655,0.97008,0.000162,398.7,36.524117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1911.4,1.837873,40.0,0.0,0.0,0.0,0.0,0.0,136692.915467,3751.635501,0.0,0.0,0.0,0.0,P2,,
tabu_search,kmeans,L,300,150.0,medium,10,1775.787961,68.914309,6831.723065,321.865947,13252.874248,382.922922,0.0,0.0,0.0,0.0,484.427234,30.254423,0.978667,0.006886,0.978667,0.006886,299.9,0.316228,1.000334,0.001057,0.0,0.0,0.453546,0.008704,256488.448511,12919.613605,0.0,0.0,0.0,0.0,0.0,0.0,45000.0,0.0,899.4,0.966092,0.980013,2.1e-05,625.1,46.800878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1915.0,1.943651,40.0,0.0,0.0,0.0,0.0,0.0,307668.575888,14475.874118,0.0,0.0,0.0,0.0,P2,,
tabu_search,kmeans,L,500,250.0,medium,10,3654.578746,168.499761,15137.90852,914.34915,22621.368063,649.385891,0.0,0.0,0.0,0.0,997.01678,60.937879,0.9872,0.010119,0.9872,0.010119,500.0,0.0,1.0,0.0,0.0,0.0,1.212524,0.011549,882735.924804,54286.890745,0.0,0.0,0.0,0.0,0.0,0.0,125000.0,0.0,1496.8,3.910101,0.988026,3.1e-05,964.5,71.232405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1916.5,1.779513,40.0,0.0,0.0,0.0,0.0,0.0,854742.236953,24372.160858,0.0,0.0,0.0,0.0,P2,,
tabu_search,kmeans,M,30,15.0,medium,10,221.957488,17.540216,261.792583,30.048235,1348.346986,52.589677,0.0,0.0,0.0,0.0,54.056361,11.389153,0.971429,0.060234,0.971429,0.060234,29.7,0.483046,1.010345,0.016657,0.0,0.0,0.009724,0.000291,3099.895077,285.825237,0.0,0.0,0.0,0.0,0.0,0.0,450.0,0.0,90.0,0.0,0.8,0.0,55.5,4.813176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1451.4,6.915361,50.0,0.0,0.0,0.0,0.0,0.0,3138.00601,401.825073,0.0,0.0,0.0,0.0,P2,,
tabu_search,kmeans,M,50,25.0,medium,10,452.631086,20.426114,604.014636,36.477238,2263.453217,81.824859,0.0,0.0,0.0,0.0,121.555363,10.072112,0.958333,0.04392,0.958333,0.04392,49.7,0.483046,1.006122,0.009858,0.0,0.0,0.023722,0.00071,10886.377482,494.709807,0.0,0.0,0.0,0.0,0.0,0.0,1250.0,0.0,149.2,1.398412,0.88064,0.001119,93.9,6.436873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2356.6,5.541761,50.0,0.0,0.0,0.0,0.0,0.0,9362.070631,735.557396,0.0,0.0,0.0,0.0,P2,,
tabu_search,kmeans,M,75,35.0,medium,10,480.782268,24.905992,995.170871,72.577205,3427.83899,110.412054,0.0,0.0,0.0,0.0,122.195058,12.925503,0.972222,0.029281,0.972222,0.029281,74.3,0.483046,1.00946,0.006528,0.0,0.0,0.039956,0.001053,17385.684459,1136.368573,0.0,0.0,0.0,0.0,0.0,0.0,2625.0,0.0,224.8,0.632456,0.914362,0.000241,135.7,14.150383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2371.9,6.505553,50.0,0.0,0.0,0.0,0.0,0.0,18803.92834,2074.989863,0.0,0.0,0.0,0.0,P2,,
tabu_search,kmeans,M,100,50.0,medium,10,716.857603,42.473591,1594.085638,134.970355,4410.991833,140.049146,0.0,0.0,0.0,0.0,190.019591,13.551475,0.972,0.032931,0.972,0.032931,99.7,0.674949,1.003051,0.006875,0.0,0.0,0.066812,0.001931,34434.426705,2073.983965,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,0.0,299.6,0.843274,0.94008,0.000169,200.3,21.197746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2378.8,3.190263,50.0,0.0,0.0,0.0,0.0,0.0,35522.817126,2364.083978,0.0,0.0,0.0,0.0,P2,,
variable_neighborhood_search,kmeans,L,150,75.0,medium,10,1262.698611,54.452799,2793.152204,151.235239,6736.216317,224.115871,0.0,0.0,0.0,0.0,347.123152,36.152145,0.975676,0.015342,0.975676,0.015342,149.8,0.421637,1.001342,0.00283,0.0,0.0,0.111515,0.003542,93121.617069,5606.91136,0.0,0.0,0.0,0.0,0.0,0.0,11250.0,0.0,449.2,1.932184,0.960071,0.000172,290.7,23.485456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,86468.946884,5194.02763,0.0,0.0,0.0,0.0,P2,,
variable_neighborhood_search,kmeans,L,200,100.0,medium,10,1302.027459,35.826717,3855.162966,123.738751,8896.740727,363.289999,0.0,0.0,0.0,0.0,360.766697,16.795999,0.976,0.012649,0.976,0.012649,200.0,0.0,1.0,0.0,0.0,0.0,0.194643,0.006913,127318.56363,4962.856825,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,0.0,598.4,3.238655,0.97008,0.000162,398.7,36.524117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,152259.177039,4218.244569,0.0,0.0,0.0,0.0,P2,,
variable_neighborhood_search,kmeans,L,300,150.0,medium,10,1763.531509,73.575777,6821.246464,363.337184,13251.470787,382.181426,0.0,0.0,0.0,0.0,486.786892,26.964243,0.976,0.010518,0.976,0.010518,299.8,0.421637,1.000669,0.00141,0.0,0.0,0.421199,0.006714,258124.914559,13105.47542,0.0,0.0,0.0,0.0,0.0,0.0,45000.0,0.0,899.4,0.966092,0.980013,2.1e-05,625.1,46.800878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,342780.130572,16256.499936,0.0,0.0,0.0,0.0,P2,,
variable_neighborhood_search,kmeans,L,500,250.0,medium,10,3608.203768,175.832423,14819.567632,835.350264,22619.881905,646.896346,0.0,0.0,0.0,0.0,988.42433,58.765363,0.9808,0.010799,0.9808,0.010799,499.9,0.316228,1.0002,0.000634,0.0,0.0,1.157497,0.015093,871195.520519,47578.074991,0.0,0.0,0.0,0.0,0.0,0.0,125000.0,0.0,1496.8,3.910101,0.988026,3.1e-05,964.5,71.232405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,952269.074442,27411.399459,0.0,0.0,0.0,0.0,P2,,
variable_neighborhood_search,kmeans,M,30,15.0,medium,10,219.175978,16.717346,256.348302,27.027389,1349.876625,54.952092,0.0,0.0,0.0,0.0,53.874665,11.423803,0.971429,0.060234,0.971429,0.060234,29.8,0.421637,1.006897,0.014539,0.0,0.0,0.006919,0.000288,3076.735923,280.754546,0.0,0.0,0.0,0.0,0.0,0.0,450.0,0.0,90.0,0.0,0.8,0.0,55.5,4.813176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,3496.220534,452.050726,0.0,0.0,0.0,0.0,P2,,
variable_neighborhood_search,kmeans,M,50,25.0,medium,10,457.687653,21.327056,614.520485,36.753871,2264.848581,81.668583,0.0,0.0,0.0,0.0,121.985548,10.374341,0.958333,0.04392,0.958333,0.04392,49.8,0.421637,1.004082,0.008605,0.0,0.0,0.015484,0.000465,10964.485566,519.378462,0.0,0.0,0.0,0.0,0.0,0.0,1250.0,0.0,149.2,1.398412,0.88064,0.001119,93.9,6.436873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,10437.792325,824.844796,0.0,0.0,0.0,0.0,P2,,
variable_neighborhood_search,kmeans,M,75,35.0,medium,10,492.206087,21.965584,1033.462829,83.568083,3425.750546,113.114656,0.0,0.0,0.0,0.0,123.261031,11.048932,0.972222,0.029281,0.972222,0.029281,74.2,0.632456,1.010848,0.008625,0.0,0.0,0.029303,0.000831,17652.637678,1010.752033,0.0,0.0,0.0,0.0,0.0,0.0,2625.0,0.0,224.8,0.632456,0.914362,0.000241,135.7,14.150383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,20949.596753,2335.134102,0.0,0.0,0.0,0.0,P2,,
variable_neighborhood_search,kmeans,M,100,50.0,medium,10,718.521711,35.437218,1596.195537,107.563395,4410.991833,140.049146,0.0,0.0,0.0,0.0,189.471084,13.0777,0.972,0.032931,0.972,0.032931,99.7,0.674949,1.003051,0.006875,0.0,0.0,0.051988,0.00126,34379.366577,2069.037247,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,0.0,299.6,0.843274,0.94008,0.000169,200.3,21.197746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,39589.320965,2667.985793,0.0,0.0,0.0,0.0,P2,,
alns_pinn_full,dbscan,M,30,15.0,medium,10,202.544666,18.388084,95.302852,22.669114,3549.157723,170.552813,0.374212,0.0671,0.374212,0.0671,48.41275,9.640069,0.814286,0.202591,0.485714,0.235221,29.4,0.699206,1.020936,0.024665,910.8311,224.097247,0.208266,0.011385,2734.463018,327.61732,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,55.6,2.951459,0.382222,0.032794,12.8,1.47573,1206.0,0.0,34.1,7.460265,29.4,0.699206,0.0,0.0,0.0,0.0,48.41275,9.640069,191.95235,17.68917,63.874526,20.600885,4311.775481,352.798171,0.0,0.0,0.0,0.0,2734.463018,327.61732,70.8,6.160808,29.7,4.029061,29.2,6.160808,0.4,0.699206,101.0,0.0,30.0,0.0,498.2,1.229273,6.1,0.316228,11.0,2.0,48.41275,9.640069,191.95235,17.68917,15.9,3.212822,23.7,6.6675,19.3,5.793675,19.9,6.314885,21.2,4.939636,26.4,5.561774,22.0,6.683313,25.6,5.815688,26.0,5.291503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,1.0,0.0,P6,,
alns_pinn_full,dbscan,M,50,25.0,medium,10,437.489566,41.492477,150.372309,49.852235,9086.030585,377.123203,0.629821,0.031972,0.629821,0.031972,115.863318,8.410885,0.9,0.116534,0.366667,0.125462,49.4,0.843274,1.012415,0.017524,2386.56469,182.992553,0.323196,0.034982,10368.066982,1225.391316,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,74.0,3.399346,0.506667,0.022662,12.0,1.699673,1226.2,0.421637,30.7,6.6675,49.4,0.843274,0.0,0.0,0.0,0.0,115.863318,8.410885,429.416777,42.082455,111.26101,42.362572,11375.813419,693.847603,0.0,0.0,0.0,0.0,10368.066982,1225.391316,79.2,3.765339,37.7,3.743142,20.8,3.765339,1.4,2.674987,101.0,0.0,50.0,0.0,893.8,4.91709,6.6,0.516398,31.1,1.37032,115.863318,8.410885,429.416777,42.082455,13.9,2.601282,26.3,5.012207,18.5,4.949747,15.3,3.020302,26.0,5.206833,25.1,5.606544,24.3,9.092732,27.1,4.886489,23.5,6.240548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,1.0,0.0,P6,,
