method,candidate_mode,size,tower_count,stop_count,uncertainty,n,makespan_mean,makespan_sd,total_vehicle_distance_mean,total_vehicle_distance_sd,expected_energy_mean,expected_energy_sd,energy_violation_rate_mean,energy_violation_rate_sd,infeasible_sortie_rate_mean,infeasible_sortie_rate_sd,risk_weighted_completion_time_mean,risk_weighted_completion_time_sd,top_risk_coverage_mean,top_risk_coverage_sd,feasible_top_risk_coverage_mean,feasible_top_risk_coverage_sd,sortie_count_mean,sortie_count_sd,avg_towers_per_sortie_mean,avg_towers_per_sortie_sd,missed_value_mean,missed_value_sd,solver_runtime_mean,solver_runtime_sd,objective_value_mean,objective_value_sd,milp_gap_mean,milp_gap_sd,milp_optimizes_rwct_mean,milp_optimizes_rwct_sd,optimality_gap_pct_mean,optimality_gap_pct_sd,total_candidate_pairs_mean,total_candidate_pairs_sd,screened_pair_count_mean,screened_pair_count_sd,candidate_pair_reduction_mean,candidate_pair_reduction_sd,feasible_candidate_pairs_mean,feasible_candidate_pairs_sd,service_graph_pattern_count_mean,service_graph_pattern_count_sd,service_graph_feasible_count_mean,service_graph_feasible_count_sd,selected_sortie_count_mean,selected_sortie_count_sd,missed_service_count_mean,missed_service_count_sd,duplicate_service_count_mean,duplicate_service_count_sd,objective_rwct_mean,objective_rwct_sd,objective_makespan_mean,objective_makespan_sd,objective_ground_travel_mean,objective_ground_travel_sd,objective_q95_energy_mean,objective_q95_energy_sd,objective_missed_penalty_mean,objective_missed_penalty_sd,objective_duplicate_penalty_mean,objective_duplicate_penalty_sd,objective_total_mean,objective_total_sd,alns_accepted_moves_mean,alns_accepted_moves_sd,alns_improving_moves_mean,alns_improving_moves_sd,alns_rejected_moves_mean,alns_rejected_moves_sd,alns_best_updates_mean,alns_best_updates_sd,alns_objective_evaluations_mean,alns_objective_evaluations_sd,alns_score_cache_size_mean,alns_score_cache_size_sd,alns_repair_position_evaluations_mean,alns_repair_position_evaluations_sd,alns_portfolio_candidate_count_mean,alns_portfolio_candidate_count_sd,alns_selected_portfolio_infeasible_count_mean,alns_selected_portfolio_infeasible_count_sd,alns_selected_portfolio_rwct_mean,alns_selected_portfolio_rwct_sd,alns_selected_portfolio_makespan_mean,alns_selected_portfolio_makespan_sd,destroy_random_removal_uses_mean,destroy_random_removal_uses_sd,destroy_worst_energy_removal_uses_mean,destroy_worst_energy_removal_uses_sd,destroy_shaw_related_removal_uses_mean,destroy_shaw_related_removal_uses_sd,destroy_path_segment_removal_uses_mean,destroy_path_segment_removal_uses_sd,destroy_uav_chain_removal_uses_mean,destroy_uav_chain_removal_uses_sd,repair_greedy_insert_repair_uses_mean,repair_greedy_insert_repair_uses_sd,repair_regret_insert_repair_uses_mean,repair_regret_insert_repair_uses_sd,repair_energy_minimum_insert_repair_uses_mean,repair_energy_minimum_insert_repair_uses_sd,repair_synchronization_aware_insert_repair_uses_mean,repair_synchronization_aware_insert_repair_uses_sd,baseline_candidate_evaluations_mean,baseline_candidate_evaluations_sd,baseline_generations_mean,baseline_generations_sd,baseline_population_size_mean,baseline_population_size_sd,baseline_ant_count_mean,baseline_ant_count_sd,baseline_best_order_score_mean,baseline_best_order_score_sd,alns_risk_value_weight_mean,alns_risk_value_weight_sd,alns_adaptive_enabled_mean,alns_adaptive_enabled_sd,source,stress_case
no_uq,kmeans,M,50,25,high,10,292.411382,22.063269,251.470818,18.869905,2033.376262,92.605647,0.299009,0.144729,0.299009,0.144729,112.439254,14.376056,0.475,0.118178,0.466667,0.112491,30.9,4.605552,1.656255,0.291035,0.0,0.0,1.951741,0.378185,501.042106,25.967815,0.0,0.0,0.0,0.0,0.0,0.0,1250.0,0.0,148.2,1.75119,0.88144,0.001401,78.8,7.345445,7830.0,365.987249,600.9,81.40632,30.9,4.605552,0.0,0.0,0.0,0.0,112.439254,14.376056,292.411382,22.063269,215.546415,16.174204,3085.659341,219.168415,0.0,0.0,0.0,0.0,501.042106,25.967815,53.4,4.40202,23.7,2.002776,46.6,4.40202,3.4,2.1187,101.0,0.0,50.0,0.0,899.5,0.849837,1.0,0.0,0.0,0.0,112.439254,14.376056,292.411382,22.063269,12.1,3.212822,25.9,7.795298,24.4,4.993329,21.7,5.677441,15.9,4.72464,27.5,7.560864,21.1,8.412293,28.1,10.202941,23.3,5.735852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,1.0,0.0,P4_ablation,
alns_fixed,,,75,18,,10,761.341278,126.404112,237.870088,16.980951,15688.536495,235.956875,0.883167,0.050171,0.883167,0.050171,186.849299,26.075034,0.388889,0.08686,0.233333,0.077689,61.1,1.852926,1.228511,0.037232,3036.46293,237.222528,0.910306,0.100398,3109.14208,62.843926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.3,9.832486,57.8,8.363944,21.7,9.832486,7.8,3.489667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P11_stress,sparse_high_wind
alns_pinn_full,,,75,18,,10,585.748376,44.768098,491.693013,82.834869,16102.154143,248.432057,0.554667,0.016866,0.554667,0.016866,147.035899,13.650113,0.827778,0.231962,0.388889,0.090722,75.0,0.0,1.0,0.0,3229.62012,251.468865,1.104967,0.106031,20071.623467,2373.338956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.9,4.998889,59.1,3.60401,21.1,4.998889,4.4,2.988868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P11_stress,sparse_high_wind
no_energy_repair,,,75,18,,10,552.982724,53.52059,226.572839,27.435498,15721.501753,283.271862,0.790316,0.049605,0.790316,0.049605,159.613982,28.697885,0.433333,0.1903,0.211111,0.161015,58.8,5.349974,1.284455,0.109975,4624.35167,407.131199,1.124521,0.061083,3045.044339,64.108491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.3,4.423423,59.9,4.094712,19.7,4.423423,2.7,2.58414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P11_stress,sparse_high_wind
no_risk_value,,,75,18,,10,647.026484,152.812832,216.472722,15.70347,15657.321725,262.110754,0.748854,0.041246,0.748854,0.041246,182.405161,34.637662,0.35,0.111265,0.194445,0.087841,61.9,2.282786,1.21311,0.044573,4422.6696,388.361304,1.112078,0.068282,3074.530097,69.422498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.8,4.91709,55.9,4.483302,23.2,4.91709,11.6,3.204164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P11_stress,sparse_high_wind
no_sync_repair,,,75,18,,10,560.470258,48.926719,223.228934,18.186617,15664.987811,243.538407,0.775136,0.021962,0.775136,0.021962,153.352281,19.640585,0.405556,0.141154,0.261111,0.101599,59.0,2.788867,1.273913,0.064142,4558.00403,293.354901,1.116331,0.086185,3030.088664,49.462107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.4,3.596294,56.2,5.138093,22.6,3.596294,3.7,2.750757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P11_stress,sparse_high_wind
no_uq,,,75,18,,10,573.592407,55.621138,241.717361,19.144117,15629.870003,281.628868,0.914558,0.02879,0.914558,0.02879,147.374748,21.20795,0.566667,0.116534,0.272222,0.124088,57.8,3.011091,1.300661,0.065877,3198.19996,321.030407,0.883389,0.071871,3022.165396,57.052228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.9,5.173651,57.7,4.595892,21.1,5.173651,1.2,1.686548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P11_stress,sparse_high_wind
alns_fixed,,,75,24,,10,415.516481,30.032241,328.608415,33.427614,9353.516905,249.718968,0.811497,0.037057,0.811497,0.037057,140.83227,9.530512,0.4,0.110492,0.172222,0.088618,63.6,1.646545,1.179959,0.030649,2185.72027,206.163449,1.235797,0.062458,1836.438109,42.364009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.3,6.733828,59.0,5.537749,23.7,6.733828,7.3,3.860052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P11_stress,tight_battery
alns_pinn_full,,,75,24,,10,514.636142,51.791194,658.919983,99.596494,10241.748876,194.34469,0.465333,0.033525,0.465333,0.033525,126.391366,11.969282,0.916667,0.134179,0.483333,0.141154,75.0,0.0,1.0,0.0,2687.87936,304.912597,1.574174,0.062349,18005.26434,1929.876889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.5,6.311365,54.0,4.944132,29.5,6.311365,7.4,4.880801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P11_stress,tight_battery
no_energy_repair,,,75,24,,10,425.695818,54.947881,323.708408,21.941827,9223.313368,180.327897,0.746018,0.042961,0.746018,0.042961,140.029671,15.99229,0.394444,0.160268,0.244444,0.146285,56.3,3.40098,1.336703,0.083887,4439.99619,299.177229,1.597036,0.09218,1815.196981,38.538613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.3,7.645623,54.2,6.425643,29.7,7.645623,5.5,3.02765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P11_stress,tight_battery
