size,variant_index,tower_count,stop_count,vehicle_count,uavs_per_vehicle,seed,uncertainty,method,candidate_mode,nearest_per_tower,scenario_id,milp_status,milp_reference_scope,milp_optimizes_rwct,milp_completion_time_scope,total_candidate_pairs,screened_pair_count,candidate_pair_reduction,feasible_candidate_pairs,baseline_family,baseline_candidate_evaluations,baseline_generations,baseline_population_size,baseline_ant_count,baseline_best_order_score,alns_use_quantile,alns_risk_value_weight,alns_adaptive_enabled,alns_accepted_moves,alns_improving_moves,alns_rejected_moves,alns_best_updates,alns_objective_evaluations,alns_score_cache_size,alns_repair_position_evaluations,destroy_random_removal_uses,destroy_worst_energy_removal_uses,destroy_shaw_related_removal_uses,destroy_path_segment_removal_uses,destroy_uav_chain_removal_uses,repair_greedy_insert_repair_uses,repair_regret_insert_repair_uses,repair_energy_minimum_insert_repair_uses,repair_synchronization_aware_insert_repair_uses,makespan,total_vehicle_distance,expected_energy,energy_violation_rate,infeasible_sortie_rate,risk_weighted_completion_time,top_risk_coverage,feasible_top_risk_coverage,missed_value,solver_runtime,objective_value,milp_gap,optimality_gap_pct
M,1,50,25,2,2,4,high,no_pinn,kmeans,3,M50_P25_seed4_high_kmeans25,not_milp,not_milp,False,not_milp,1250,148,0.8816,78,,0.0,0.0,0.0,0.0,0.0,False,0.0,True,88.0,19.0,12.0,15.0,101.0,50.0,900.0,28.0,14.0,13.0,26.0,19.0,36.0,27.0,22.0,15.0,107.659312,620.298431,2300.154328,0.02,0.02,65620.901127,0.333333,0.333333,0,0.049977,1940.1202124967997,0.0,0.0
M,1,50,25,2,2,4,high,no_adaptive,kmeans,3,M50_P25_seed4_high_kmeans25,not_milp,not_milp,False,not_milp,1250,148,0.8816,78,,0.0,0.0,0.0,0.0,0.0,True,0.25,False,59.0,26.0,41.0,3.0,101.0,50.0,900.0,19.0,21.0,16.0,17.0,27.0,24.0,25.0,17.0,34.0,109.645474,587.256225,2302.363068,0.0,0.0,46636.311797,0.916667,0.916667,0,0.06153,2180.2825015368,0.0,0.0
M,1,50,25,2,2,4,high,no_uq,kmeans,3,M50_P25_seed4_high_kmeans25,not_milp,not_milp,False,not_milp,1250,148,0.8816,78,,0.0,0.0,0.0,0.0,0.0,False,0.25,True,74.0,10.0,26.0,1.0,101.0,50.0,900.0,25.0,22.0,13.0,14.0,26.0,38.0,30.0,10.0,22.0,102.493509,600.601047,2300.154328,0.02,0.02,46393.224523,0.916667,0.916667,0,0.061682,2217.3293344967997,0.0,0.0
M,1,50,25,2,2,4,high,no_risk_value,kmeans,3,M50_P25_seed4_high_kmeans25,not_milp,not_milp,False,not_milp,1250,148,0.8816,78,,0.0,0.0,0.0,0.0,0.0,True,0.0,True,88.0,18.0,12.0,15.0,101.0,50.0,900.0,27.0,14.0,14.0,27.0,18.0,35.0,31.0,20.0,14.0,109.017183,620.298431,2302.363068,0.0,0.0,65648.692314,0.333333,0.333333,0,0.063486,1939.9110575367995,0.0,0.0
M,1,50,25,2,2,4,high,no_energy_repair,kmeans,3,M50_P25_seed4_high_kmeans25,not_milp,not_milp,False,not_milp,1250,148,0.8816,78,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,86.0,7.0,14.0,5.0,101.0,50.0,900.0,19.0,20.0,17.0,26.0,18.0,44.0,38.0,0.0,18.0,109.645474,587.256225,2302.363068,0.0,0.0,46636.311797,0.916667,0.916667,0,0.065272,2180.2825015368,0.0,0.0
M,1,50,25,2,2,4,high,no_sync_repair,kmeans,3,M50_P25_seed4_high_kmeans25,not_milp,not_milp,False,not_milp,1250,148,0.8816,78,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,85.0,13.0,15.0,3.0,101.0,50.0,900.0,22.0,14.0,21.0,25.0,18.0,54.0,29.0,17.0,0.0,109.645474,587.256225,2302.363068,0.0,0.0,46636.311797,0.916667,0.916667,0,0.058422,2180.2825015368,0.0,0.0
M,1,50,25,2,2,4,high,no_clustering,direct,3,M50_P25_seed4_high,not_milp,not_milp,False,not_milp,1250,1250,0.0,73,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,76.0,13.0,24.0,5.0,101.0,50.0,900.0,29.0,18.0,13.0,12.0,28.0,39.0,35.0,12.0,14.0,121.770725,557.307626,2738.288517,0.0,0.0,54772.501887,1.0,1.0,0,0.066445,2617.2736861368,0.0,0.0
M,1,50,25,2,2,5,high,alns_pinn_full,kmeans,3,M50_P25_seed5_high_kmeans25,not_milp,not_milp,False,not_milp,1250,150,0.88,80,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,73.0,29.0,27.0,4.0,101.0,50.0,900.0,14.0,23.0,24.0,13.0,26.0,37.0,28.0,14.0,21.0,105.531888,574.440796,2196.675411,0.0,0.0,56174.303971,0.833333,0.833333,0,0.058387,2303.7928918616003,0.0,0.0
M,1,50,25,2,2,5,high,no_pinn,kmeans,3,M50_P25_seed5_high_kmeans25,not_milp,not_milp,False,not_milp,1250,150,0.88,80,,0.0,0.0,0.0,0.0,0.0,False,0.0,True,91.0,23.0,9.0,14.0,101.0,50.0,900.0,18.0,13.0,21.0,16.0,32.0,28.0,18.0,41.0,13.0,104.44816,596.848498,2196.675411,0.0,0.0,74219.631327,0.333333,0.333333,0,0.048845,1948.1082408616,0.0,0.0
M,1,50,25,2,2,5,high,no_adaptive,kmeans,3,M50_P25_seed5_high_kmeans25,not_milp,not_milp,False,not_milp,1250,150,0.88,80,,0.0,0.0,0.0,0.0,0.0,True,0.25,False,63.0,28.0,37.0,3.0,101.0,50.0,900.0,23.0,17.0,14.0,24.0,22.0,23.0,28.0,26.0,23.0,105.531888,591.515714,2196.675411,0.0,0.0,56173.018581,0.833333,0.833333,0,0.074688,2303.7928918616008,0.0,0.0
M,1,50,25,2,2,5,high,no_uq,kmeans,3,M50_P25_seed5_high_kmeans25,not_milp,not_milp,False,not_milp,1250,150,0.88,80,,0.0,0.0,0.0,0.0,0.0,False,0.25,True,73.0,23.0,27.0,4.0,101.0,50.0,900.0,12.0,21.0,22.0,22.0,23.0,35.0,37.0,14.0,14.0,106.061851,612.020142,2196.675411,0.0,0.0,56320.400138,0.833333,0.833333,0,0.064388,2312.7540348616003,0.0,0.0
M,1,50,25,2,2,5,high,no_risk_value,kmeans,3,M50_P25_seed5_high_kmeans25,not_milp,not_milp,False,not_milp,1250,150,0.88,80,,0.0,0.0,0.0,0.0,0.0,True,0.0,True,91.0,23.0,9.0,14.0,101.0,50.0,900.0,18.0,13.0,21.0,16.0,32.0,28.0,18.0,41.0,13.0,104.44816,596.848498,2196.675411,0.0,0.0,74219.631327,0.333333,0.333333,0,0.072957,1948.1082408616,0.0,0.0
M,1,50,25,2,2,5,high,no_energy_repair,kmeans,3,M50_P25_seed5_high_kmeans25,not_milp,not_milp,False,not_milp,1250,150,0.88,80,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,87.0,16.0,13.0,5.0,101.0,50.0,900.0,18.0,18.0,24.0,18.0,22.0,45.0,38.0,0.0,17.0,105.531888,591.515714,2196.675411,0.0,0.0,56173.018581,0.833333,0.833333,0,0.070769,2303.7928918616008,0.0,0.0
M,1,50,25,2,2,5,high,no_sync_repair,kmeans,3,M50_P25_seed5_high_kmeans25,not_milp,not_milp,False,not_milp,1250,150,0.88,80,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,88.0,5.0,12.0,5.0,101.0,50.0,900.0,14.0,12.0,23.0,26.0,25.0,48.0,40.0,12.0,0.0,105.531888,574.440796,2196.675411,0.0,0.0,56174.303971,0.833333,0.833333,0,0.074752,2303.7928918616003,0.0,0.0
M,1,50,25,2,2,5,high,no_clustering,direct,3,M50_P25_seed5_high,not_milp,not_milp,False,not_milp,1250,1250,0.0,74,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,77.0,23.0,23.0,3.0,101.0,50.0,900.0,15.0,19.0,15.0,20.0,31.0,38.0,40.0,10.0,12.0,117.645616,619.086857,2488.034442,0.0,0.0,61699.421695,0.833333,0.833333,0,0.066687,2548.1582387816,0.0,0.0
M,1,50,25,2,2,6,high,alns_pinn_full,kmeans,3,M50_P25_seed6_high_kmeans25,not_milp,not_milp,False,not_milp,1250,146,0.8832,70,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,78.0,22.0,22.0,8.0,101.0,50.0,900.0,15.0,24.0,25.0,14.0,22.0,37.0,33.0,9.0,21.0,110.788612,593.816778,2425.320977,0.0,0.0,41005.879131,0.833333,0.833333,0,0.058453,2543.41941072,0.0,0.0
M,1,50,25,2,2,6,high,no_pinn,kmeans,3,M50_P25_seed6_high_kmeans25,not_milp,not_milp,False,not_milp,1250,146,0.8832,70,,0.0,0.0,0.0,0.0,0.0,False,0.0,True,86.0,23.0,14.0,16.0,101.0,50.0,900.0,23.0,21.0,25.0,22.0,9.0,20.0,24.0,37.0,19.0,110.313032,618.407146,2425.235182,0.06,0.06,58632.200296,0.166667,0.166667,0,0.046191,2187.6038731600006,0.0,0.0
M,1,50,25,2,2,6,high,no_adaptive,kmeans,3,M50_P25_seed6_high_kmeans25,not_milp,not_milp,False,not_milp,1250,146,0.8832,70,,0.0,0.0,0.0,0.0,0.0,True,0.25,False,47.0,18.0,53.0,5.0,101.0,50.0,900.0,20.0,15.0,27.0,18.0,20.0,14.0,20.0,32.0,34.0,111.54273,551.337907,2425.320977,0.0,0.0,41051.141759,0.833333,0.833333,0,0.059827,2545.14300872,0.0,0.0
M,1,50,25,2,2,6,high,no_uq,kmeans,3,M50_P25_seed6_high_kmeans25,not_milp,not_milp,False,not_milp,1250,146,0.8832,70,,0.0,0.0,0.0,0.0,0.0,False,0.25,True,76.0,14.0,24.0,5.0,101.0,50.0,900.0,18.0,20.0,18.0,21.0,23.0,40.0,34.0,13.0,13.0,113.008253,553.576067,2421.71746,0.04,0.04,40808.547449,0.833333,0.833333,0,0.063074,2591.4625211600005,0.0,0.0
M,1,50,25,2,2,6,high,no_risk_value,kmeans,3,M50_P25_seed6_high_kmeans25,not_milp,not_milp,False,not_milp,1250,146,0.8832,70,,0.0,0.0,0.0,0.0,0.0,True,0.0,True,90.0,18.0,10.0,14.0,101.0,50.0,900.0,19.0,17.0,30.0,23.0,11.0,28.0,23.0,36.0,13.0,111.483123,652.066891,2425.320977,0.0,0.0,58708.202011,0.166667,0.166667,0,0.058951,2188.1071737200004,0.0,0.0
M,1,50,25,2,2,6,high,no_energy_repair,kmeans,3,M50_P25_seed6_high_kmeans25,not_milp,not_milp,False,not_milp,1250,146,0.8832,70,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,86.0,19.0,14.0,6.0,101.0,50.0,900.0,19.0,19.0,25.0,16.0,21.0,49.0,32.0,0.0,19.0,110.788612,593.816778,2425.320977,0.0,0.0,41005.879131,0.833333,0.833333,0,0.075677,2543.41941072,0.0,0.0
M,1,50,25,2,2,6,high,no_sync_repair,kmeans,3,M50_P25_seed6_high_kmeans25,not_milp,not_milp,False,not_milp,1250,146,0.8832,70,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,86.0,18.0,14.0,6.0,101.0,50.0,900.0,17.0,15.0,30.0,13.0,25.0,47.0,36.0,17.0,0.0,110.788612,593.816778,2425.320977,0.0,0.0,41005.879131,0.833333,0.833333,0,0.058132,2543.41941072,0.0,0.0
