size,variant_index,tower_count,stop_count,vehicle_count,uavs_per_vehicle,seed,uncertainty,method,candidate_mode,nearest_per_tower,scenario_id,milp_status,total_candidate_pairs,screened_pair_count,candidate_pair_reduction,feasible_candidate_pairs,baseline_family,baseline_candidate_evaluations,baseline_generations,baseline_population_size,baseline_ant_count,baseline_best_order_score,alns_use_quantile,alns_risk_value_weight,alns_accepted_moves,alns_improving_moves,alns_rejected_moves,alns_best_updates,alns_objective_evaluations,alns_score_cache_size,alns_repair_position_evaluations,destroy_random_removal_uses,destroy_worst_energy_removal_uses,destroy_shaw_related_removal_uses,destroy_path_segment_removal_uses,destroy_uav_chain_removal_uses,repair_greedy_insert_repair_uses,repair_regret_insert_repair_uses,repair_energy_minimum_insert_repair_uses,repair_synchronization_aware_insert_repair_uses,makespan,total_vehicle_distance,expected_energy,energy_violation_rate,infeasible_sortie_rate,risk_weighted_completion_time,top_risk_coverage,missed_value,solver_runtime,objective_value,milp_gap,optimality_gap_pct
M,1,50,25,2,2,1,high,no_adaptive,kmeans,3,M50_P25_seed1_high_kmeans25,not_milp,1250,148,0.8816,81,,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.911797,649.255917,2209.459151,0.02,0.02,55363.069304,0.833333,0,0.015258,2266.9525526120005,0.0,0.0
M,1,50,25,2,2,1,high,no_uq,kmeans,3,M50_P25_seed1_high_kmeans25,not_milp,1250,148,0.8816,81,,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.536656,671.007232,2209.459151,0.02,0.02,55088.446556,0.916667,0,0.014814,2282.004208612,0.0,0.0
M,1,50,25,2,2,1,high,no_risk_value,kmeans,3,M50_P25_seed1_high_kmeans25,not_milp,1250,148,0.8816,81,,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.59149,680.540887,2211.340411,0.0,0.0,55524.943484,0.833333,0,0.01512,2276.7467480519995,0.0,0.0
M,1,50,25,2,2,1,high,no_energy_repair,kmeans,3,M50_P25_seed1_high_kmeans25,not_milp,1250,148,0.8816,81,,0.0,0.0,0.0,0.0,0.0,True,0.25,87.0,20.0,13.0,5.0,101.0,50.0,900.0,28.0,13.0,23.0,12.0,24.0,42.0,41.0,0.0,17.0,105.960169,656.727944,2211.340411,0.0,0.0,55073.896115,0.916667,0,0.075443,2245.081591052,0.0,0.0
M,1,50,25,2,2,1,high,no_sync_repair,kmeans,3,M50_P25_seed1_high_kmeans25,not_milp,1250,148,0.8816,81,,0.0,0.0,0.0,0.0,0.0,True,0.25,89.0,19.0,11.0,2.0,101.0,50.0,900.0,23.0,16.0,21.0,21.0,19.0,51.0,35.0,14.0,0.0,105.960169,656.727944,2211.340411,0.0,0.0,55073.896115,0.916667,0,0.077333,2245.081591052,0.0,0.0
M,1,50,25,2,2,1,high,no_clustering,direct,3,M50_P25_seed1_high,not_milp,1250,1250,0.0,1250,,0.0,0.0,0.0,0.0,0.0,True,0.25,73.0,11.0,27.0,4.0,101.0,50.0,900.0,25.0,17.0,22.0,12.0,24.0,40.0,30.0,17.0,13.0,117.114344,687.184462,2583.631641,0.0,0.0,61053.166253,0.916667,0,0.078635,2593.994906812,0.0,0.0
M,1,50,25,2,2,2,high,alns_pinn_full,kmeans,3,M50_P25_seed2_high_kmeans25,not_milp,1250,146,0.8832,70,,0.0,0.0,0.0,0.0,0.0,True,0.25,76.0,19.0,24.0,5.0,101.0,50.0,900.0,19.0,18.0,26.0,15.0,22.0,34.0,38.0,12.0,16.0,109.183729,642.560367,2362.103865,0.0,0.0,39139.690643,0.916667,0,0.075409,2346.8271987296,0.0,0.0
M,1,50,25,2,2,2,high,no_pinn,kmeans,3,M50_P25_seed2_high_kmeans25,not_milp,1250,146,0.8832,70,,0.0,0.0,0.0,0.0,0.0,False,0.0,90.0,18.0,10.0,13.0,101.0,50.0,900.0,21.0,17.0,21.0,14.0,27.0,22.0,41.0,23.0,14.0,109.176632,572.277121,2360.598864,0.04,0.04,56761.659817,0.25,0,0.052424,2185.8044367295997,0.0,0.0
M,1,50,25,2,2,2,high,no_adaptive,kmeans,3,M50_P25_seed2_high_kmeans25,not_milp,1250,146,0.8832,70,,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.062051,615.636033,2358.30694,0.04,0.04,39750.738966,0.666667,0,0.016093,2397.1068464096,0.0,0.0
M,1,50,25,2,2,2,high,no_uq,kmeans,3,M50_P25_seed2_high_kmeans25,not_milp,1250,146,0.8832,70,,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.758349,628.174958,2358.30694,0.04,0.04,39328.709036,0.916667,0,0.019633,2398.2488004096003,0.0,0.0
