size,variant_index,tower_count,stop_count,vehicle_count,uavs_per_vehicle,seed,uncertainty,method,candidate_mode,nearest_per_tower,scenario_id,milp_status,milp_reference_scope,milp_optimizes_rwct,milp_completion_time_scope,total_candidate_pairs,screened_pair_count,candidate_pair_reduction,feasible_candidate_pairs,baseline_family,baseline_candidate_evaluations,baseline_generations,baseline_population_size,baseline_ant_count,baseline_best_order_score,alns_use_quantile,alns_risk_value_weight,alns_adaptive_enabled,alns_accepted_moves,alns_improving_moves,alns_rejected_moves,alns_best_updates,alns_objective_evaluations,alns_score_cache_size,alns_repair_position_evaluations,destroy_random_removal_uses,destroy_worst_energy_removal_uses,destroy_shaw_related_removal_uses,destroy_path_segment_removal_uses,destroy_uav_chain_removal_uses,repair_greedy_insert_repair_uses,repair_regret_insert_repair_uses,repair_energy_minimum_insert_repair_uses,repair_synchronization_aware_insert_repair_uses,makespan,total_vehicle_distance,expected_energy,energy_violation_rate,infeasible_sortie_rate,risk_weighted_completion_time,top_risk_coverage,feasible_top_risk_coverage,sortie_count,avg_towers_per_sortie,missed_value,solver_runtime,objective_value,milp_gap,optimality_gap_pct
M,1,50,25,2,2,1,high,no_uq,kmeans,3,M50_P25_seed1_high_kmeans25,not_milp,not_milp,False,not_milp,1250,148,0.8816,81,,0.0,0.0,0.0,0.0,0.0,False,0.25,True,78.0,13.0,22.0,4.0,101.0,50.0,900.0,23.0,29.0,17.0,13.0,18.0,38.0,34.0,12.0,16.0,452.340577,609.815836,2209.459151,0.02,0.02,132.65898,0.916667,0.916667,50,1.0,0,0.125439,11067.98967586422,0.0,0.0
M,1,50,25,2,2,1,high,no_risk_value,kmeans,3,M50_P25_seed1_high_kmeans25,not_milp,not_milp,False,not_milp,1250,148,0.8816,81,,0.0,0.0,0.0,0.0,0.0,True,0.0,True,89.0,19.0,11.0,11.0,101.0,50.0,900.0,23.0,24.0,16.0,14.0,23.0,35.0,26.0,22.0,17.0,418.582427,575.09584,2211.340411,0.0,0.0,195.16768,0.25,0.25,50,1.0,0,0.106348,9832.082950304222,0.0,0.0
M,1,50,25,2,2,1,high,no_energy_repair,kmeans,3,M50_P25_seed1_high_kmeans25,not_milp,not_milp,False,not_milp,1250,148,0.8816,81,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,89.0,21.0,11.0,4.0,101.0,50.0,900.0,20.0,27.0,20.0,12.0,21.0,44.0,37.0,0.0,19.0,441.195453,590.630016,2211.340411,0.0,0.0,129.796685,0.916667,0.916667,50,1.0,0,0.094745,10676.289325304222,0.0,0.0
M,1,50,25,2,2,1,high,no_sync_repair,kmeans,3,M50_P25_seed1_high_kmeans25,not_milp,not_milp,False,not_milp,1250,148,0.8816,81,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,81.0,12.0,19.0,2.0,101.0,50.0,900.0,21.0,18.0,19.0,24.0,18.0,52.0,31.0,17.0,0.0,441.195453,590.630016,2211.340411,0.0,0.0,129.796685,0.916667,0.916667,50,1.0,0,0.110411,10676.289325304222,0.0,0.0
M,1,50,25,2,2,1,high,no_clustering,direct,3,M50_P25_seed1_high,not_milp,not_milp,False,not_milp,1250,1250,0.0,77,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,73.0,6.0,27.0,6.0,101.0,50.0,900.0,25.0,13.0,25.0,17.0,20.0,45.0,28.0,14.0,13.0,496.366814,634.936846,2583.631641,0.0,0.0,139.206569,1.0,1.0,50,1.0,0,0.121405,11846.689275064218,0.0,0.0
M,1,50,25,2,2,2,high,alns_pinn_full,kmeans,3,M50_P25_seed2_high_kmeans25,not_milp,not_milp,False,not_milp,1250,146,0.8832,70,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,80.0,17.0,20.0,7.0,101.0,50.0,900.0,20.0,19.0,26.0,15.0,20.0,31.0,46.0,10.0,13.0,418.17284,519.830683,2362.103865,0.0,0.0,114.540266,0.916667,0.916667,50,1.0,0,0.133136,10287.285216621782,0.0,0.0
M,1,50,25,2,2,2,high,no_pinn,kmeans,3,M50_P25_seed2_high_kmeans25,not_milp,not_milp,False,not_milp,1250,146,0.8832,70,,0.0,0.0,0.0,0.0,0.0,False,0.0,True,92.0,15.0,8.0,10.0,101.0,50.0,900.0,17.0,21.0,17.0,16.0,29.0,25.0,34.0,28.0,13.0,388.0399,480.097248,2360.598864,0.04,0.04,172.561183,0.25,0.25,50,1.0,0,0.07389,9541.39727762178,0.0,0.0
M,1,50,25,2,2,2,high,no_adaptive,kmeans,3,M50_P25_seed2_high_kmeans25,not_milp,not_milp,False,not_milp,1250,146,0.8832,70,,0.0,0.0,0.0,0.0,0.0,True,0.25,False,58.0,16.0,42.0,6.0,101.0,50.0,900.0,17.0,22.0,18.0,17.0,26.0,23.0,28.0,26.0,23.0,418.17284,519.830683,2362.103865,0.0,0.0,114.540266,0.916667,0.916667,50,1.0,0,0.087222,10287.285216621782,0.0,0.0
M,1,50,25,2,2,2,high,no_uq,kmeans,3,M50_P25_seed2_high_kmeans25,not_milp,not_milp,False,not_milp,1250,146,0.8832,70,,0.0,0.0,0.0,0.0,0.0,False,0.25,True,77.0,13.0,23.0,5.0,101.0,50.0,900.0,19.0,18.0,24.0,14.0,25.0,31.0,43.0,10.0,16.0,458.108013,601.436891,2358.30694,0.04,0.04,121.055365,1.0,1.0,50,1.0,0,0.092319,11365.093804301781,0.0,0.0
M,1,50,25,2,2,2,high,no_risk_value,kmeans,3,M50_P25_seed2_high_kmeans25,not_milp,not_milp,False,not_milp,1250,146,0.8832,70,,0.0,0.0,0.0,0.0,0.0,True,0.0,True,87.0,16.0,13.0,13.0,101.0,50.0,900.0,14.0,19.0,26.0,23.0,18.0,30.0,23.0,32.0,15.0,391.77581,488.139215,2362.103865,0.0,0.0,172.759537,0.25,0.25,50,1.0,0,0.091837,9550.10926062178,0.0,0.0
M,1,50,25,2,2,2,high,no_energy_repair,kmeans,3,M50_P25_seed2_high_kmeans25,not_milp,not_milp,False,not_milp,1250,146,0.8832,70,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,88.0,15.0,12.0,6.0,101.0,50.0,900.0,15.0,20.0,26.0,17.0,22.0,40.0,43.0,0.0,17.0,418.17284,519.830683,2362.103865,0.0,0.0,114.540266,0.916667,0.916667,50,1.0,0,0.136442,10287.285216621782,0.0,0.0
M,1,50,25,2,2,2,high,no_sync_repair,kmeans,3,M50_P25_seed2_high_kmeans25,not_milp,not_milp,False,not_milp,1250,146,0.8832,70,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,89.0,10.0,11.0,2.0,101.0,50.0,900.0,20.0,13.0,19.0,25.0,23.0,39.0,48.0,13.0,0.0,418.17284,519.830683,2362.103865,0.0,0.0,114.540266,0.916667,0.916667,50,1.0,0,0.124953,10287.285216621782,0.0,0.0
