size,variant_index,tower_count,stop_count,vehicle_count,uavs_per_vehicle,seed,uncertainty,method,candidate_mode,nearest_per_tower,sensitivity_factor,sensitivity_level,quantile_z,scenario_id,milp_status,total_candidate_pairs,screened_pair_count,candidate_pair_reduction,feasible_candidate_pairs,alns_accepted_moves,alns_improving_moves,alns_rejected_moves,alns_best_updates,alns_objective_evaluations,alns_score_cache_size,alns_repair_position_evaluations,destroy_random_removal_uses,destroy_worst_energy_removal_uses,destroy_shaw_related_removal_uses,destroy_path_segment_removal_uses,destroy_uav_chain_removal_uses,repair_greedy_insert_repair_uses,repair_regret_insert_repair_uses,repair_energy_minimum_insert_repair_uses,repair_synchronization_aware_insert_repair_uses,makespan,total_vehicle_distance,expected_energy,energy_violation_rate,infeasible_sortie_rate,risk_weighted_completion_time,top_risk_coverage,missed_value,solver_runtime,objective_value,milp_gap,optimality_gap_pct,reserve_ratio,iteration_budget,uav_count_override
M,1,50,25,2,2,0,high,alns_pinn_full,kmeans,3,candidate_mode,kmeans,,M50_P25_seed0_high_kmeans25,not_milp,1250,148,0.8816,87,83.0,23.0,17.0,4.0,101.0,50.0,900.0,26.0,18.0,17.0,15.0,24.0,41.0,35.0,10.0,14.0,103.086942,618.143857,2211.976027,0.0,0.0,60709.293726,0.916667,0,0.060167,2475.1522335024006,0.0,0.0,,,
M,1,50,25,2,2,0,high,alns_pinn_full,dbscan,3,candidate_mode,dbscan,,M50_P25_seed0_high_dbscan3,not_milp,150,70,0.533333,10,81.0,16.0,19.0,5.0,101.0,50.0,900.0,16.0,20.0,12.0,19.0,33.0,31.0,42.0,9.0,18.0,316.703134,283.577492,8676.977706,0.7,0.7,150141.413663,0.833333,2597.2987,0.014584,7408.9766545824,0.0,0.0,,,
M,1,50,25,2,2,1,high,alns_pinn_full,kmeans,3,quantile_z,1.28,1.28,M50_P25_seed1_high_kmeans25,not_milp,1250,150,0.88,90,77.0,16.0,23.0,5.0,101.0,50.0,900.0,24.0,19.0,22.0,13.0,22.0,43.0,30.0,14.0,13.0,104.326287,618.0457,2209.459151,0.0,0.0,54897.716817,0.916667,0,0.054352,2256.6204409320003,0.0,0.0,,,
M,1,50,25,2,2,1,high,alns_pinn_full,kmeans,3,quantile_z,1.645,1.645,M50_P25_seed1_high_kmeans25,not_milp,1250,148,0.8816,81,73.0,21.0,27.0,4.0,101.0,50.0,900.0,24.0,16.0,21.0,12.0,27.0,40.0,28.0,15.0,17.0,105.960169,656.727944,2211.340411,0.0,0.0,55073.896115,0.916667,0,0.057453,2245.081591052,0.0,0.0,,,
M,1,50,25,2,2,1,high,alns_pinn_full,kmeans,3,quantile_z,1.96,1.96,M50_P25_seed1_high_kmeans25,not_milp,1250,146,0.8832,72,77.0,17.0,23.0,4.0,101.0,50.0,900.0,21.0,20.0,18.0,11.0,30.0,41.0,33.0,14.0,12.0,106.217911,659.396444,2213.070908,0.0,0.0,55088.669262,0.916667,0,0.058717,2249.211982812,0.0,0.0,,,
M,1,50,25,2,2,1,high,alns_pinn_full,kmeans,3,reserve_ratio,0.08,,M50_P25_seed1_high_kmeans25,not_milp,1250,148,0.8816,86,73.0,21.0,27.0,4.0,101.0,50.0,900.0,24.0,16.0,21.0,12.0,27.0,40.0,28.0,15.0,17.0,105.960169,656.727944,2211.340411,0.0,0.0,55073.896115,0.916667,0,0.056842,2245.081591052,0.0,0.0,0.08,,
M,1,50,25,2,2,1,high,alns_pinn_full,kmeans,3,reserve_ratio,0.12,,M50_P25_seed1_high_kmeans25,not_milp,1250,148,0.8816,81,73.0,21.0,27.0,4.0,101.0,50.0,900.0,24.0,16.0,21.0,12.0,27.0,40.0,28.0,15.0,17.0,105.960169,656.727944,2211.340411,0.0,0.0,55073.896115,0.916667,0,0.056071,2245.081591052,0.0,0.0,0.12,,
M,1,50,25,2,2,1,high,alns_pinn_full,kmeans,3,reserve_ratio,0.2,,M50_P25_seed1_high_kmeans25,not_milp,1250,146,0.8832,63,71.0,16.0,29.0,4.0,101.0,50.0,900.0,22.0,18.0,20.0,14.0,26.0,37.0,31.0,16.0,16.0,107.000728,656.727944,2213.070908,0.0,0.0,55076.023572,0.916667,0,0.056058,2245.250696812,0.0,0.0,0.2,,
M,1,50,25,2,2,1,high,alns_pinn_full,kmeans,3,iteration_budget,50,,M50_P25_seed1_high_kmeans25,not_milp,1250,148,0.8816,81,35.0,19.0,15.0,3.0,51.0,50.0,450.0,11.0,6.0,11.0,2.0,20.0,17.0,14.0,9.0,10.0,106.12002,660.356097,2211.340411,0.0,0.0,55143.117691,0.916667,0,0.051926,2247.4096030519995,0.0,0.0,,50,
M,1,50,25,2,2,1,high,alns_pinn_full,kmeans,3,iteration_budget,100,,M50_P25_seed1_high_kmeans25,not_milp,1250,148,0.8816,81,73.0,21.0,27.0,4.0,101.0,50.0,900.0,24.0,16.0,21.0,12.0,27.0,40.0,28.0,15.0,17.0,105.960169,656.727944,2211.340411,0.0,0.0,55073.896115,0.916667,0,0.054714,2245.081591052,0.0,0.0,,100,
