size,variant_index,tower_count,stop_count,vehicle_count,uavs_per_vehicle,seed,uncertainty,method,candidate_mode,nearest_per_tower,sensitivity_factor,sensitivity_level,quantile_z,scenario_id,milp_status,milp_reference_scope,milp_optimizes_rwct,milp_completion_time_scope,total_candidate_pairs,screened_pair_count,candidate_pair_reduction,feasible_candidate_pairs,baseline_family,baseline_candidate_evaluations,baseline_generations,baseline_population_size,baseline_ant_count,baseline_best_order_score,alns_use_quantile,alns_risk_value_weight,alns_adaptive_enabled,alns_accepted_moves,alns_improving_moves,alns_rejected_moves,alns_best_updates,alns_objective_evaluations,alns_score_cache_size,alns_repair_position_evaluations,destroy_random_removal_uses,destroy_worst_energy_removal_uses,destroy_shaw_related_removal_uses,destroy_path_segment_removal_uses,destroy_uav_chain_removal_uses,repair_greedy_insert_repair_uses,repair_regret_insert_repair_uses,repair_energy_minimum_insert_repair_uses,repair_synchronization_aware_insert_repair_uses,makespan,total_vehicle_distance,expected_energy,energy_violation_rate,infeasible_sortie_rate,risk_weighted_completion_time,top_risk_coverage,feasible_top_risk_coverage,missed_value,solver_runtime,objective_value,milp_gap,optimality_gap_pct,reserve_ratio,iteration_budget,uav_count_override
M,1,50,25,2,2,6,high,alns_pinn_full,kmeans,3,iteration_budget,160,,M50_P25_seed6_high_kmeans25,not_milp,not_milp,False,not_milp,1250,146,0.8832,70,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,117.0,20.0,43.0,13.0,161.0,50.0,1440.0,38.0,32.0,19.0,45.0,26.0,60.0,57.0,20.0,23.0,459.458898,576.311306,2425.320977,0.0,0.0,120.297448,1.0,1.0,0,0.106031,10732.297078270138,0.0,0.0,,160,
M,1,50,25,2,2,6,high,alns_pinn_full,kmeans,3,uav_count,2,,M50_P25_seed6_high_uav_count2_kmeans25,not_milp,not_milp,False,not_milp,1250,146,0.8832,70,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,67.0,15.0,33.0,13.0,101.0,50.0,900.0,29.0,18.0,12.0,27.0,14.0,35.0,36.0,12.0,17.0,459.109749,568.277718,2425.320977,0.0,0.0,123.113536,1.0,1.0,0,0.097975,10878.323131270137,0.0,0.0,,,2
M,1,50,25,2,2,6,high,alns_pinn_full,kmeans,3,uav_count,4,,M50_P25_seed6_high_uav_count4_kmeans25,not_milp,not_milp,False,not_milp,1250,146,0.8832,70,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,67.0,15.0,33.0,13.0,101.0,50.0,900.0,29.0,18.0,12.0,27.0,14.0,35.0,36.0,12.0,17.0,459.458898,576.311306,2425.320977,0.0,0.0,120.297448,1.0,1.0,0,0.106808,10732.297078270138,0.0,0.0,,,4
M,1,50,25,2,2,6,high,alns_pinn_full,kmeans,3,uav_count,6,,M50_P25_seed6_high_uav_count6_kmeans25,not_milp,not_milp,False,not_milp,1250,146,0.8832,70,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,67.0,15.0,33.0,13.0,101.0,50.0,900.0,29.0,18.0,12.0,27.0,14.0,35.0,36.0,12.0,17.0,459.458898,576.311306,2425.320977,0.0,0.0,120.297448,1.0,1.0,0,0.107831,10732.297078270138,0.0,0.0,,,6
M,1,50,25,2,2,6,high,alns_pinn_full,direct,3,candidate_mode,direct,,M50_P25_seed6_high,not_milp,not_milp,False,not_milp,1250,1250,0.0,64,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,76.0,19.0,24.0,10.0,101.0,50.0,900.0,21.0,21.0,26.0,19.0,13.0,30.0,40.0,10.0,20.0,462.425458,556.776823,2773.776694,0.0,0.0,125.512977,0.916667,0.916667,0,0.120115,11121.160453430139,0.0,0.0,,,
M,1,50,25,2,2,6,high,alns_pinn_full,kmeans,3,candidate_mode,kmeans,,M50_P25_seed6_high_kmeans25,not_milp,not_milp,False,not_milp,1250,146,0.8832,70,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,67.0,15.0,33.0,13.0,101.0,50.0,900.0,29.0,18.0,12.0,27.0,14.0,35.0,36.0,12.0,17.0,459.458898,576.311306,2425.320977,0.0,0.0,120.297448,1.0,1.0,0,0.101105,10732.297078270138,0.0,0.0,,,
M,1,50,25,2,2,6,high,alns_pinn_full,dbscan,3,candidate_mode,dbscan,,M50_P25_seed6_high_dbscan3,not_milp,not_milp,False,not_milp,150,68,0.546667,9,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,74.0,11.0,26.0,11.0,101.0,50.0,900.0,25.0,16.0,25.0,16.0,18.0,45.0,29.0,14.0,12.0,456.414185,150.458808,9548.30063,0.74,0.74,124.274651,0.583333,0.166667,2655.6337,0.026523,10225.35820451014,0.0,0.0,,,
M,1,50,25,2,2,7,high,alns_pinn_full,kmeans,3,quantile_z,1.28,1.28,M50_P25_seed7_high_kmeans25,not_milp,not_milp,False,not_milp,1250,150,0.88,84,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,78.0,23.0,22.0,7.0,101.0,50.0,900.0,28.0,18.0,25.0,14.0,15.0,48.0,27.0,11.0,14.0,433.671346,575.424233,2264.168842,0.0,0.0,116.467526,0.833333,0.833333,0,0.098953,10344.560599591923,0.0,0.0,,,
M,1,50,25,2,2,7,high,alns_pinn_full,kmeans,3,quantile_z,1.645,1.645,M50_P25_seed7_high_kmeans25,not_milp,not_milp,False,not_milp,1250,150,0.88,76,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,77.0,19.0,23.0,7.0,101.0,50.0,900.0,26.0,18.0,24.0,17.0,15.0,43.0,30.0,14.0,13.0,450.677628,615.329967,2264.168842,0.0,0.0,116.711142,0.833333,0.833333,0,0.101262,10469.00971471192,0.0,0.0,,,
M,1,50,25,2,2,7,high,alns_pinn_full,kmeans,3,quantile_z,1.96,1.96,M50_P25_seed7_high_kmeans25,not_milp,not_milp,False,not_milp,1250,148,0.8816,69,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,81.0,21.0,19.0,7.0,101.0,50.0,900.0,32.0,20.0,14.0,14.0,20.0,40.0,36.0,7.0,17.0,456.201476,605.843743,2265.865611,0.0,0.0,119.345018,0.833333,0.833333,0,0.113087,10610.152028791923,0.0,0.0,,,
