size,variant_index,tower_count,stop_count,vehicle_count,uavs_per_vehicle,seed,uncertainty,method,candidate_mode,nearest_per_tower,sensitivity_factor,sensitivity_level,quantile_z,scenario_id,milp_status,milp_reference_scope,milp_optimizes_rwct,milp_completion_time_scope,total_candidate_pairs,screened_pair_count,candidate_pair_reduction,feasible_candidate_pairs,baseline_family,baseline_candidate_evaluations,baseline_generations,baseline_population_size,baseline_ant_count,baseline_best_order_score,implementation_family,service_graph_pattern_count,service_graph_feasible_count,selected_sortie_count,missed_service_count,duplicate_service_count,objective_rwct,objective_makespan,objective_ground_travel,objective_q95_energy,objective_missed_penalty,objective_duplicate_penalty,objective_total,alns_use_quantile,alns_risk_value_weight,alns_adaptive_enabled,alns_accepted_moves,alns_improving_moves,alns_rejected_moves,alns_best_updates,alns_objective_evaluations,alns_score_cache_size,alns_repair_position_evaluations,alns_portfolio_candidate_count,alns_selected_portfolio_candidate,alns_selected_portfolio_infeasible_count,alns_selected_portfolio_rwct,alns_selected_portfolio_makespan,destroy_random_removal_uses,destroy_worst_energy_removal_uses,destroy_shaw_related_removal_uses,destroy_path_segment_removal_uses,destroy_uav_chain_removal_uses,repair_greedy_insert_repair_uses,repair_regret_insert_repair_uses,repair_energy_minimum_insert_repair_uses,repair_synchronization_aware_insert_repair_uses,makespan,total_vehicle_distance,expected_energy,energy_violation_rate,infeasible_sortie_rate,risk_weighted_completion_time,top_risk_coverage,feasible_top_risk_coverage,sortie_count,avg_towers_per_sortie,missed_value,solver_runtime,objective_value,milp_gap,optimality_gap_pct,reserve_ratio,iteration_budget,uav_count_override
M,1,50,25,2,2,6,high,alns_pinn_full,kmeans,3,reserve_ratio,0.12,,M50_P25_seed6_high_kmeans25,not_milp,not_milp,False,not_milp,1250,146,0.8832,70,,0.0,0.0,0.0,0.0,0.0,stop_batch_schedule_state_alns,8273.0,116.0,48.0,0.0,0.0,89.076846,346.450419,344.257314,3698.0385119999996,0.0,0.0,8276.729879030141,True,0.25,True,61.0,27.0,39.0,6.0,101.0,50.0,900.0,7.0,risk_bucket_stop_4,0.0,89.076846,346.450419,11.0,24.0,31.0,20.0,14.0,16.0,21.0,18.0,45.0,366.076907,441.280351,2391.088468,0.0,0.0,89.076846,1.0,1.0,48,1.041667,0,1.827929,8276.729879030141,0.0,0.0,0.12,,
M,1,50,25,2,2,6,high,alns_pinn_full,kmeans,3,reserve_ratio,0.2,,M50_P25_seed6_high_kmeans25,not_milp,not_milp,False,not_milp,1250,138,0.8896,59,,0.0,0.0,0.0,0.0,0.0,stop_batch_schedule_state_alns,8273.0,86.0,48.0,0.0,0.0,88.889873,256.207802,208.47587299999998,3617.3039389999994,0.0,0.0,6073.2664061101395,True,0.25,True,51.0,20.0,49.0,4.0,101.0,50.0,900.0,7.0,alns_search,0.0,88.889873,256.207802,10.0,33.0,16.0,24.0,17.0,18.0,23.0,22.0,37.0,279.581885,286.220747,2397.490816,0.0,0.0,88.889873,0.583333,0.583333,48,1.041667,0,1.671509,6073.2664061101395,0.0,0.0,0.2,,
M,1,50,25,2,2,6,high,alns_pinn_full,kmeans,3,iteration_budget,50,,M50_P25_seed6_high_kmeans25,not_milp,not_milp,False,not_milp,1250,146,0.8832,70,,0.0,0.0,0.0,0.0,0.0,stop_batch_schedule_state_alns,8273.0,116.0,48.0,0.0,0.0,89.076846,346.450419,344.257314,3698.0385119999996,0.0,0.0,8276.729879030141,True,0.25,True,33.0,14.0,17.0,5.0,51.0,50.0,450.0,7.0,risk_bucket_stop_4,0.0,89.076846,346.450419,5.0,10.0,19.0,8.0,8.0,10.0,8.0,6.0,26.0,366.076907,441.280351,2391.088468,0.0,0.0,89.076846,1.0,1.0,48,1.041667,0,0.955042,8276.729879030141,0.0,0.0,,50,
M,1,50,25,2,2,6,high,alns_pinn_full,kmeans,3,iteration_budget,100,,M50_P25_seed6_high_kmeans25,not_milp,not_milp,False,not_milp,1250,146,0.8832,70,,0.0,0.0,0.0,0.0,0.0,stop_batch_schedule_state_alns,8273.0,116.0,48.0,0.0,0.0,89.076846,346.450419,344.257314,3698.0385119999996,0.0,0.0,8276.729879030141,True,0.25,True,61.0,27.0,39.0,6.0,101.0,50.0,900.0,7.0,risk_bucket_stop_4,0.0,89.076846,346.450419,11.0,24.0,31.0,20.0,14.0,16.0,21.0,18.0,45.0,366.076907,441.280351,2391.088468,0.0,0.0,89.076846,1.0,1.0,48,1.041667,0,1.845568,8276.729879030141,0.0,0.0,,100,
M,1,50,25,2,2,6,high,alns_pinn_full,kmeans,3,iteration_budget,160,,M50_P25_seed6_high_kmeans25,not_milp,not_milp,False,not_milp,1250,146,0.8832,70,,0.0,0.0,0.0,0.0,0.0,stop_batch_schedule_state_alns,8273.0,116.0,48.0,0.0,0.0,89.076846,346.450419,344.257314,3698.0385119999996,0.0,0.0,8276.729879030141,True,0.25,True,94.0,34.0,66.0,10.0,161.0,50.0,1440.0,7.0,risk_bucket_stop_4,0.0,89.076846,346.450419,16.0,53.0,45.0,25.0,21.0,38.0,34.0,33.0,55.0,366.076907,441.280351,2391.088468,0.0,0.0,89.076846,1.0,1.0,48,1.041667,0,2.426437,8276.729879030141,0.0,0.0,,160,
M,1,50,25,2,2,6,high,alns_pinn_full,kmeans,3,uav_count,2,,M50_P25_seed6_high_uav_count2_kmeans25,not_milp,not_milp,False,not_milp,1250,146,0.8832,70,,0.0,0.0,0.0,0.0,0.0,stop_batch_schedule_state_alns,8273.0,116.0,48.0,0.0,0.0,108.044496,398.506078,367.95649199999997,3698.0385119999996,0.0,0.0,9710.47697203014,True,0.25,True,66.0,35.0,34.0,1.0,101.0,50.0,900.0,7.0,risk_bucket_stop_4,0.0,108.044496,398.506078,15.0,26.0,27.0,18.0,14.0,18.0,24.0,27.0,31.0,418.0007,468.929396,2391.088468,0.0,0.0,108.044496,1.0,1.0,48,1.041667,0,2.091897,9710.47697203014,0.0,0.0,,,2
M,1,50,25,2,2,6,high,alns_pinn_full,kmeans,3,uav_count,4,,M50_P25_seed6_high_uav_count4_kmeans25,not_milp,not_milp,False,not_milp,1250,146,0.8832,70,,0.0,0.0,0.0,0.0,0.0,stop_batch_schedule_state_alns,8273.0,116.0,48.0,0.0,0.0,89.076846,346.450419,344.257314,3698.0385119999996,0.0,0.0,8276.729879030141,True,0.25,True,61.0,27.0,39.0,6.0,101.0,50.0,900.0,7.0,risk_bucket_stop_4,0.0,89.076846,346.450419,11.0,24.0,31.0,20.0,14.0,16.0,21.0,18.0,45.0,366.076907,441.280351,2391.088468,0.0,0.0,89.076846,1.0,1.0,48,1.041667,0,1.802561,8276.729879030141,0.0,0.0,,,4
M,1,50,25,2,2,6,high,alns_pinn_full,kmeans,3,uav_count,6,,M50_P25_seed6_high_uav_count6_kmeans25,not_milp,not_milp,False,not_milp,1250,146,0.8832,70,,0.0,0.0,0.0,0.0,0.0,stop_batch_schedule_state_alns,8273.0,116.0,49.0,0.0,0.0,88.166713,224.331644,202.85906900000006,3731.742723,0.0,0.0,5434.916994430139,True,0.25,True,62.0,26.0,38.0,4.0,101.0,50.0,886.0,7.0,alns_search,0.0,88.166713,224.331644,11.0,24.0,18.0,29.0,18.0,32.0,10.0,27.0,31.0,232.210965,248.261515,2412.618293,0.0,0.0,88.166713,0.583333,0.583333,49,1.020408,0,1.647622,5434.916994430139,0.0,0.0,,,6
M,1,50,25,2,2,6,high,alns_pinn_full,direct,3,candidate_mode,direct,,M50_P25_seed6_high,not_milp,not_milp,False,not_milp,1250,1250,0.0,64,,0.0,0.0,0.0,0.0,0.0,stop_batch_schedule_state_alns,8401.0,95.0,48.0,0.0,0.0,94.216446,359.201558,335.101718,4221.52599,0.0,0.0,8632.05931011014,True,0.25,True,57.0,27.0,43.0,3.0,101.0,50.0,900.0,7.0,risk_bucket_stop_4,0.0,94.216446,359.201558,11.0,18.0,25.0,25.0,21.0,35.0,15.0,27.0,23.0,386.11926,432.35361,2742.795358,0.0,0.0,94.216446,1.0,1.0,48,1.041667,0,1.603977,8632.05931011014,0.0,0.0,,,
M,1,50,25,2,2,6,high,alns_pinn_full,kmeans,3,candidate_mode,kmeans,,M50_P25_seed6_high_kmeans25,not_milp,not_milp,False,not_milp,1250,146,0.8832,70,,0.0,0.0,0.0,0.0,0.0,stop_batch_schedule_state_alns,8273.0,116.0,48.0,0.0,0.0,89.076846,346.450419,344.257314,3698.0385119999996,0.0,0.0,8276.729879030141,True,0.25,True,61.0,27.0,39.0,6.0,101.0,50.0,900.0,7.0,risk_bucket_stop_4,0.0,89.076846,346.450419,11.0,24.0,31.0,20.0,14.0,16.0,21.0,18.0,45.0,366.076907,441.280351,2391.088468,0.0,0.0,89.076846,1.0,1.0,48,1.041667,0,1.786823,8276.729879030141,0.0,0.0,,,
